date,salone parrucchiere,isPartial
2018-01-07,28,False
2018-01-14,27,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,53,False
2018-02-11,27,False
2018-02-18,77,False
2018-02-25,51,False
2018-03-04,62,False
2018-03-11,0,False
2018-03-18,52,False
2018-03-25,54,False
2018-04-01,0,False
2018-04-08,51,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,51,False
2018-05-13,0,False
2018-05-20,51,False
2018-05-27,26,False
2018-06-03,66,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,27,False
2018-07-01,40,False
2018-07-08,53,False
2018-07-15,27,False
2018-07-22,27,False
2018-07-29,0,False
2018-08-05,31,False
2018-08-12,35,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,25,False
2018-09-09,37,False
2018-09-16,49,False
2018-09-23,75,False
2018-09-30,37,False
2018-10-07,25,False
2018-10-14,38,False
2018-10-21,0,False
2018-10-28,25,False
2018-11-04,24,False
2018-11-11,50,False
2018-11-18,0,False
2018-11-25,100,False
2018-12-02,25,False
2018-12-09,25,False
2018-12-16,51,False
2018-12-23,61,False
2018-12-30,29,False
2019-01-06,51,False
2019-01-13,48,False
2019-01-20,36,False
2019-01-27,48,False
2019-02-03,36,False
2019-02-10,96,False
2019-02-17,25,False
2019-02-24,50,False
2019-03-03,50,False
2019-03-10,37,False
2019-03-17,51,False
2019-03-24,52,False
2019-03-31,26,False
2019-04-07,63,False
2019-04-14,26,False
2019-04-21,0,False
2019-04-28,26,False
2019-05-05,38,False
2019-05-12,25,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,26,False
2019-06-09,0,False
2019-06-16,25,False
2019-06-23,52,False
2019-06-30,0,False
2019-07-07,26,False
2019-07-14,53,False
2019-07-21,27,False
2019-07-28,28,False
2019-08-04,0,False
2019-08-11,35,False
2019-08-18,0,False
2019-08-25,85,False
2019-09-01,48,False
2019-09-08,24,False
2019-09-15,48,False
2019-09-22,47,False
2019-09-29,23,False
2019-10-06,24,False
2019-10-13,0,False
2019-10-20,34,False
2019-10-27,0,False
2019-11-03,45,False
2019-11-10,45,False
2019-11-17,23,False
2019-11-24,22,False
2019-12-01,0,False
2019-12-08,24,False
2019-12-15,36,False
2019-12-22,29,False
2019-12-29,0,False
2020-01-05,35,False
2020-01-12,22,False
2020-01-19,67,False
2020-01-26,22,False
2020-02-02,22,False
2020-02-09,22,False
2020-02-16,22,False
2020-02-23,21,False
2020-03-01,21,False
2020-03-08,0,False
2020-03-15,21,False
2020-03-22,20,False
2020-03-29,20,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,40,False
2020-04-26,0,True
