date,salone parrucchiere,isPartial
2018-01-07,50,False
2018-01-14,49,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,48,False
2018-02-18,47,False
2018-02-25,46,False
2018-03-04,48,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,51,False
2018-04-01,0,False
2018-04-08,49,False
2018-04-15,50,False
2018-04-22,52,False
2018-04-29,49,False
2018-05-06,48,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,99,False
2018-06-10,0,False
2018-06-17,50,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,50,False
2018-07-29,52,False
2018-08-05,0,False
2018-08-12,59,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,48,False
2018-09-23,0,False
2018-09-30,49,False
2018-10-07,50,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,47,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,48,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,63,False
2018-12-30,0,False
2019-01-06,51,False
2019-01-13,0,False
2019-01-20,48,False
2019-01-27,72,False
2019-02-03,0,False
2019-02-10,48,False
2019-02-17,49,False
2019-02-24,0,False
2019-03-03,50,False
2019-03-10,50,False
2019-03-17,0,False
2019-03-24,49,False
2019-03-31,49,False
2019-04-07,49,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,46,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,49,False
2019-06-23,0,False
2019-06-30,49,False
2019-07-07,91,False
2019-07-14,47,False
2019-07-21,49,False
2019-07-28,49,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,100,False
2019-08-25,45,False
2019-09-01,43,False
2019-09-08,45,False
2019-09-15,44,False
2019-09-22,88,False
2019-09-29,0,False
2019-10-06,46,False
2019-10-13,0,False
2019-10-20,45,False
2019-10-27,45,False
2019-11-03,0,False
2019-11-10,88,False
2019-11-17,87,False
2019-11-24,43,False
2019-12-01,0,False
2019-12-08,45,False
2019-12-15,47,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,45,False
2020-01-12,0,False
2020-01-19,0,False
2020-01-26,41,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,63,False
2020-02-23,0,False
2020-03-01,39,False
2020-03-08,38,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,73,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,True
