date,salone parrucchiere,isPartial
2018-01-07,38,False
2018-01-14,39,False
2018-01-21,19,False
2018-01-28,0,False
2018-02-04,38,False
2018-02-11,19,False
2018-02-18,29,False
2018-02-25,19,False
2018-03-04,20,False
2018-03-11,0,False
2018-03-18,41,False
2018-03-25,21,False
2018-04-01,43,False
2018-04-08,0,False
2018-04-15,21,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,20,False
2018-05-13,20,False
2018-05-20,20,False
2018-05-27,41,False
2018-06-03,21,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,60,False
2018-07-08,20,False
2018-07-15,0,False
2018-07-22,31,False
2018-07-29,20,False
2018-08-05,32,False
2018-08-12,0,False
2018-08-19,21,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,20,False
2018-09-23,0,False
2018-09-30,30,False
2018-10-07,0,False
2018-10-14,64,False
2018-10-21,0,False
2018-10-28,20,False
2018-11-04,39,False
2018-11-11,21,False
2018-11-18,20,False
2018-11-25,21,False
2018-12-02,21,False
2018-12-09,43,False
2018-12-16,44,False
2018-12-23,49,False
2018-12-30,0,False
2019-01-06,50,False
2019-01-13,0,False
2019-01-20,19,False
2019-01-27,18,False
2019-02-03,19,False
2019-02-10,38,False
2019-02-17,19,False
2019-02-24,38,False
2019-03-03,20,False
2019-03-10,20,False
2019-03-17,40,False
2019-03-24,100,False
2019-03-31,19,False
2019-04-07,19,False
2019-04-14,20,False
2019-04-21,20,False
2019-04-28,19,False
2019-05-05,18,False
2019-05-12,27,False
2019-05-19,37,False
2019-05-26,0,False
2019-06-02,39,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,20,False
2019-07-14,21,False
2019-07-21,20,False
2019-07-28,41,False
2019-08-04,21,False
2019-08-11,23,False
2019-08-18,0,False
2019-08-25,19,False
2019-09-01,0,False
2019-09-08,19,False
2019-09-15,0,False
2019-09-22,19,False
2019-09-29,18,False
2019-10-06,19,False
2019-10-13,19,False
2019-10-20,18,False
2019-10-27,27,False
2019-11-03,18,False
2019-11-10,18,False
2019-11-17,18,False
2019-11-24,53,False
2019-12-01,28,False
2019-12-08,19,False
2019-12-15,37,False
2019-12-22,43,False
2019-12-29,40,False
2020-01-05,27,False
2020-01-12,17,False
2020-01-19,17,False
2020-01-26,34,False
2020-02-02,51,False
2020-02-09,17,False
2020-02-16,17,False
2020-02-23,16,False
2020-03-01,16,False
2020-03-08,15,False
2020-03-15,0,False
2020-03-22,29,False
2020-03-29,15,False
2020-04-05,16,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,True
