date,traiteur cocktail dinatoire,isPartial
2018-01-07,33,False
2018-01-14,33,False
2018-01-21,100,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,67,False
2018-02-18,0,False
2018-02-25,34,False
2018-03-04,33,False
2018-03-11,0,False
2018-03-18,34,False
2018-03-25,0,False
2018-04-01,35,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,34,False
2018-05-06,36,False
2018-05-13,34,False
2018-05-20,35,False
2018-05-27,33,False
2018-06-03,0,False
2018-06-10,32,False
2018-06-17,34,False
2018-06-24,34,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,36,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,37,False
2018-08-12,77,False
2018-08-19,0,False
2018-08-26,35,False
2018-09-02,52,False
2018-09-09,34,False
2018-09-16,0,False
2018-09-23,69,False
2018-09-30,68,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,35,False
2018-11-04,0,False
2018-11-11,33,False
2018-11-18,33,False
2018-11-25,33,False
2018-12-02,100,False
2018-12-09,34,False
2018-12-16,35,False
2018-12-23,0,False
2018-12-30,37,False
2019-01-06,66,False
2019-01-13,34,False
2019-01-20,33,False
2019-01-27,32,False
2019-02-03,65,False
2019-02-10,34,False
2019-02-17,0,False
2019-02-24,34,False
2019-03-03,0,False
2019-03-10,33,False
2019-03-17,34,False
2019-03-24,0,False
2019-03-31,33,False
2019-04-07,0,False
2019-04-14,35,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,33,False
2019-05-12,66,False
2019-05-19,33,False
2019-05-26,33,False
2019-06-02,47,False
2019-06-09,32,False
2019-06-16,67,False
2019-06-23,98,False
2019-06-30,33,False
2019-07-07,67,False
2019-07-14,34,False
2019-07-21,0,False
2019-07-28,36,False
2019-08-04,0,False
2019-08-11,35,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,32,False
2019-09-08,0,False
2019-09-15,32,False
2019-09-22,0,False
2019-09-29,31,False
2019-10-06,31,False
2019-10-13,78,False
2019-10-20,62,False
2019-10-27,0,False
2019-11-03,30,False
2019-11-10,0,False
2019-11-17,30,False
2019-11-24,59,False
2019-12-01,30,False
2019-12-08,60,False
2019-12-15,31,False
2019-12-22,0,False
2019-12-29,32,False
2020-01-05,0,False
2020-01-12,29,False
2020-01-19,30,False
2020-01-26,44,False
2020-02-02,73,False
2020-02-09,58,False
2020-02-16,59,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,28,False
2020-03-15,26,False
2020-03-22,0,False
2020-03-29,26,False
2020-04-05,0,False
2020-04-12,26,False
2020-04-19,0,False
2020-04-26,25,False
2020-05-03,0,False
2020-05-10,0,False
2020-05-17,64,True
