date,psychologue clinicienne,isPartial
2018-01-07,33,False
2018-01-14,47,False
2018-01-21,27,False
2018-01-28,47,False
2018-02-04,40,False
2018-02-11,61,False
2018-02-18,52,False
2018-02-25,20,False
2018-03-04,41,False
2018-03-11,81,False
2018-03-18,55,False
2018-03-25,73,False
2018-04-01,64,False
2018-04-08,21,False
2018-04-15,37,False
2018-04-22,21,False
2018-04-29,49,False
2018-05-06,32,False
2018-05-13,27,False
2018-05-20,42,False
2018-05-27,40,False
2018-06-03,41,False
2018-06-10,32,False
2018-06-17,20,False
2018-06-24,31,False
2018-07-01,50,False
2018-07-08,28,False
2018-07-15,66,False
2018-07-22,51,False
2018-07-29,22,False
2018-08-05,22,False
2018-08-12,46,False
2018-08-19,45,False
2018-08-26,21,False
2018-09-02,21,False
2018-09-09,69,False
2018-09-16,62,False
2018-09-23,49,False
2018-09-30,52,False
2018-10-07,77,False
2018-10-14,32,False
2018-10-21,21,False
2018-10-28,21,False
2018-11-04,27,False
2018-11-11,20,False
2018-11-18,40,False
2018-11-25,20,False
2018-12-02,34,False
2018-12-09,41,False
2018-12-16,42,False
2018-12-23,36,False
2018-12-30,56,False
2019-01-06,41,False
2019-01-13,41,False
2019-01-20,53,False
2019-01-27,39,False
2019-02-03,33,False
2019-02-10,41,False
2019-02-17,42,False
2019-02-24,28,False
2019-03-03,47,False
2019-03-10,47,False
2019-03-17,41,False
2019-03-24,63,False
2019-03-31,60,False
2019-04-07,34,False
2019-04-14,42,False
2019-04-21,31,False
2019-04-28,41,False
2019-05-05,40,False
2019-05-12,47,False
2019-05-19,100,False
2019-05-26,40,False
2019-06-02,57,False
2019-06-09,52,False
2019-06-16,40,False
2019-06-23,20,False
2019-06-30,50,False
2019-07-07,40,False
2019-07-14,21,False
2019-07-21,32,False
2019-07-28,36,False
2019-08-04,33,False
2019-08-11,29,False
2019-08-18,43,False
2019-08-25,67,False
2019-09-01,65,False
2019-09-08,45,False
2019-09-15,58,False
2019-09-22,43,False
2019-09-29,56,False
2019-10-06,44,False
2019-10-13,44,False
2019-10-20,25,False
2019-10-27,28,False
2019-11-03,36,False
2019-11-10,37,False
2019-11-17,30,False
2019-11-24,35,False
2019-12-01,36,False
2019-12-08,36,False
2019-12-15,43,False
2019-12-22,21,False
2019-12-29,45,False
2020-01-05,47,False
2020-01-12,40,False
2020-01-19,54,False
2020-01-26,47,False
2020-02-02,53,False
2020-02-09,53,False
2020-02-16,66,False
2020-02-23,40,False
2020-03-01,51,False
2020-03-08,25,False
2020-03-15,24,False
2020-03-22,16,False
2020-03-29,21,False
2020-04-05,31,False
2020-04-12,27,False
2020-04-19,47,False
2020-04-26,30,False
2020-05-03,30,False
2020-05-10,16,False
2020-05-17,77,True
