date,salones de boda,isPartial
2018-01-07,40,False
2018-01-14,99,False
2018-01-21,40,False
2018-01-28,0,False
2018-02-04,29,False
2018-02-11,40,False
2018-02-18,50,False
2018-02-25,39,False
2018-03-04,29,False
2018-03-11,29,False
2018-03-18,100,False
2018-03-25,44,False
2018-04-01,60,False
2018-04-08,75,False
2018-04-15,69,False
2018-04-22,38,False
2018-04-29,40,False
2018-05-06,38,False
2018-05-13,30,False
2018-05-20,39,False
2018-05-27,58,False
2018-06-03,47,False
2018-06-10,37,False
2018-06-17,41,False
2018-06-24,51,False
2018-07-01,20,False
2018-07-08,40,False
2018-07-15,31,False
2018-07-22,42,False
2018-07-29,63,False
2018-08-05,41,False
2018-08-12,64,False
2018-08-19,53,False
2018-08-26,41,False
2018-09-02,29,False
2018-09-09,49,False
2018-09-16,96,False
2018-09-23,38,False
2018-09-30,48,False
2018-10-07,90,False
2018-10-14,66,False
2018-10-21,67,False
2018-10-28,20,False
2018-11-04,37,False
2018-11-11,38,False
2018-11-18,18,False
2018-11-25,19,False
2018-12-02,20,False
2018-12-09,20,False
2018-12-16,20,False
2018-12-23,34,False
2018-12-30,65,False
2019-01-06,40,False
2019-01-13,28,False
2019-01-20,18,False
2019-01-27,0,False
2019-02-03,19,False
2019-02-10,67,False
2019-02-17,67,False
2019-02-24,38,False
2019-03-03,19,False
2019-03-10,59,False
2019-03-17,29,False
2019-03-24,29,False
2019-03-31,37,False
2019-04-07,47,False
2019-04-14,40,False
2019-04-21,0,False
2019-04-28,38,False
2019-05-05,37,False
2019-05-12,37,False
2019-05-19,37,False
2019-05-26,0,False
2019-06-02,36,False
2019-06-09,55,False
2019-06-16,38,False
2019-06-23,39,False
2019-06-30,38,False
2019-07-07,57,False
2019-07-14,20,False
2019-07-21,0,False
2019-07-28,31,False
2019-08-04,20,False
2019-08-11,62,False
2019-08-18,40,False
2019-08-25,57,False
2019-09-01,36,False
2019-09-08,89,False
2019-09-15,44,False
2019-09-22,71,False
2019-09-29,35,False
2019-10-06,18,False
2019-10-13,43,False
2019-10-20,51,False
2019-10-27,53,False
2019-11-03,51,False
2019-11-10,51,False
2019-11-17,0,False
2019-11-24,33,False
2019-12-01,26,False
2019-12-08,18,False
2019-12-15,17,False
2019-12-22,39,False
2019-12-29,19,False
2020-01-05,17,False
2020-01-12,24,False
2020-01-19,16,False
2020-01-26,41,False
2020-02-02,57,False
2020-02-09,49,False
2020-02-16,50,False
2020-02-23,49,False
2020-03-01,31,False
2020-03-08,15,False
2020-03-15,0,False
2020-03-22,29,False
2020-03-29,0,False
2020-04-05,23,False
2020-04-12,0,True
