date,Wintergarten,isPartial
2018-01-07,33,False
2018-01-14,32,False
2018-01-21,43,False
2018-01-28,43,False
2018-02-04,44,False
2018-02-11,0,False
2018-02-18,22,False
2018-02-25,22,False
2018-03-04,42,False
2018-03-11,42,False
2018-03-18,21,False
2018-03-25,57,False
2018-04-01,59,False
2018-04-08,22,False
2018-04-15,22,False
2018-04-22,34,False
2018-04-29,46,False
2018-05-06,46,False
2018-05-13,21,False
2018-05-20,22,False
2018-05-27,43,False
2018-06-03,0,False
2018-06-10,21,False
2018-06-17,21,False
2018-06-24,21,False
2018-07-01,21,False
2018-07-08,0,False
2018-07-15,48,False
2018-07-22,25,False
2018-07-29,52,False
2018-08-05,23,False
2018-08-12,23,False
2018-08-19,32,False
2018-08-26,21,False
2018-09-02,0,False
2018-09-09,53,False
2018-09-16,20,False
2018-09-23,21,False
2018-09-30,22,False
2018-10-07,68,False
2018-10-14,66,False
2018-10-21,21,False
2018-10-28,39,False
2018-11-04,47,False
2018-11-11,32,False
2018-11-18,42,False
2018-11-25,18,False
2018-12-02,22,False
2018-12-09,22,False
2018-12-16,23,False
2018-12-23,89,False
2018-12-30,72,False
2019-01-06,39,False
2019-01-13,0,False
2019-01-20,20,False
2019-01-27,75,False
2019-02-03,44,False
2019-02-10,34,False
2019-02-17,22,False
2019-02-24,31,False
2019-03-03,19,False
2019-03-10,20,False
2019-03-17,32,False
2019-03-24,21,False
2019-03-31,52,False
2019-04-07,51,False
2019-04-14,24,False
2019-04-21,0,False
2019-04-28,19,False
2019-05-05,31,False
2019-05-12,0,False
2019-05-19,21,False
2019-05-26,22,False
2019-06-02,40,False
2019-06-09,52,False
2019-06-16,22,False
2019-06-23,46,False
2019-06-30,31,False
2019-07-07,42,False
2019-07-14,23,False
2019-07-21,38,False
2019-07-28,54,False
2019-08-04,74,False
2019-08-11,33,False
2019-08-18,0,False
2019-08-25,43,False
2019-09-01,19,False
2019-09-08,63,False
2019-09-15,21,False
2019-09-22,40,False
2019-09-29,41,False
2019-10-06,42,False
2019-10-13,63,False
2019-10-20,50,False
2019-10-27,20,False
2019-11-03,20,False
2019-11-10,41,False
2019-11-17,20,False
2019-11-24,39,False
2019-12-01,40,False
2019-12-08,100,False
2019-12-15,21,False
2019-12-22,39,False
2019-12-29,50,False
2020-01-05,40,False
2020-01-12,29,False
2020-01-19,29,False
2020-01-26,0,False
2020-02-02,39,False
2020-02-09,39,False
2020-02-16,40,False
2020-02-23,18,False
2020-03-01,57,False
2020-03-08,36,False
2020-03-15,38,False
2020-03-22,56,False
2020-03-29,19,False
2020-04-05,20,False
2020-04-12,41,False
2020-04-19,67,False
2020-04-26,36,False
2020-05-03,94,False
2020-05-10,46,False
2020-05-17,20,False
2020-05-24,56,False
2020-05-31,28,False
2020-06-07,54,False
2020-06-14,37,False
2020-06-21,49,False
2020-06-28,38,False
2020-07-05,59,False
