date,Kompostieranlage,isPartial
2018-01-07,21,False
2018-01-14,21,False
2018-01-21,0,False
2018-01-28,30,False
2018-02-04,21,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,21,False
2018-03-11,20,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,45,False
2018-04-08,43,False
2018-04-15,33,False
2018-04-22,28,False
2018-04-29,44,False
2018-05-06,29,False
2018-05-13,20,False
2018-05-20,21,False
2018-05-27,20,False
2018-06-03,42,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,31,False
2018-07-01,21,False
2018-07-08,21,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,21,False
2018-08-05,20,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,20,False
2018-09-02,27,False
2018-09-09,41,False
2018-09-16,0,False
2018-09-23,31,False
2018-09-30,42,False
2018-10-07,51,False
2018-10-14,42,False
2018-10-21,20,False
2018-10-28,29,False
2018-11-04,19,False
2018-11-11,20,False
2018-11-18,39,False
2018-11-25,20,False
2018-12-02,20,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,22,False
2018-12-30,20,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,18,False
2019-01-27,19,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,62,False
2019-02-24,40,False
2019-03-03,26,False
2019-03-10,19,False
2019-03-17,40,False
2019-03-24,59,False
2019-03-31,40,False
2019-04-07,30,False
2019-04-14,35,False
2019-04-21,42,False
2019-04-28,19,False
2019-05-05,19,False
2019-05-12,29,False
2019-05-19,32,False
2019-05-26,59,False
2019-06-02,39,False
2019-06-09,33,False
2019-06-16,77,False
2019-06-23,20,False
2019-06-30,32,False
2019-07-07,20,False
2019-07-14,21,False
2019-07-21,0,False
2019-07-28,20,False
2019-08-04,27,False
2019-08-11,100,False
2019-08-18,20,False
2019-08-25,38,False
2019-09-01,19,False
2019-09-08,19,False
2019-09-15,26,False
2019-09-22,0,False
2019-09-29,19,False
2019-10-06,19,False
2019-10-13,49,False
2019-10-20,26,False
2019-10-27,36,False
2019-11-03,36,False
2019-11-10,18,False
2019-11-17,0,False
2019-11-24,18,False
2019-12-01,55,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,41,False
2019-12-29,19,False
2020-01-05,17,False
2020-01-12,0,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,35,False
2020-02-16,18,False
2020-02-23,0,False
2020-03-01,34,False
2020-03-08,37,False
2020-03-15,57,False
2020-03-22,38,False
2020-03-29,50,False
2020-04-05,59,False
2020-04-12,43,False
2020-04-19,53,False
2020-04-26,39,False
2020-05-03,52,False
2020-05-10,16,False
