date,Kompostieranlage,isPartial
2018-01-07,20,False
2018-01-14,14,False
2018-01-21,18,False
2018-01-28,10,False
2018-02-04,9,False
2018-02-11,9,False
2018-02-18,13,False
2018-02-25,6,False
2018-03-04,15,False
2018-03-11,38,False
2018-03-18,28,False
2018-03-25,38,False
2018-04-01,69,False
2018-04-08,67,False
2018-04-15,54,False
2018-04-22,62,False
2018-04-29,43,False
2018-05-06,39,False
2018-05-13,27,False
2018-05-20,38,False
2018-05-27,33,False
2018-06-03,25,False
2018-06-10,24,False
2018-06-17,28,False
2018-06-24,26,False
2018-07-01,28,False
2018-07-08,26,False
2018-07-15,18,False
2018-07-22,28,False
2018-07-29,17,False
2018-08-05,13,False
2018-08-12,23,False
2018-08-19,23,False
2018-08-26,18,False
2018-09-02,20,False
2018-09-09,46,False
2018-09-16,17,False
2018-09-23,36,False
2018-09-30,44,False
2018-10-07,41,False
2018-10-14,52,False
2018-10-21,25,False
2018-10-28,42,False
2018-11-04,30,False
2018-11-11,20,False
2018-11-18,15,False
2018-11-25,14,False
2018-12-02,6,False
2018-12-09,22,False
2018-12-16,16,False
2018-12-23,15,False
2018-12-30,13,False
2019-01-06,6,False
2019-01-13,6,False
2019-01-20,6,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,12,False
2019-02-17,29,False
2019-02-24,20,False
2019-03-03,18,False
2019-03-10,32,False
2019-03-17,47,False
2019-03-24,37,False
2019-03-31,47,False
2019-04-07,34,False
2019-04-14,57,False
2019-04-21,66,False
2019-04-28,18,False
2019-05-05,36,False
2019-05-12,31,False
2019-05-19,21,False
2019-05-26,34,False
2019-06-02,46,False
2019-06-09,40,False
2019-06-16,41,False
2019-06-23,26,False
2019-06-30,23,False
2019-07-07,32,False
2019-07-14,28,False
2019-07-21,20,False
2019-07-28,26,False
2019-08-04,33,False
2019-08-11,32,False
2019-08-18,39,False
2019-08-25,27,False
2019-09-01,44,False
2019-09-08,29,False
2019-09-15,34,False
2019-09-22,11,False
2019-09-29,39,False
2019-10-06,23,False
2019-10-13,64,False
2019-10-20,50,False
2019-10-27,28,False
2019-11-03,16,False
2019-11-10,19,False
2019-11-17,24,False
2019-11-24,27,False
2019-12-01,17,False
2019-12-08,0,False
2019-12-15,11,False
2019-12-22,13,False
2019-12-29,6,False
2020-01-05,12,False
2020-01-12,14,False
2020-01-19,16,False
2020-01-26,5,False
2020-02-02,24,False
2020-02-09,10,False
2020-02-16,20,False
2020-02-23,23,False
2020-03-01,26,False
2020-03-08,37,False
2020-03-15,83,False
2020-03-22,48,False
2020-03-29,70,False
2020-04-05,100,False
2020-04-12,90,False
2020-04-19,91,False
2020-04-26,69,False
2020-05-03,81,False
2020-05-10,41,False
