date,paysagiste jardin,isPartial
2018-01-07,14,False
2018-01-14,29,False
2018-01-21,28,False
2018-01-28,14,False
2018-02-04,19,False
2018-02-11,29,False
2018-02-18,15,False
2018-02-25,20,False
2018-03-04,48,False
2018-03-11,29,False
2018-03-18,15,False
2018-03-25,15,False
2018-04-01,38,False
2018-04-08,24,False
2018-04-15,88,False
2018-04-22,25,False
2018-04-29,25,False
2018-05-06,39,False
2018-05-13,24,False
2018-05-20,20,False
2018-05-27,33,False
2018-06-03,14,False
2018-06-10,28,False
2018-06-17,28,False
2018-06-24,24,False
2018-07-01,14,False
2018-07-08,15,False
2018-07-15,32,False
2018-07-22,33,False
2018-07-29,51,False
2018-08-05,0,False
2018-08-12,19,False
2018-08-19,34,False
2018-08-26,15,False
2018-09-02,19,False
2018-09-09,35,False
2018-09-16,28,False
2018-09-23,29,False
2018-09-30,14,False
2018-10-07,28,False
2018-10-14,27,False
2018-10-21,14,False
2018-10-28,30,False
2018-11-04,33,False
2018-11-11,14,False
2018-11-18,14,False
2018-11-25,33,False
2018-12-02,14,False
2018-12-09,0,False
2018-12-16,22,False
2018-12-23,36,False
2018-12-30,17,False
2019-01-06,24,False
2019-01-13,29,False
2019-01-20,35,False
2019-01-27,28,False
2019-02-03,20,False
2019-02-10,23,False
2019-02-17,24,False
2019-02-24,44,False
2019-03-03,28,False
2019-03-10,36,False
2019-03-17,39,False
2019-03-24,15,False
2019-03-31,30,False
2019-04-07,30,False
2019-04-14,20,False
2019-04-21,38,False
2019-04-28,40,False
2019-05-05,26,False
2019-05-12,25,False
2019-05-19,30,False
2019-05-26,46,False
2019-06-02,18,False
2019-06-09,20,False
2019-06-16,23,False
2019-06-23,22,False
2019-06-30,15,False
2019-07-07,23,False
2019-07-14,41,False
2019-07-21,29,False
2019-07-28,24,False
2019-08-04,19,False
2019-08-11,27,False
2019-08-18,28,False
2019-08-25,39,False
2019-09-01,30,False
2019-09-08,15,False
2019-09-15,43,False
2019-09-22,24,False
2019-09-29,19,False
2019-10-06,14,False
2019-10-13,14,False
2019-10-20,15,False
2019-10-27,15,False
2019-11-03,28,False
2019-11-10,22,False
2019-11-17,14,False
2019-11-24,21,False
2019-12-01,14,False
2019-12-08,0,False
2019-12-15,14,False
2019-12-22,17,False
2019-12-29,16,False
2020-01-05,23,False
2020-01-12,14,False
2020-01-19,14,False
2020-01-26,69,False
2020-02-02,21,False
2020-02-09,21,False
2020-02-16,22,False
2020-02-23,27,False
2020-03-01,20,False
2020-03-08,31,False
2020-03-15,23,False
2020-03-22,28,False
2020-03-29,14,False
2020-04-05,14,False
2020-04-12,19,False
2020-04-19,23,False
2020-04-26,23,False
2020-05-03,33,False
2020-05-10,23,False
2020-05-17,47,False
2020-05-24,45,False
2020-05-31,30,False
2020-06-07,27,False
2020-06-14,0,False
2020-06-21,100,True
