date,paysagiste jardin,isPartial
2018-01-07,0,False
2018-01-14,83,False
2018-01-21,21,False
2018-01-28,22,False
2018-02-04,21,False
2018-02-11,21,False
2018-02-18,22,False
2018-02-25,21,False
2018-03-04,35,False
2018-03-11,21,False
2018-03-18,22,False
2018-03-25,33,False
2018-04-01,56,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,34,False
2018-04-29,33,False
2018-05-06,36,False
2018-05-13,22,False
2018-05-20,46,False
2018-05-27,0,False
2018-06-03,22,False
2018-06-10,22,False
2018-06-17,23,False
2018-06-24,23,False
2018-07-01,22,False
2018-07-08,23,False
2018-07-15,24,False
2018-07-22,24,False
2018-07-29,61,False
2018-08-05,49,False
2018-08-12,0,False
2018-08-19,36,False
2018-08-26,0,False
2018-09-02,23,False
2018-09-09,34,False
2018-09-16,70,False
2018-09-23,46,False
2018-09-30,22,False
2018-10-07,23,False
2018-10-14,0,False
2018-10-21,23,False
2018-10-28,46,False
2018-11-04,22,False
2018-11-11,45,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,22,False
2018-12-09,22,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,23,False
2019-01-06,22,False
2019-01-13,0,False
2019-01-20,21,False
2019-01-27,31,False
2019-02-03,21,False
2019-02-10,21,False
2019-02-17,44,False
2019-02-24,43,False
2019-03-03,0,False
2019-03-10,42,False
2019-03-17,22,False
2019-03-24,32,False
2019-03-31,34,False
2019-04-07,31,False
2019-04-14,32,False
2019-04-21,32,False
2019-04-28,0,False
2019-05-05,100,False
2019-05-12,20,False
2019-05-19,21,False
2019-05-26,22,False
2019-06-02,41,False
2019-06-09,20,False
2019-06-16,28,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,20,False
2019-07-14,0,False
2019-07-21,21,False
2019-07-28,22,False
2019-08-04,22,False
2019-08-11,0,False
2019-08-18,24,False
2019-08-25,44,False
2019-09-01,30,False
2019-09-08,20,False
2019-09-15,0,False
2019-09-22,20,False
2019-09-29,20,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,30,False
2019-10-27,19,False
2019-11-03,19,False
2019-11-10,19,False
2019-11-17,19,False
2019-11-24,0,False
2019-12-01,19,False
2019-12-08,18,False
2019-12-15,0,False
2019-12-22,21,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,24,False
2020-01-19,0,False
2020-01-26,27,False
2020-02-02,18,False
2020-02-09,18,False
2020-02-16,17,False
2020-02-23,0,False
2020-03-01,17,False
2020-03-08,17,False
2020-03-15,17,False
2020-03-22,16,False
2020-03-29,16,False
2020-04-05,16,False
2020-04-12,24,False
2020-04-19,16,False
2020-04-26,31,False
2020-05-03,16,False
2020-05-10,33,False
2020-05-17,18,False
2020-05-24,26,False
2020-05-31,25,False
2020-06-07,25,False
2020-06-14,35,False
2020-06-21,0,True
