date,Heizung wechseln,isPartial
2018-01-07,37,False
2018-01-14,74,False
2018-01-21,75,False
2018-01-28,0,False
2018-02-04,39,False
2018-02-11,38,False
2018-02-18,94,False
2018-02-25,75,False
2018-03-04,38,False
2018-03-11,38,False
2018-03-18,38,False
2018-03-25,0,False
2018-04-01,40,False
2018-04-08,38,False
2018-04-15,78,False
2018-04-22,62,False
2018-04-29,0,False
2018-05-06,39,False
2018-05-13,37,False
2018-05-20,40,False
2018-05-27,0,False
2018-06-03,37,False
2018-06-10,0,False
2018-06-17,37,False
2018-06-24,38,False
2018-07-01,0,False
2018-07-08,36,False
2018-07-15,0,False
2018-07-22,39,False
2018-07-29,40,False
2018-08-05,40,False
2018-08-12,0,False
2018-08-19,39,False
2018-08-26,38,False
2018-09-02,38,False
2018-09-09,0,False
2018-09-16,38,False
2018-09-23,39,False
2018-09-30,58,False
2018-10-07,58,False
2018-10-14,39,False
2018-10-21,77,False
2018-10-28,63,False
2018-11-04,72,False
2018-11-11,49,False
2018-11-18,36,False
2018-11-25,55,False
2018-12-02,36,False
2018-12-09,36,False
2018-12-16,75,False
2018-12-23,43,False
2018-12-30,39,False
2019-01-06,35,False
2019-01-13,52,False
2019-01-20,81,False
2019-01-27,34,False
2019-02-03,70,False
2019-02-10,71,False
2019-02-17,36,False
2019-02-24,37,False
2019-03-03,35,False
2019-03-10,0,False
2019-03-17,37,False
2019-03-24,0,False
2019-03-31,71,False
2019-04-07,36,False
2019-04-14,39,False
2019-04-21,39,False
2019-04-28,36,False
2019-05-05,35,False
2019-05-12,36,False
2019-05-19,0,False
2019-05-26,37,False
2019-06-02,71,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,37,False
2019-06-30,35,False
2019-07-07,35,False
2019-07-14,0,False
2019-07-21,41,False
2019-07-28,0,False
2019-08-04,40,False
2019-08-11,38,False
2019-08-18,75,False
2019-08-25,36,False
2019-09-01,71,False
2019-09-08,36,False
2019-09-15,60,False
2019-09-22,70,False
2019-09-29,47,False
2019-10-06,69,False
2019-10-13,53,False
2019-10-20,89,False
2019-10-27,35,False
2019-11-03,33,False
2019-11-10,78,False
2019-11-17,98,False
2019-11-24,32,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,100,False
2019-12-22,39,False
2019-12-29,73,False
2020-01-05,48,False
2020-01-12,41,False
2020-01-19,75,False
2020-01-26,47,False
2020-02-02,62,False
2020-02-09,76,False
2020-02-16,48,False
2020-02-23,71,False
2020-03-01,61,False
2020-03-08,29,False
2020-03-15,29,False
2020-03-22,86,False
2020-03-29,28,False
2020-04-05,42,False
2020-04-12,30,False
2020-04-19,44,False
2020-04-26,28,False
2020-05-03,29,False
2020-05-10,57,False
