date,desatascos,isPartial
2018-01-07,52,False
2018-01-14,25,False
2018-01-21,26,False
2018-01-28,33,False
2018-02-04,26,False
2018-02-11,27,False
2018-02-18,49,False
2018-02-25,54,False
2018-03-04,51,False
2018-03-11,75,False
2018-03-18,26,False
2018-03-25,45,False
2018-04-01,33,False
2018-04-08,37,False
2018-04-15,50,False
2018-04-22,0,False
2018-04-29,33,False
2018-05-06,35,False
2018-05-13,72,False
2018-05-20,48,False
2018-05-27,0,False
2018-06-03,23,False
2018-06-10,44,False
2018-06-17,23,False
2018-06-24,70,False
2018-07-01,31,False
2018-07-08,23,False
2018-07-15,31,False
2018-07-22,31,False
2018-07-29,35,False
2018-08-05,35,False
2018-08-12,24,False
2018-08-19,65,False
2018-08-26,0,False
2018-09-02,56,False
2018-09-09,36,False
2018-09-16,47,False
2018-09-23,0,False
2018-09-30,23,False
2018-10-07,55,False
2018-10-14,61,False
2018-10-21,22,False
2018-10-28,23,False
2018-11-04,22,False
2018-11-11,51,False
2018-11-18,37,False
2018-11-25,35,False
2018-12-02,0,False
2018-12-09,25,False
2018-12-16,0,False
2018-12-23,53,False
2018-12-30,53,False
2019-01-06,24,False
2019-01-13,22,False
2019-01-20,56,False
2019-01-27,0,False
2019-02-03,55,False
2019-02-10,22,False
2019-02-17,0,False
2019-02-24,31,False
2019-03-03,34,False
2019-03-10,50,False
2019-03-17,37,False
2019-03-24,48,False
2019-03-31,49,False
2019-04-07,38,False
2019-04-14,61,False
2019-04-21,48,False
2019-04-28,57,False
2019-05-05,49,False
2019-05-12,33,False
2019-05-19,25,False
2019-05-26,49,False
2019-06-02,24,False
2019-06-09,24,False
2019-06-16,50,False
2019-06-23,37,False
2019-06-30,59,False
2019-07-07,49,False
2019-07-14,50,False
2019-07-21,38,False
2019-07-28,25,False
2019-08-04,38,False
2019-08-11,73,False
2019-08-18,24,False
2019-08-25,24,False
2019-09-01,56,False
2019-09-08,49,False
2019-09-15,24,False
2019-09-22,39,False
2019-09-29,38,False
2019-10-06,23,False
2019-10-13,0,False
2019-10-20,32,False
2019-10-27,50,False
2019-11-03,21,False
2019-11-10,41,False
2019-11-17,42,False
2019-11-24,41,False
2019-12-01,28,False
2019-12-08,33,False
2019-12-15,43,False
2019-12-22,0,False
2019-12-29,29,False
2020-01-05,61,False
2020-01-12,26,False
2020-01-19,60,False
2020-01-26,60,False
2020-02-02,78,False
2020-02-09,40,False
2020-02-16,40,False
2020-02-23,20,False
2020-03-01,100,False
2020-03-08,0,False
2020-03-15,32,False
2020-03-22,29,False
2020-03-29,30,False
2020-04-05,21,False
2020-04-12,39,False
2020-04-19,33,False
2020-04-26,20,False
2020-05-03,39,False
2020-05-10,71,False
2020-05-17,25,True
