date,desatascos,isPartial
2018-01-07,44,False
2018-01-14,89,False
2018-01-21,65,False
2018-01-28,89,False
2018-02-04,0,False
2018-02-11,44,False
2018-02-18,88,False
2018-02-25,44,False
2018-03-04,44,False
2018-03-11,0,False
2018-03-18,66,False
2018-03-25,48,False
2018-04-01,69,False
2018-04-08,64,False
2018-04-15,45,False
2018-04-22,46,False
2018-04-29,44,False
2018-05-06,0,False
2018-05-13,89,False
2018-05-20,0,False
2018-05-27,43,False
2018-06-03,65,False
2018-06-10,42,False
2018-06-17,48,False
2018-06-24,0,False
2018-07-01,48,False
2018-07-08,95,False
2018-07-15,0,False
2018-07-22,51,False
2018-07-29,51,False
2018-08-05,100,False
2018-08-12,79,False
2018-08-19,49,False
2018-08-26,0,False
2018-09-02,60,False
2018-09-09,45,False
2018-09-16,45,False
2018-09-23,45,False
2018-09-30,45,False
2018-10-07,47,False
2018-10-14,43,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,57,False
2018-11-11,44,False
2018-11-18,42,False
2018-11-25,66,False
2018-12-02,0,False
2018-12-09,67,False
2018-12-16,67,False
2018-12-23,50,False
2018-12-30,80,False
2019-01-06,88,False
2019-01-13,42,False
2019-01-20,40,False
2019-01-27,56,False
2019-02-03,43,False
2019-02-10,86,False
2019-02-17,44,False
2019-02-24,43,False
2019-03-03,45,False
2019-03-10,44,False
2019-03-17,90,False
2019-03-24,92,False
2019-03-31,87,False
2019-04-07,68,False
2019-04-14,48,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,58,False
2019-05-12,65,False
2019-05-19,43,False
2019-05-26,57,False
2019-06-02,41,False
2019-06-09,42,False
2019-06-16,91,False
2019-06-23,47,False
2019-06-30,48,False
2019-07-07,47,False
2019-07-14,72,False
2019-07-21,50,False
2019-07-28,49,False
2019-08-04,50,False
2019-08-11,50,False
2019-08-18,69,False
2019-08-25,43,False
2019-09-01,42,False
2019-09-08,43,False
2019-09-15,42,False
2019-09-22,43,False
2019-09-29,42,False
2019-10-06,86,False
2019-10-13,40,False
2019-10-20,0,False
2019-10-27,40,False
2019-11-03,38,False
2019-11-10,38,False
2019-11-17,79,False
2019-11-24,51,False
2019-12-01,41,False
2019-12-08,41,False
2019-12-15,39,False
2019-12-22,43,False
2019-12-29,84,False
2020-01-05,78,False
2020-01-12,36,False
2020-01-19,96,False
2020-01-26,62,False
2020-02-02,75,False
2020-02-09,38,False
2020-02-16,56,False
2020-02-23,35,False
2020-03-01,47,False
2020-03-08,34,False
2020-03-15,33,False
2020-03-22,46,False
2020-03-29,31,False
2020-04-05,65,False
2020-04-12,31,False
2020-04-19,61,False
2020-04-26,47,False
2020-05-03,30,False
2020-05-10,31,False
2020-05-17,96,True
