date,studio de yoga,isPartial
2018-01-07,63,False
2018-01-14,26,False
2018-01-21,40,False
2018-01-28,54,False
2018-02-04,0,False
2018-02-11,40,False
2018-02-18,28,False
2018-02-25,27,False
2018-03-04,36,False
2018-03-11,0,False
2018-03-18,54,False
2018-03-25,37,False
2018-04-01,55,False
2018-04-08,41,False
2018-04-15,29,False
2018-04-22,28,False
2018-04-29,28,False
2018-05-06,0,False
2018-05-13,54,False
2018-05-20,42,False
2018-05-27,27,False
2018-06-03,41,False
2018-06-10,26,False
2018-06-17,27,False
2018-06-24,41,False
2018-07-01,27,False
2018-07-08,0,False
2018-07-15,49,False
2018-07-22,29,False
2018-07-29,30,False
2018-08-05,45,False
2018-08-12,61,False
2018-08-19,89,False
2018-08-26,47,False
2018-09-02,28,False
2018-09-09,42,False
2018-09-16,96,False
2018-09-23,55,False
2018-09-30,27,False
2018-10-07,28,False
2018-10-14,83,False
2018-10-21,28,False
2018-10-28,0,False
2018-11-04,54,False
2018-11-11,27,False
2018-11-18,26,False
2018-11-25,36,False
2018-12-02,82,False
2018-12-09,41,False
2018-12-16,28,False
2018-12-23,31,False
2018-12-30,69,False
2019-01-06,54,False
2019-01-13,40,False
2019-01-20,26,False
2019-01-27,26,False
2019-02-03,53,False
2019-02-10,55,False
2019-02-17,0,False
2019-02-24,27,False
2019-03-03,40,False
2019-03-10,27,False
2019-03-17,28,False
2019-03-24,28,False
2019-03-31,27,False
2019-04-07,55,False
2019-04-14,56,False
2019-04-21,28,False
2019-04-28,54,False
2019-05-05,26,False
2019-05-12,27,False
2019-05-19,26,False
2019-05-26,36,False
2019-06-02,25,False
2019-06-09,26,False
2019-06-16,27,False
2019-06-23,0,False
2019-06-30,35,False
2019-07-07,0,False
2019-07-14,46,False
2019-07-21,70,False
2019-07-28,29,False
2019-08-04,0,False
2019-08-11,43,False
2019-08-18,100,False
2019-08-25,45,False
2019-09-01,64,False
2019-09-08,43,False
2019-09-15,64,False
2019-09-22,37,False
2019-09-29,33,False
2019-10-06,25,False
2019-10-13,33,False
2019-10-20,63,False
2019-10-27,37,False
2019-11-03,36,False
2019-11-10,65,False
2019-11-17,36,False
2019-11-24,71,False
2019-12-01,48,False
2019-12-08,24,False
2019-12-15,49,False
2019-12-22,27,False
2019-12-29,35,False
2020-01-05,0,False
2020-01-12,23,False
2020-01-19,39,False
2020-01-26,23,False
2020-02-02,24,False
2020-02-09,59,False
2020-02-16,48,False
2020-02-23,68,False
2020-03-01,23,False
2020-03-08,37,False
2020-03-15,21,False
2020-03-22,35,False
2020-03-29,21,False
2020-04-05,42,False
2020-04-12,21,False
2020-04-19,21,False
2020-04-26,26,False
2020-05-03,20,False
2020-05-10,21,False
2020-05-17,40,True
