date,editing video,isPartial
2018-01-07,82,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,26,False
2018-02-04,26,False
2018-02-11,39,False
2018-02-18,38,False
2018-02-25,73,False
2018-03-04,50,False
2018-03-11,50,False
2018-03-18,25,False
2018-03-25,40,False
2018-04-01,0,False
2018-04-08,26,False
2018-04-15,0,False
2018-04-22,55,False
2018-04-29,26,False
2018-05-06,25,False
2018-05-13,26,False
2018-05-20,52,False
2018-05-27,52,False
2018-06-03,0,False
2018-06-10,24,False
2018-06-17,25,False
2018-06-24,26,False
2018-07-01,0,False
2018-07-08,25,False
2018-07-15,25,False
2018-07-22,37,False
2018-07-29,52,False
2018-08-05,53,False
2018-08-12,55,False
2018-08-19,67,False
2018-08-26,25,False
2018-09-02,76,False
2018-09-09,0,False
2018-09-16,74,False
2018-09-23,0,False
2018-09-30,51,False
2018-10-07,0,False
2018-10-14,26,False
2018-10-21,78,False
2018-10-28,25,False
2018-11-04,26,False
2018-11-11,0,False
2018-11-18,39,False
2018-11-25,0,False
2018-12-02,26,False
2018-12-09,54,False
2018-12-16,28,False
2018-12-23,65,False
2018-12-30,44,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,37,False
2019-01-27,49,False
2019-02-03,25,False
2019-02-10,26,False
2019-02-17,26,False
2019-02-24,53,False
2019-03-03,26,False
2019-03-10,0,False
2019-03-17,26,False
2019-03-24,0,False
2019-03-31,38,False
2019-04-07,26,False
2019-04-14,26,False
2019-04-21,52,False
2019-04-28,25,False
2019-05-05,0,False
2019-05-12,24,False
2019-05-19,49,False
2019-05-26,23,False
2019-06-02,0,False
2019-06-09,25,False
2019-06-16,40,False
2019-06-23,0,False
2019-06-30,51,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,27,False
2019-08-11,0,False
2019-08-18,26,False
2019-08-25,37,False
2019-09-01,0,False
2019-09-08,48,False
2019-09-15,0,False
2019-09-22,46,False
2019-09-29,35,False
2019-10-06,24,False
2019-10-13,24,False
2019-10-20,23,False
2019-10-27,23,False
2019-11-03,23,False
2019-11-10,24,False
2019-11-17,34,False
2019-11-24,69,False
2019-12-01,0,False
2019-12-08,24,False
2019-12-15,48,False
2019-12-22,29,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,22,False
2020-01-19,0,False
2020-01-26,44,False
2020-02-02,45,False
2020-02-09,23,False
2020-02-16,68,False
2020-02-23,42,False
2020-03-01,32,False
2020-03-08,20,False
2020-03-15,51,False
2020-03-22,37,False
2020-03-29,58,False
2020-04-05,50,False
2020-04-12,40,False
2020-04-19,48,False
2020-04-26,100,True
