date,editing video,isPartial
2018-01-07,32,False
2018-01-14,19,False
2018-01-21,13,False
2018-01-28,19,False
2018-02-04,19,False
2018-02-11,24,False
2018-02-18,29,False
2018-02-25,34,False
2018-03-04,34,False
2018-03-11,11,False
2018-03-18,12,False
2018-03-25,31,False
2018-04-01,26,False
2018-04-08,12,False
2018-04-15,24,False
2018-04-22,12,False
2018-04-29,24,False
2018-05-06,23,False
2018-05-13,11,False
2018-05-20,23,False
2018-05-27,24,False
2018-06-03,24,False
2018-06-10,11,False
2018-06-17,28,False
2018-06-24,24,False
2018-07-01,12,False
2018-07-08,36,False
2018-07-15,24,False
2018-07-22,12,False
2018-07-29,12,False
2018-08-05,20,False
2018-08-12,23,False
2018-08-19,16,False
2018-08-26,27,False
2018-09-02,24,False
2018-09-09,0,False
2018-09-16,33,False
2018-09-23,17,False
2018-09-30,40,False
2018-10-07,12,False
2018-10-14,17,False
2018-10-21,23,False
2018-10-28,39,False
2018-11-04,22,False
2018-11-11,11,False
2018-11-18,17,False
2018-11-25,17,False
2018-12-02,32,False
2018-12-09,24,False
2018-12-16,19,False
2018-12-23,23,False
2018-12-30,20,False
2019-01-06,13,False
2019-01-13,12,False
2019-01-20,12,False
2019-01-27,76,False
2019-02-03,38,False
2019-02-10,12,False
2019-02-17,31,False
2019-02-24,17,False
2019-03-03,0,False
2019-03-10,20,False
2019-03-17,33,False
2019-03-24,32,False
2019-03-31,19,False
2019-04-07,12,False
2019-04-14,100,False
2019-04-21,57,False
2019-04-28,19,False
2019-05-05,23,False
2019-05-12,24,False
2019-05-19,31,False
2019-05-26,12,False
2019-06-02,19,False
2019-06-09,19,False
2019-06-16,13,False
2019-06-23,40,False
2019-06-30,0,False
2019-07-07,12,False
2019-07-14,34,False
2019-07-21,26,False
2019-07-28,29,False
2019-08-04,31,False
2019-08-11,17,False
2019-08-18,24,False
2019-08-25,21,False
2019-09-01,18,False
2019-09-08,19,False
2019-09-15,84,False
2019-09-22,12,False
2019-09-29,36,False
2019-10-06,25,False
2019-10-13,19,False
2019-10-20,24,False
2019-10-27,24,False
2019-11-03,29,False
2019-11-10,18,False
2019-11-17,24,False
2019-11-24,12,False
2019-12-01,37,False
2019-12-08,37,False
2019-12-15,25,False
2019-12-22,23,False
2019-12-29,29,False
2020-01-05,37,False
2020-01-12,34,False
2020-01-19,23,False
2020-01-26,17,False
2020-02-02,23,False
2020-02-09,23,False
2020-02-16,23,False
2020-02-23,11,False
2020-03-01,22,False
2020-03-08,0,False
2020-03-15,54,False
2020-03-22,67,False
2020-03-29,42,False
2020-04-05,50,False
2020-04-12,61,False
2020-04-19,41,False
2020-04-26,55,True
