date,vestiti uomo,isPartial
2018-01-07,84,False
2018-01-14,70,False
2018-01-21,42,False
2018-01-28,42,False
2018-02-04,67,False
2018-02-11,82,False
2018-02-18,27,False
2018-02-25,51,False
2018-03-04,27,False
2018-03-11,55,False
2018-03-18,27,False
2018-03-25,58,False
2018-04-01,29,False
2018-04-08,56,False
2018-04-15,0,False
2018-04-22,60,False
2018-04-29,86,False
2018-05-06,28,False
2018-05-13,29,False
2018-05-20,56,False
2018-05-27,58,False
2018-06-03,58,False
2018-06-10,0,False
2018-06-17,27,False
2018-06-24,54,False
2018-07-01,55,False
2018-07-08,82,False
2018-07-15,41,False
2018-07-22,40,False
2018-07-29,0,False
2018-08-05,26,False
2018-08-12,0,False
2018-08-19,24,False
2018-08-26,37,False
2018-09-02,26,False
2018-09-09,28,False
2018-09-16,27,False
2018-09-23,41,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,58,False
2018-10-21,57,False
2018-10-28,85,False
2018-11-04,28,False
2018-11-11,29,False
2018-11-18,0,False
2018-11-25,28,False
2018-12-02,60,False
2018-12-09,0,False
2018-12-16,29,False
2018-12-23,92,False
2018-12-30,55,False
2019-01-06,54,False
2019-01-13,27,False
2019-01-20,100,False
2019-01-27,50,False
2019-02-03,25,False
2019-02-10,75,False
2019-02-17,65,False
2019-02-24,77,False
2019-03-03,27,False
2019-03-10,0,False
2019-03-17,40,False
2019-03-24,78,False
2019-03-31,26,False
2019-04-07,38,False
2019-04-14,54,False
2019-04-21,27,False
2019-04-28,25,False
2019-05-05,26,False
2019-05-12,50,False
2019-05-19,25,False
2019-05-26,24,False
2019-06-02,39,False
2019-06-09,27,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,79,False
2019-07-07,0,False
2019-07-14,26,False
2019-07-21,26,False
2019-07-28,50,False
2019-08-04,75,False
2019-08-11,25,False
2019-08-18,49,False
2019-08-25,37,False
2019-09-01,24,False
2019-09-08,0,False
2019-09-15,24,False
2019-09-22,24,False
2019-09-29,36,False
2019-10-06,0,False
2019-10-13,25,False
2019-10-20,24,False
2019-10-27,49,False
2019-11-03,23,False
2019-11-10,24,False
2019-11-17,49,False
2019-11-24,47,False
2019-12-01,25,False
2019-12-08,50,False
2019-12-15,49,False
2019-12-22,39,False
2019-12-29,25,False
2020-01-05,47,False
2020-01-12,45,False
2020-01-19,70,False
2020-01-26,68,False
2020-02-02,55,False
2020-02-09,57,False
2020-02-16,46,False
2020-02-23,88,False
2020-03-01,22,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,54,False
2020-03-29,18,False
2020-04-05,40,False
2020-04-12,59,False
2020-04-19,46,False
2020-04-26,33,True
