date,Jazz,isPartial
2018-01-07,26,False
2018-01-14,26,False
2018-01-21,26,False
2018-01-28,26,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,23,False
2018-03-04,49,False
2018-03-11,76,False
2018-03-18,0,False
2018-03-25,27,False
2018-04-01,28,False
2018-04-08,26,False
2018-04-15,27,False
2018-04-22,0,False
2018-04-29,78,False
2018-05-06,0,False
2018-05-13,54,False
2018-05-20,25,False
2018-05-27,28,False
2018-06-03,27,False
2018-06-10,25,False
2018-06-17,0,False
2018-06-24,66,False
2018-07-01,40,False
2018-07-08,51,False
2018-07-15,26,False
2018-07-22,25,False
2018-07-29,50,False
2018-08-05,36,False
2018-08-12,29,False
2018-08-19,21,False
2018-08-26,58,False
2018-09-02,24,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,26,False
2018-09-30,26,False
2018-10-07,54,False
2018-10-14,27,False
2018-10-21,26,False
2018-10-28,51,False
2018-11-04,52,False
2018-11-11,0,False
2018-11-18,25,False
2018-11-25,0,False
2018-12-02,27,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,43,False
2018-12-30,25,False
2019-01-06,0,False
2019-01-13,100,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,24,False
2019-02-24,37,False
2019-03-03,0,False
2019-03-10,26,False
2019-03-17,26,False
2019-03-24,26,False
2019-03-31,26,False
2019-04-07,25,False
2019-04-14,0,False
2019-04-21,27,False
2019-04-28,51,False
2019-05-05,51,False
2019-05-12,24,False
2019-05-19,25,False
2019-05-26,46,False
2019-06-02,26,False
2019-06-09,56,False
2019-06-16,55,False
2019-06-23,55,False
2019-06-30,28,False
2019-07-07,76,False
2019-07-14,27,False
2019-07-21,53,False
2019-07-28,52,False
2019-08-04,25,False
2019-08-11,47,False
2019-08-18,67,False
2019-08-25,45,False
2019-09-01,70,False
2019-09-08,0,False
2019-09-15,24,False
2019-09-22,0,False
2019-09-29,72,False
2019-10-06,0,False
2019-10-13,25,False
2019-10-20,49,False
2019-10-27,24,False
2019-11-03,0,False
2019-11-10,23,False
2019-11-17,0,False
2019-11-24,23,False
2019-12-01,23,False
2019-12-08,0,False
2019-12-15,24,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,34,False
2020-01-12,21,False
2020-01-19,22,False
2020-01-26,22,False
2020-02-02,21,False
2020-02-09,33,False
2020-02-16,22,False
2020-02-23,41,False
2020-03-01,30,False
2020-03-08,19,False
2020-03-15,27,False
2020-03-22,16,False
2020-03-29,25,False
2020-04-05,38,False
2020-04-12,19,False
2020-04-19,35,False
2020-04-26,0,True
