date,cours mathématiques,isPartial
2018-01-07,43,False
2018-01-14,29,False
2018-01-21,43,False
2018-01-28,44,False
2018-02-04,54,False
2018-02-11,29,False
2018-02-18,58,False
2018-02-25,23,False
2018-03-04,22,False
2018-03-11,22,False
2018-03-18,22,False
2018-03-25,34,False
2018-04-01,38,False
2018-04-08,22,False
2018-04-15,24,False
2018-04-22,24,False
2018-04-29,34,False
2018-05-06,24,False
2018-05-13,0,False
2018-05-20,45,False
2018-05-27,43,False
2018-06-03,43,False
2018-06-10,21,False
2018-06-17,53,False
2018-06-24,22,False
2018-07-01,21,False
2018-07-08,23,False
2018-07-15,24,False
2018-07-22,100,False
2018-07-29,35,False
2018-08-05,27,False
2018-08-12,57,False
2018-08-19,35,False
2018-08-26,36,False
2018-09-02,23,False
2018-09-09,43,False
2018-09-16,21,False
2018-09-23,36,False
2018-09-30,22,False
2018-10-07,29,False
2018-10-14,31,False
2018-10-21,21,False
2018-10-28,46,False
2018-11-04,32,False
2018-11-11,21,False
2018-11-18,71,False
2018-11-25,22,False
2018-12-02,36,False
2018-12-09,44,False
2018-12-16,22,False
2018-12-23,0,False
2018-12-30,25,False
2019-01-06,22,False
2019-01-13,58,False
2019-01-20,21,False
2019-01-27,21,False
2019-02-03,51,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,33,False
2019-03-03,43,False
2019-03-10,22,False
2019-03-17,45,False
2019-03-24,23,False
2019-03-31,44,False
2019-04-07,46,False
2019-04-14,24,False
2019-04-21,33,False
2019-04-28,24,False
2019-05-05,24,False
2019-05-12,23,False
2019-05-19,23,False
2019-05-26,47,False
2019-06-02,21,False
2019-06-09,46,False
2019-06-16,23,False
2019-06-23,23,False
2019-06-30,23,False
2019-07-07,47,False
2019-07-14,50,False
2019-07-21,0,False
2019-07-28,28,False
2019-08-04,58,False
2019-08-11,30,False
2019-08-18,58,False
2019-08-25,76,False
2019-09-01,30,False
2019-09-08,45,False
2019-09-15,44,False
2019-09-22,22,False
2019-09-29,50,False
2019-10-06,67,False
2019-10-13,22,False
2019-10-20,23,False
2019-10-27,31,False
2019-11-03,64,False
2019-11-10,44,False
2019-11-17,58,False
2019-11-24,43,False
2019-12-01,21,False
2019-12-08,21,False
2019-12-15,0,False
2019-12-22,35,False
2019-12-29,74,False
2020-01-05,32,False
2020-01-12,21,False
2020-01-19,54,False
2020-01-26,42,False
2020-02-02,36,False
2020-02-09,43,False
2020-02-16,33,False
2020-02-23,21,False
2020-03-01,41,False
2020-03-08,20,False
2020-03-15,43,False
2020-03-22,51,False
2020-03-29,32,False
2020-04-05,43,False
2020-04-12,22,False
2020-04-19,32,False
2020-04-26,21,False
2020-05-03,60,False
2020-05-10,31,False
2020-05-17,0,True
