date,Verdunkelungsrollo,isPartial
2018-01-07,19,False
2018-01-14,38,False
2018-01-21,38,False
2018-01-28,57,False
2018-02-04,20,False
2018-02-11,19,False
2018-02-18,19,False
2018-02-25,57,False
2018-03-04,38,False
2018-03-11,57,False
2018-03-18,19,False
2018-03-25,20,False
2018-04-01,52,False
2018-04-08,20,False
2018-04-15,41,False
2018-04-22,51,False
2018-04-29,21,False
2018-05-06,31,False
2018-05-13,0,False
2018-05-20,41,False
2018-05-27,21,False
2018-06-03,40,False
2018-06-10,48,False
2018-06-17,19,False
2018-06-24,19,False
2018-07-01,49,False
2018-07-08,39,False
2018-07-15,21,False
2018-07-22,20,False
2018-07-29,73,False
2018-08-05,40,False
2018-08-12,53,False
2018-08-19,20,False
2018-08-26,39,False
2018-09-02,20,False
2018-09-09,30,False
2018-09-16,0,False
2018-09-23,20,False
2018-09-30,20,False
2018-10-07,20,False
2018-10-14,30,False
2018-10-21,20,False
2018-10-28,20,False
2018-11-04,0,False
2018-11-11,39,False
2018-11-18,38,False
2018-11-25,38,False
2018-12-02,19,False
2018-12-09,19,False
2018-12-16,40,False
2018-12-23,22,False
2018-12-30,29,False
2019-01-06,0,False
2019-01-13,18,False
2019-01-20,18,False
2019-01-27,18,False
2019-02-03,18,False
2019-02-10,36,False
2019-02-17,36,False
2019-02-24,27,False
2019-03-03,18,False
2019-03-10,27,False
2019-03-17,65,False
2019-03-24,18,False
2019-03-31,76,False
2019-04-07,75,False
2019-04-14,0,False
2019-04-21,100,False
2019-04-28,38,False
2019-05-05,18,False
2019-05-12,46,False
2019-05-19,37,False
2019-05-26,0,False
2019-06-02,76,False
2019-06-09,58,False
2019-06-16,0,False
2019-06-23,68,False
2019-06-30,48,False
2019-07-07,37,False
2019-07-14,59,False
2019-07-21,40,False
2019-07-28,39,False
2019-08-04,0,False
2019-08-11,20,False
2019-08-18,28,False
2019-08-25,56,False
2019-09-01,18,False
2019-09-08,19,False
2019-09-15,18,False
2019-09-22,73,False
2019-09-29,17,False
2019-10-06,0,False
2019-10-13,36,False
2019-10-20,27,False
2019-10-27,0,False
2019-11-03,34,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,35,False
2019-12-08,26,False
2019-12-15,27,False
2019-12-22,39,False
2019-12-29,27,False
2020-01-05,33,False
2020-01-12,16,False
2020-01-19,16,False
2020-01-26,0,False
2020-02-02,16,False
2020-02-09,32,False
2020-02-16,16,False
2020-02-23,15,False
2020-03-01,31,False
2020-03-08,37,False
2020-03-15,61,False
2020-03-22,51,False
2020-03-29,30,False
2020-04-05,25,False
2020-04-12,95,False
2020-04-19,23,False
2020-04-26,46,False
2020-05-03,63,False
2020-05-10,47,False
2020-05-17,34,False
2020-05-24,39,False
2020-05-31,56,False
2020-06-07,32,False
2020-06-14,54,False
2020-06-21,40,False
2020-06-28,56,False
2020-07-05,59,False
