date,remplacement volet roulant,isPartial
2018-01-07,30,False
2018-01-14,39,False
2018-01-21,20,False
2018-01-28,33,False
2018-02-04,59,False
2018-02-11,20,False
2018-02-18,54,False
2018-02-25,20,False
2018-03-04,40,False
2018-03-11,60,False
2018-03-18,20,False
2018-03-25,41,False
2018-04-01,41,False
2018-04-08,20,False
2018-04-15,32,False
2018-04-22,28,False
2018-04-29,21,False
2018-05-06,21,False
2018-05-13,20,False
2018-05-20,41,False
2018-05-27,26,False
2018-06-03,27,False
2018-06-10,38,False
2018-06-17,40,False
2018-06-24,20,False
2018-07-01,40,False
2018-07-08,63,False
2018-07-15,36,False
2018-07-22,0,False
2018-07-29,44,False
2018-08-05,22,False
2018-08-12,46,False
2018-08-19,88,False
2018-08-26,62,False
2018-09-02,21,False
2018-09-09,31,False
2018-09-16,34,False
2018-09-23,31,False
2018-09-30,20,False
2018-10-07,62,False
2018-10-14,34,False
2018-10-21,21,False
2018-10-28,35,False
2018-11-04,33,False
2018-11-11,40,False
2018-11-18,30,False
2018-11-25,60,False
2018-12-02,60,False
2018-12-09,31,False
2018-12-16,21,False
2018-12-23,0,False
2018-12-30,22,False
2019-01-06,100,False
2019-01-13,27,False
2019-01-20,52,False
2019-01-27,58,False
2019-02-03,32,False
2019-02-10,20,False
2019-02-17,35,False
2019-02-24,20,False
2019-03-03,20,False
2019-03-10,26,False
2019-03-17,72,False
2019-03-24,31,False
2019-03-31,60,False
2019-04-07,21,False
2019-04-14,21,False
2019-04-21,21,False
2019-04-28,27,False
2019-05-05,29,False
2019-05-12,40,False
2019-05-19,59,False
2019-05-26,0,False
2019-06-02,37,False
2019-06-09,58,False
2019-06-16,40,False
2019-06-23,26,False
2019-06-30,53,False
2019-07-07,20,False
2019-07-14,20,False
2019-07-21,42,False
2019-07-28,42,False
2019-08-04,28,False
2019-08-11,21,False
2019-08-18,31,False
2019-08-25,20,False
2019-09-01,32,False
2019-09-08,38,False
2019-09-15,48,False
2019-09-22,56,False
2019-09-29,37,False
2019-10-06,31,False
2019-10-13,19,False
2019-10-20,31,False
2019-10-27,74,False
2019-11-03,30,False
2019-11-10,54,False
2019-11-17,36,False
2019-11-24,35,False
2019-12-01,18,False
2019-12-08,36,False
2019-12-15,27,False
2019-12-22,30,False
2019-12-29,29,False
2020-01-05,17,False
2020-01-12,17,False
2020-01-19,44,False
2020-01-26,35,False
2020-02-02,18,False
2020-02-09,23,False
2020-02-16,35,False
2020-02-23,25,False
2020-03-01,33,False
2020-03-08,41,False
2020-03-15,16,False
2020-03-22,15,False
2020-03-29,15,False
2020-04-05,21,False
2020-04-12,37,False
2020-04-19,16,False
2020-04-26,22,False
2020-05-03,35,False
2020-05-10,21,False
2020-05-17,39,False
2020-05-24,33,False
2020-05-31,38,False
2020-06-07,36,False
2020-06-14,16,False
2020-06-21,62,True
