date,mariage chic ,mariage nature ,mariage romantique ,mariage original _x,mariage traditionnel ,isPartial_x,mariage original _y,mariage élégant ,mariage bohème ,mariage champêtre ,mariage glamour ,isPartial_y,mariage original ,mariage vintage,mariage plage ,isPartial
2018-01-07,30,0,0,31,0,False,31,0,0,0,0,False,31,0,0,False
2018-01-14,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-01-21,0,0,0,30,0,False,30,0,0,0,0,False,30,0,0,False
2018-01-28,60,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-02-04,30,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-02-11,46,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-02-18,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-02-25,29,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-03-04,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-03-11,30,0,0,30,0,False,30,0,0,0,0,False,30,0,0,False
2018-03-18,31,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-03-25,31,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-04-01,0,0,0,32,0,False,32,0,0,0,0,False,32,0,0,False
2018-04-08,0,0,0,33,0,False,33,0,0,0,0,False,33,0,0,False
2018-04-15,36,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-04-22,32,0,0,31,0,False,31,0,0,0,0,False,31,0,0,False
2018-04-29,32,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-05-06,32,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-05-13,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-05-20,32,0,0,32,0,False,32,0,0,0,0,False,32,0,0,False
2018-05-27,31,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-06-03,32,0,0,32,0,False,32,0,0,0,0,False,32,0,0,False
2018-06-10,0,0,0,31,0,False,31,0,0,0,0,False,31,0,0,False
2018-06-17,33,0,0,33,0,False,33,0,0,0,0,False,33,0,0,False
2018-06-24,0,0,0,32,0,False,32,0,0,0,0,False,32,0,0,False
2018-07-01,32,0,0,31,0,False,31,0,0,0,0,False,31,0,0,False
2018-07-08,33,0,0,66,0,False,66,0,0,0,0,False,66,0,0,False
2018-07-15,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-07-22,35,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-07-29,0,0,0,72,0,False,72,0,0,0,0,False,72,0,0,False
2018-08-05,0,0,0,36,0,False,36,0,0,0,0,False,36,0,0,False
2018-08-12,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-08-19,0,0,0,34,0,False,34,0,0,0,0,False,34,0,0,False
2018-08-26,0,0,0,32,0,False,32,0,0,0,0,False,32,0,0,False
2018-09-02,33,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-09-09,0,0,0,34,0,False,34,0,0,0,0,False,34,0,0,False
2018-09-16,33,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
