date,freie Hochzeit,Hochzeit Standesamt,Hochzeit Kirche,isPartial
2018-01-07,25,0,0,False
2018-01-14,0,24,0,False
2018-01-21,0,25,37,False
2018-01-28,25,50,25,False
2018-02-04,0,0,26,False
2018-02-11,0,26,26,False
2018-02-18,0,77,52,False
2018-02-25,25,25,51,False
2018-03-04,0,38,26,False
2018-03-11,51,39,39,False
2018-03-18,0,78,26,False
2018-03-25,0,27,27,False
2018-04-01,0,55,82,False
2018-04-08,0,27,27,False
2018-04-15,0,27,41,False
2018-04-22,0,0,26,False
2018-04-29,0,26,27,False
2018-05-06,0,55,40,False
2018-05-13,0,52,52,False
2018-05-20,0,66,79,False
2018-05-27,0,26,0,False
2018-06-03,0,0,27,False
2018-06-10,25,100,76,False
2018-06-17,52,52,26,False
2018-06-24,27,0,0,False
2018-07-01,0,54,27,False
2018-07-08,0,54,52,False
2018-07-15,0,27,27,False
2018-07-22,0,54,54,False
2018-07-29,0,26,39,False
2018-08-05,25,51,0,False
2018-08-12,0,26,26,False
2018-08-19,26,39,77,False
2018-08-26,0,0,0,False
2018-09-02,0,25,0,False
2018-09-09,0,53,0,False
2018-09-16,26,52,26,False
2018-09-23,0,26,0,False
2018-09-30,0,0,0,False
2018-10-07,0,83,54,False
2018-10-14,0,39,0,False
2018-10-21,0,0,0,False
2018-10-28,0,0,0,False
2018-11-04,0,37,0,False
2018-11-11,0,38,26,False
2018-11-18,24,48,24,False
2018-11-25,0,86,74,False
2018-12-02,0,49,24,False
2018-12-09,0,25,0,False
2018-12-16,25,26,0,False
2018-12-23,28,27,28,False
2018-12-30,0,38,0,False
2019-01-06,0,35,24,False
2019-01-13,0,35,0,False
2019-01-20,0,23,23,False
2019-01-27,24,48,0,False
2019-02-03,24,0,48,False
2019-02-10,0,73,24,False
2019-02-17,0,0,25,False
2019-02-24,0,26,26,False
2019-03-03,0,0,48,False
2019-03-10,24,35,24,False
2019-03-17,0,0,0,False
2019-03-24,0,25,25,False
2019-03-31,0,25,0,False
2019-04-07,0,25,25,False
2019-04-14,0,0,25,False
2019-04-21,26,26,39,False
2019-04-28,0,50,25,False
2019-05-05,0,47,48,False
2019-05-12,0,0,25,False
2019-05-19,0,24,0,False
2019-05-26,24,0,37,False
2019-06-02,24,24,0,False
2019-06-09,0,74,49,False
2019-06-16,50,0,25,False
2019-06-23,0,25,0,False
2019-06-30,0,38,25,False
2019-07-07,0,0,50,False
2019-07-14,0,0,26,False
2019-07-21,55,40,53,False
2019-07-28,0,26,53,False
2019-08-04,0,25,0,False
2019-08-11,0,36,24,False
2019-08-18,24,61,0,False
2019-08-25,0,36,24,False
2019-09-01,0,0,24,False
2019-09-08,24,24,0,False
2019-09-15,0,25,0,False
2019-09-22,23,47,24,False
2019-09-29,25,49,0,False
2019-10-06,0,36,0,False
2019-10-13,0,24,23,False
2019-10-20,23,23,23,False
2019-10-27,0,34,0,False
2019-11-03,0,34,23,False
2019-11-10,0,0,22,False
2019-11-17,0,22,0,False
2019-11-24,0,22,0,False
2019-12-01,0,23,0,False
2019-12-08,0,34,0,False
2019-12-15,0,0,0,False
2019-12-22,25,25,0,False
2019-12-29,23,24,47,False
2020-01-05,0,0,0,False
2020-01-12,0,21,0,False
2020-01-19,22,21,44,False
2020-01-26,0,22,32,False
2020-02-02,0,42,0,False
2020-02-09,0,31,21,False
2020-02-16,0,22,0,False
2020-02-23,0,21,21,False
2020-03-01,21,52,21,False
2020-03-08,0,49,29,False
2020-03-15,0,19,0,False
2020-03-22,0,35,0,False
2020-03-29,0,18,18,False
2020-04-05,0,20,20,False
2020-04-12,0,19,19,False
2020-04-19,0,19,0,False
2020-04-26,0,36,18,False
2020-05-03,0,32,0,True
