date,freie Hochzeit,Hochzeit Standesamt,Hochzeit Kirche,isPartial
2018-01-07,0,53,52,False
2018-01-14,0,82,27,False
2018-01-21,27,40,0,False
2018-01-28,0,26,26,False
2018-02-04,0,0,0,False
2018-02-11,0,54,41,False
2018-02-18,28,0,0,False
2018-02-25,0,0,27,False
2018-03-04,27,68,0,False
2018-03-11,26,53,26,False
2018-03-18,26,53,27,False
2018-03-25,0,29,0,False
2018-04-01,0,57,29,False
2018-04-08,0,27,27,False
2018-04-15,0,28,28,False
2018-04-22,0,27,27,False
2018-04-29,0,0,0,False
2018-05-06,27,55,27,False
2018-05-13,0,26,52,False
2018-05-20,0,27,40,False
2018-05-27,26,0,26,False
2018-06-03,27,27,0,False
2018-06-10,0,0,26,False
2018-06-17,0,39,53,False
2018-06-24,54,27,0,False
2018-07-01,0,27,0,False
2018-07-08,0,0,28,False
2018-07-15,0,29,0,False
2018-07-22,0,56,0,False
2018-07-29,0,0,0,False
2018-08-05,26,39,26,False
2018-08-12,25,25,77,False
2018-08-19,0,38,0,False
2018-08-26,0,26,0,False
2018-09-02,0,40,0,False
2018-09-09,0,26,26,False
2018-09-16,0,27,0,False
2018-09-23,0,0,0,False
2018-09-30,0,81,0,False
2018-10-07,0,0,0,False
2018-10-14,0,41,27,False
2018-10-21,0,0,0,False
2018-10-28,0,50,0,False
2018-11-04,0,25,0,False
2018-11-11,0,51,0,False
2018-11-18,0,25,0,False
2018-11-25,26,51,26,False
2018-12-02,0,51,51,False
2018-12-09,0,26,0,False
2018-12-16,0,53,0,False
2018-12-23,0,0,29,False
2018-12-30,0,27,27,False
2019-01-06,0,25,25,False
2019-01-13,24,24,0,False
2019-01-20,0,48,0,False
2019-01-27,0,24,24,False
2019-02-03,0,25,0,False
2019-02-10,25,25,99,False
2019-02-17,27,0,27,False
2019-02-24,0,26,26,False
2019-03-03,25,49,0,False
2019-03-10,24,49,0,False
2019-03-17,0,26,52,False
2019-03-24,25,100,0,False
2019-03-31,0,26,0,False
2019-04-07,0,0,25,False
2019-04-14,0,27,0,False
2019-04-21,27,27,0,False
2019-04-28,25,25,0,False
2019-05-05,25,48,0,False
2019-05-12,25,25,0,False
2019-05-19,24,24,0,False
2019-05-26,0,51,0,False
2019-06-02,0,25,0,False
2019-06-09,0,25,25,False
2019-06-16,0,25,25,False
2019-06-23,26,26,0,False
2019-06-30,0,0,25,False
2019-07-07,0,52,0,False
2019-07-14,53,40,27,False
2019-07-21,0,28,28,False
2019-07-28,0,40,26,False
2019-08-04,0,0,0,False
2019-08-11,25,26,26,False
2019-08-18,0,51,0,False
2019-08-25,25,25,0,False
2019-09-01,25,24,0,False
2019-09-08,0,51,0,False
2019-09-15,0,25,25,False
2019-09-22,0,24,0,False
2019-09-29,24,48,0,False
2019-10-06,25,25,0,False
2019-10-13,0,0,0,False
2019-10-20,50,50,0,False
2019-10-27,0,0,0,False
2019-11-03,23,23,23,False
2019-11-10,0,47,0,False
2019-11-17,0,23,0,False
2019-11-24,0,23,0,False
2019-12-01,24,23,0,False
2019-12-08,46,47,23,False
2019-12-15,24,23,23,False
2019-12-22,26,26,0,False
2019-12-29,25,25,0,False
2020-01-05,0,22,0,False
2020-01-12,0,66,0,False
2020-01-19,22,22,0,False
2020-01-26,0,22,44,False
2020-02-02,22,43,22,False
2020-02-09,0,23,0,False
2020-02-16,22,67,0,False
2020-02-23,0,22,22,False
2020-03-01,0,65,22,False
2020-03-08,0,31,0,False
2020-03-15,20,39,0,False
2020-03-22,20,0,0,False
2020-03-29,0,19,19,False
2020-04-05,0,22,0,False
2020-04-12,21,21,0,False
2020-04-19,0,20,0,False
2020-04-26,20,20,0,False
2020-05-03,0,45,0,True
