date,mariage chic ,mariage nature ,mariage romantique ,mariage original _x,mariage traditionnel ,isPartial_x,mariage original _y,mariage élégant ,mariage bohème ,mariage champêtre _x,mariage glamour ,isPartial_y,mariage champêtre _y,mariage vintage,mariage plage ,isPartial
2018-01-07,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,0,False,0,0,0,False
2018-01-14,0.0,0.0,0.0,129.0013966480447,0.0,False,39,0,0,0,0,False,0,0,0,False
2018-01-21,65.49301675977654,0.0,0.0,65.49301675977654,0.0,False,20,0,0,0,0,False,0,0,0,False
2018-01-28,63.50837988826816,0.0,0.0,0.0,0.0,False,0,0,0,0,0,False,0,0,0,False
2018-02-04,63.50837988826816,0.0,0.0,0.0,0.0,False,0,0,0,0,0,False,0,0,0,False
2018-02-11,65.49301675977654,0.0,0.0,65.49301675977654,0.0,False,20,0,0,0,0,False,0,0,0,False
2018-02-18,65.49301675977654,0.0,0.0,198.46368715083798,0.0,False,60,0,0,0,0,False,0,0,0,False
2018-02-25,67.47765363128492,0.0,0.0,0.0,0.0,False,0,0,0,20,0,False,20,0,0,False
2018-03-04,136.93994413407822,0.0,0.0,67.47765363128492,0.0,False,21,0,0,21,0,False,21,0,0,False
2018-03-11,67.47765363128492,0.0,0.0,0.0,0.0,False,0,0,0,0,0,False,0,0,0,False
2018-03-18,67.47765363128492,0.0,0.0,0.0,0.0,False,0,0,0,20,0,False,20,0,0,False
2018-03-25,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,0,False,0,0,0,False
2018-04-01,67.47765363128492,0.0,0.0,0.0,0.0,False,0,0,0,20,0,False,20,0,0,False
2018-04-08,65.49301675977654,0.0,0.0,67.47765363128492,0.0,False,20,0,0,20,0,False,20,0,0,False
2018-04-15,71.44692737430168,0.0,0.0,71.44692737430168,0.0,False,21,0,0,0,0,False,0,0,0,False
2018-04-22,101.21648044692738,0.0,0.0,65.49301675977654,0.0,False,20,0,0,20,0,False,20,0,0,False
