date,freie Hochzeit,Hochzeit Standesamt,Hochzeit Kirche,isPartial
2018-01-07,25,74,49,False
2018-01-14,25,25,0,False
2018-01-21,24,24,24,False
2018-01-28,0,24,0,False
2018-02-04,0,38,0,False
2018-02-11,0,25,25,False
2018-02-18,0,24,48,False
2018-02-25,0,0,0,False
2018-03-04,0,48,71,False
2018-03-11,24,24,24,False
2018-03-18,0,72,0,False
2018-03-25,0,77,26,False
2018-04-01,28,55,28,False
2018-04-08,0,100,25,False
2018-04-15,0,25,25,False
2018-04-22,0,0,38,False
2018-04-29,26,26,51,False
2018-05-06,0,27,27,False
2018-05-13,0,51,0,False
2018-05-20,0,27,27,False
2018-05-27,0,25,25,False
2018-06-03,26,38,26,False
2018-06-10,0,35,23,False
2018-06-17,25,24,0,False
2018-06-24,0,25,0,False
2018-07-01,0,0,51,False
2018-07-08,0,52,0,False
2018-07-15,28,28,0,False
2018-07-22,0,0,29,False
2018-07-29,60,89,0,False
2018-08-05,28,71,56,False
2018-08-12,0,57,0,False
2018-08-19,0,40,0,False
2018-08-26,0,26,0,False
2018-09-02,0,75,0,False
2018-09-09,0,0,25,False
2018-09-16,0,77,0,False
2018-09-23,25,26,0,False
2018-09-30,0,39,39,False
2018-10-07,0,84,41,False
2018-10-14,26,25,26,False
2018-10-21,0,53,0,False
2018-10-28,0,25,25,False
2018-11-04,24,83,0,False
2018-11-11,0,0,0,False
2018-11-18,0,49,0,False
2018-11-25,25,0,24,False
2018-12-02,0,25,0,False
2018-12-09,0,50,0,False
2018-12-16,0,0,0,False
2018-12-23,0,0,0,False
2018-12-30,0,28,0,False
2019-01-06,0,24,0,False
2019-01-13,0,42,0,False
2019-01-20,0,0,0,False
2019-01-27,0,29,19,False
2019-02-03,0,25,0,False
2019-02-10,24,24,0,False
2019-02-17,0,60,36,False
2019-02-24,0,24,24,False
2019-03-03,0,69,20,False
2019-03-10,24,48,24,False
2019-03-17,0,49,0,False
2019-03-24,0,50,25,False
2019-03-31,0,49,0,False
2019-04-07,0,20,0,False
2019-04-14,27,55,0,False
2019-04-21,0,41,27,False
2019-04-28,0,61,20,False
2019-05-05,0,0,0,False
2019-05-12,0,25,0,False
2019-05-19,24,95,0,False
2019-05-26,0,25,0,False
2019-06-02,0,53,43,False
2019-06-09,0,25,49,False
2019-06-16,0,24,0,False
2019-06-23,0,26,26,False
2019-06-30,0,25,0,False
2019-07-07,0,49,37,False
2019-07-14,26,26,26,False
2019-07-21,27,26,0,False
2019-07-28,0,25,25,False
2019-08-04,0,38,25,False
2019-08-11,0,49,25,False
2019-08-18,24,48,0,False
2019-08-25,0,23,0,False
2019-09-01,22,23,22,False
2019-09-08,24,36,24,False
2019-09-15,24,36,24,False
2019-09-22,0,24,0,False
2019-09-29,0,85,22,False
2019-10-06,0,24,0,False
2019-10-13,24,36,24,False
2019-10-20,0,47,0,False
2019-10-27,0,23,23,False
2019-11-03,20,20,20,False
2019-11-10,0,35,23,False
2019-11-17,0,23,23,False
2019-11-24,0,45,22,False
2019-12-01,0,53,42,False
2019-12-08,0,46,0,False
2019-12-15,0,36,24,False
2019-12-22,0,31,0,False
2019-12-29,0,49,0,False
2020-01-05,0,42,0,False
2020-01-12,0,0,0,False
2020-01-19,23,45,0,False
2020-01-26,0,34,22,False
2020-02-02,0,0,23,False
2020-02-09,0,60,20,False
2020-02-16,0,33,0,False
2020-02-23,0,53,0,False
2020-03-01,0,21,0,False
2020-03-08,0,57,0,False
2020-03-15,0,63,0,False
2020-03-22,0,21,0,False
2020-03-29,0,21,0,False
2020-04-05,0,22,0,False
2020-04-12,0,23,0,False
2020-04-19,0,21,0,False
2020-04-26,0,62,0,False
2020-05-03,0,33,44,True
