date,bodas vintage,bodas en la playa_x,bodas pequeñas,bodas bonitas,bodas elegantes,isPartial_x,bodas en la playa_y,boda en la playa,bodas online,isPartial_y
2018-01-07,0.0,53.01075268817204,0.0,0.0,26.50537634408602,0.0,61,30,31,False
2018-01-14,0.0,25.725806451612904,0.0,0.0,0.0,0.0,30,30,30,False
2018-01-21,0.0,38.19892473118279,0.0,25.725806451612904,25.725806451612904,0.0,44,30,29,False
2018-01-28,0.0,0.0,0.0,0.0,25.725806451612904,0.0,0,30,0,False
2018-02-04,0.0,24.946236559139784,0.0,0.0,0.0,0.0,29,29,0,False
2018-02-11,0.0,0.0,0.0,52.23118279569892,25.725806451612904,0.0,0,0,45,False
2018-02-18,0.0,26.50537634408602,0.0,0.0,0.0,0.0,30,0,60,False
2018-02-25,0.0,0.0,0.0,24.946236559139784,24.946236559139784,0.0,0,29,0,False
2018-03-04,0.0,25.725806451612904,0.0,0.0,0.0,0.0,29,29,0,False
2018-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0,29,0,False
2018-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0,30,30,False
2018-03-25,0.0,28.844086021505376,0.0,0.0,28.844086021505376,0.0,33,33,0,False
2018-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0,31,30,False
2018-04-08,0.0,24.946236559139784,0.0,0.0,0.0,0.0,28,28,0,False
2018-04-15,0.0,0.0,0.0,25.725806451612904,0.0,0.0,0,30,0,False
2018-04-22,0.0,25.725806451612904,0.0,25.725806451612904,50.67204301075269,0.0,29,0,0,False
2018-04-29,0.0,38.19892473118279,0.0,0.0,0.0,0.0,44,30,59,False
2018-05-06,0.0,24.166666666666664,0.0,0.0,24.166666666666664,0.0,28,28,0,False
2018-05-13,0.0,25.725806451612904,0.0,25.725806451612904,50.67204301075269,0.0,29,29,0,False
2018-05-20,0.0,38.97849462365591,0.0,25.725806451612904,0.0,0.0,45,60,30,False
2018-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0,29,0,False
2018-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0,28,0,False
2018-06-10,0.0,24.166666666666664,0.0,0.0,24.166666666666664,0.0,28,28,57,False
2018-06-17,0.0,0.0,0.0,26.50537634408602,26.50537634408602,0.0,0,0,61,False
2018-06-24,0.0,77.95698924731182,0.0,0.0,25.725806451612904,0.0,89,0,0,False
2018-07-01,0.0,25.725806451612904,0.0,0.0,0.0,0.0,29,45,30,False
2018-07-08,0.0,25.725806451612904,0.0,0.0,25.725806451612904,0.0,29,0,30,False
2018-07-15,0.0,0.0,0.0,0.0,25.725806451612904,0.0,0,30,0,False
2018-07-22,0.0,25.725806451612904,0.0,0.0,25.725806451612904,0.0,30,60,0,False
2018-07-29,0.0,27.28494623655914,0.0,0.0,28.064516129032256,0.0,32,0,0,False
2018-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,32,False
2018-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0,67,67,False
2018-08-19,0.0,0.0,0.0,28.844086021505376,0.0,0.0,0,67,100,False
2018-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0,31,0,False
2018-09-02,0.0,25.725806451612904,0.0,0.0,25.725806451612904,0.0,29,29,0,False
2018-09-09,0.0,26.50537634408602,0.0,0.0,0.0,0.0,30,61,30,False
2018-09-16,0.0,0.0,0.0,0.0,24.946236559139784,0.0,0,0,29,False
2018-09-23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,29,False
2018-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
2018-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0,0,30,False
2018-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,29,False
2018-10-21,0.0,0.0,0.0,0.0,0.0,0.0,0,30,44,False
2018-10-28,0.0,0.0,0.0,0.0,26.50537634408602,0.0,0,0,30,False
2018-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
2018-11-11,0.0,50.67204301075269,0.0,0.0,24.946236559139784,0.0,58,0,29,False
2018-11-18,0.0,0.0,0.0,0.0,24.166666666666664,0.0,0,0,57,False
2018-11-25,0.0,0.0,0.0,0.0,25.725806451612904,0.0,0,0,30,False
2018-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0,31,31,False
2018-12-09,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
2018-12-16,0.0,0.0,0.0,0.0,0.0,0.0,0,30,0,False
2018-12-23,0.0,31.18279569892473,0.0,0.0,0.0,0.0,36,0,0,False
2018-12-30,0.0,58.46774193548387,0.0,0.0,29.623655913978492,0.0,67,0,0,False
2019-01-06,0.0,38.97849462365591,0.0,0.0,0.0,0.0,45,0,0,False
2019-01-13,0.0,24.946236559139784,0.0,0.0,0.0,0.0,29,0,0,False
2019-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
2019-01-27,0.0,24.946236559139784,0.0,0.0,0.0,0.0,28,29,29,False
