date,mariage chic ,mariage nature ,mariage romantique ,mariage original _x,mariage traditionnel ,isPartial_x,mariage original _y,mariage élégant ,mariage bohème ,mariage champêtre ,mariage glamour ,isPartial_y,mariage original ,mariage vintage,mariage plage ,isPartial
2018-01-07,23,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-01-14,0,0,0,23,0,False,23,0,0,0,0,False,23,23,0,False
2018-01-21,23,0,0,47,0,False,47,0,0,0,0,False,47,23,0,False
2018-01-28,23,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-02-04,22,0,0,22,0,False,22,0,0,0,0,False,22,0,22,False
2018-02-11,47,0,0,0,0,False,0,0,0,0,0,False,0,23,0,False
2018-02-18,24,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-02-25,22,0,0,22,0,False,22,0,0,22,0,False,22,0,0,False
2018-03-04,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-03-11,0,0,0,46,0,False,46,0,0,0,0,False,46,0,0,False
2018-03-18,0,0,0,23,0,False,23,0,0,0,0,False,23,0,0,False
2018-03-25,23,0,0,23,0,False,23,0,0,0,0,False,23,0,23,False
2018-04-01,0,0,0,0,0,False,0,0,0,23,0,False,0,0,0,False
2018-04-08,23,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-04-15,76,0,0,26,0,False,26,0,0,0,0,False,26,0,0,False
2018-04-22,45,0,0,0,0,False,0,0,0,0,0,False,0,0,23,False
2018-04-29,49,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-05-06,46,0,0,23,0,False,23,0,0,23,0,False,23,23,0,False
2018-05-13,23,0,0,23,0,False,23,0,0,0,0,False,23,0,23,False
2018-05-20,25,0,0,0,0,False,0,0,0,0,0,False,0,50,0,False
2018-05-27,24,0,0,47,0,False,47,0,0,0,0,False,47,0,0,False
2018-06-03,37,0,0,24,0,False,24,0,0,24,0,False,24,0,24,False
2018-06-10,24,0,0,0,0,False,0,0,0,25,0,False,0,0,0,False
2018-06-17,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-06-24,0,0,0,27,0,False,27,0,0,0,0,False,27,0,0,False
2018-07-01,0,0,0,25,0,False,25,0,0,0,0,False,25,0,0,False
2018-07-08,26,0,0,52,0,False,52,0,0,0,0,False,52,0,26,False
2018-07-15,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-07-22,27,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-07-29,26,0,0,0,0,False,0,0,0,25,0,False,0,0,0,False
2018-08-05,50,0,0,0,0,False,0,0,0,0,0,False,0,0,25,False
2018-08-12,26,0,0,38,0,False,38,0,0,0,0,False,38,0,0,False
2018-08-19,26,0,0,26,0,False,26,0,0,0,0,False,26,0,25,False
2018-08-26,52,0,0,26,0,False,26,0,0,0,0,False,26,0,0,False
2018-09-02,54,0,0,0,0,False,0,0,0,27,0,False,0,0,0,False
2018-09-09,27,0,0,27,0,False,27,0,0,0,0,False,27,0,0,False
2018-09-16,0,0,0,27,0,False,27,0,0,0,0,False,27,0,26,False
2018-09-23,27,0,0,27,0,False,27,0,0,0,0,False,27,0,0,False
2018-09-30,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-10-07,0,0,0,0,0,False,0,0,0,0,0,False,0,27,0,False
2018-10-14,56,0,0,82,0,False,82,0,0,27,0,False,82,0,0,False
2018-10-21,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-10-28,52,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-11-04,26,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-11-11,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-11-18,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-11-25,0,0,0,26,0,False,26,0,0,0,0,False,26,0,0,False
2018-12-02,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-12-09,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-12-16,27,0,0,0,0,False,0,0,0,27,0,False,0,0,0,False
2018-12-23,0,0,0,0,0,False,0,0,0,0,0,False,0,0,29,False
2018-12-30,28,0,0,28,0,False,28,0,0,0,0,False,28,0,28,False
2019-01-06,26,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2019-01-13,0,0,0,0,0,False,0,0,0,0,0,False,0,26,26,False
2019-01-20,0,0,0,25,0,False,25,0,0,0,0,False,25,25,0,False
2019-01-27,25,0,0,25,0,False,25,0,0,0,0,False,25,0,0,False
2019-02-03,0,0,0,26,0,False,26,0,0,0,0,False,26,0,26,False
2019-02-10,26,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2019-02-17,0,0,0,28,0,False,28,0,0,28,0,False,28,0,0,False
2019-02-24,54,0,0,27,0,False,27,0,0,0,0,False,27,27,0,False
2019-03-03,75,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2019-03-10,0,0,0,26,0,False,26,0,0,0,0,False,26,0,0,False
2019-03-17,27,0,0,27,0,False,27,0,0,0,0,False,27,0,0,False
2019-03-24,27,0,0,0,0,False,0,0,0,27,0,False,0,0,27,False
2019-03-31,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2019-04-07,53,0,0,0,0,False,0,0,0,0,0,False,0,26,26,False
2019-04-14,27,0,0,0,0,False,0,0,0,27,0,False,0,0,0,False
2019-04-21,25,0,0,0,0,False,0,0,0,25,0,False,0,0,0,False
2019-04-28,51,0,0,25,0,False,25,0,0,0,0,False,25,75,0,False
2019-05-05,38,0,0,38,0,False,38,0,0,0,0,False,38,0,25,False
2019-05-12,0,0,0,0,0,False,0,0,0,25,0,False,0,0,0,False
2019-05-19,26,0,0,0,0,False,0,0,0,0,0,False,0,26,0,False
2019-05-26,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2019-06-02,24,0,0,24,0,False,24,0,0,0,0,False,24,0,0,False
2019-06-09,49,0,0,0,0,False,0,0,0,25,0,False,0,25,0,False
2019-06-16,52,0,0,26,0,False,26,0,0,26,0,False,26,0,0,False
2019-06-23,0,0,0,25,0,False,25,0,0,0,0,False,25,0,25,False
2019-06-30,25,0,0,0,0,False,0,0,0,25,0,False,0,25,25,False
2019-07-07,49,0,0,100,0,False,100,0,0,0,0,False,100,0,25,False
2019-07-14,0,0,0,25,0,False,25,0,0,0,0,False,25,25,25,False
2019-07-21,48,0,0,24,0,False,24,0,0,0,0,False,24,0,0,False
2019-07-28,0,0,0,24,0,False,24,0,0,0,0,False,24,0,0,False
2019-08-04,23,0,0,23,0,False,23,0,0,0,0,False,23,23,23,False
2019-08-11,22,0,0,22,0,False,22,0,0,0,0,False,22,22,0,False
2019-08-18,23,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2019-08-25,0,0,0,46,0,False,46,0,0,0,0,False,46,0,0,False
2019-09-01,20,0,0,39,0,False,39,0,0,20,0,False,39,0,20,False
2019-09-08,45,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2019-09-15,24,0,0,0,0,False,0,0,0,24,0,False,0,0,24,False
2019-09-22,0,0,0,23,0,False,23,0,0,0,0,False,23,0,24,False
2019-09-29,0,0,0,24,0,False,24,0,0,0,0,False,24,24,0,False
2019-10-06,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2019-10-13,35,0,0,0,0,False,0,0,0,23,0,False,0,0,0,False
2019-10-20,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2019-10-27,23,0,0,0,0,False,0,0,0,0,0,False,0,23,0,False
2019-11-03,0,0,0,23,0,False,23,0,0,0,0,False,23,0,0,False
2019-11-10,22,0,0,0,0,False,0,0,0,23,0,False,0,0,0,False
2019-11-17,23,0,0,23,0,False,23,0,0,0,0,False,23,0,0,False
2019-11-24,22,0,0,0,0,False,0,0,0,0,0,False,0,22,0,False
2019-12-01,23,0,0,0,0,False,0,0,0,0,0,False,0,23,0,False
2019-12-08,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2019-12-15,24,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2019-12-22,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2019-12-29,0,0,0,0,0,False,0,0,0,0,0,False,0,24,0,False
2020-01-05,23,0,0,23,0,False,23,0,0,0,0,False,23,0,0,False
2020-01-12,22,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2020-01-19,23,0,0,23,0,False,23,0,0,23,0,False,23,0,0,False
2020-01-26,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2020-02-02,34,0,0,45,0,False,45,0,0,0,0,False,45,0,23,False
2020-02-09,22,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2020-02-16,0,0,0,0,0,False,0,0,0,22,0,False,0,22,0,False
2020-02-23,0,0,0,22,0,False,22,0,0,0,0,False,22,0,0,False
2020-03-01,0,0,0,0,0,False,0,0,0,22,0,False,0,0,0,False
2020-03-08,21,0,0,0,0,False,0,0,0,21,0,False,0,0,0,False
2020-03-15,19,0,0,19,0,False,19,0,0,0,0,False,19,0,0,False
2020-03-22,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2020-03-29,18,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2020-04-05,36,0,0,0,0,False,0,0,0,18,0,False,0,0,0,False
2020-04-12,19,0,0,38,0,False,38,0,0,0,0,False,38,0,0,False
2020-04-19,38,0,0,19,0,False,19,0,0,0,0,False,19,0,0,False
2020-04-26,18,0,0,0,0,False,0,0,0,18,0,False,0,0,0,False
2020-05-03,0,0,0,0,0,True,0,0,0,0,0,True,0,0,0,True
