date,mariage chic _x,mariage nature ,mariage romantique ,mariage original ,mariage traditionnel ,isPartial_x,mariage chic _y,mariage élégant ,mariage bohème ,mariage champêtre ,mariage glamour ,isPartial_y,mariage chic ,mariage vintage,mariage plage ,isPartial
2018-01-07,36,0,0,0,0,False,36,0,0,0,0,False,36,0,0,False
2018-01-14,35,0,0,0,0,False,35,0,0,0,0,False,35,0,0,False
2018-01-21,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-01-28,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-02-04,33,0,0,34,0,False,33,0,0,0,0,False,33,0,0,False
2018-02-11,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-02-18,0,0,0,36,0,False,0,0,0,0,0,False,0,0,0,False
2018-02-25,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-03-04,34,0,0,0,0,False,34,0,0,0,0,False,34,0,0,False
2018-03-11,67,34,0,0,0,False,67,0,0,0,0,False,67,0,0,False
2018-03-18,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-03-25,0,0,0,34,0,False,0,0,0,0,0,False,0,0,0,False
2018-04-01,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-04-08,35,0,0,0,0,False,35,0,0,0,0,False,35,0,0,False
2018-04-15,37,37,0,0,0,False,37,0,0,0,0,False,37,0,0,False
2018-04-22,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-04-29,33,0,0,0,0,False,33,0,0,0,0,False,33,0,0,False
2018-05-06,0,0,0,36,0,False,0,0,0,0,0,False,0,0,0,False
2018-05-13,35,0,0,34,0,False,35,0,0,0,0,False,35,0,0,False
2018-05-20,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-05-27,35,0,0,0,0,False,35,0,0,0,0,False,35,0,0,False
2018-06-03,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-06-10,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-06-17,0,37,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-06-24,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-07-01,0,0,0,36,0,False,0,0,0,0,0,False,0,0,0,False
