date,freie Hochzeit,Hochzeit Standesamt,Hochzeit Kirche,isPartial
2018-01-07,12,47,0,False
2018-01-14,0,11,23,False
2018-01-21,0,23,12,False
2018-01-28,0,35,12,False
2018-02-04,0,0,0,False
2018-02-11,0,47,35,False
2018-02-18,0,0,0,False
2018-02-25,0,12,46,False
2018-03-04,0,12,23,False
2018-03-11,0,35,35,False
2018-03-18,0,48,0,False
2018-03-25,0,12,36,False
2018-04-01,0,36,12,False
2018-04-08,12,12,36,False
2018-04-15,12,24,0,False
2018-04-22,0,0,11,False
2018-04-29,12,24,12,False
2018-05-06,25,37,25,False
2018-05-13,11,23,46,False
2018-05-20,0,12,61,False
2018-05-27,0,23,11,False
2018-06-03,0,24,0,False
2018-06-10,0,56,22,False
2018-06-17,0,0,12,False
2018-06-24,0,47,35,False
2018-07-01,0,37,25,False
2018-07-08,0,25,25,False
2018-07-15,0,13,13,False
2018-07-22,12,0,50,False
2018-07-29,0,24,12,False
2018-08-05,11,78,44,False
2018-08-12,0,33,11,False
2018-08-19,0,44,33,False
2018-08-26,11,11,11,False
2018-09-02,0,23,23,False
2018-09-09,0,11,11,False
2018-09-16,12,47,23,False
2018-09-23,0,23,12,False
2018-09-30,0,49,12,False
2018-10-07,0,24,0,False
2018-10-14,12,47,0,False
2018-10-21,0,11,0,False
2018-10-28,0,45,0,False
2018-11-04,11,33,0,False
2018-11-11,0,11,11,False
2018-11-18,0,11,23,False
2018-11-25,12,12,0,False
2018-12-02,0,0,0,False
2018-12-09,0,34,11,False
2018-12-16,0,0,0,False
2018-12-23,0,26,0,False
2018-12-30,24,59,12,False
2019-01-06,0,22,0,False
2019-01-13,11,11,43,False
2019-01-20,11,22,0,False
2019-01-27,0,22,11,False
2019-02-03,0,11,11,False
2019-02-10,0,11,0,False
2019-02-17,11,22,22,False
2019-02-24,0,92,0,False
2019-03-03,0,44,22,False
2019-03-10,0,21,21,False
2019-03-17,0,11,11,False
2019-03-24,11,23,11,False
2019-03-31,0,23,11,False
2019-04-07,0,24,12,False
2019-04-14,0,100,12,False
2019-04-21,0,0,0,False
2019-04-28,0,34,22,False
2019-05-05,11,55,11,False
2019-05-12,11,22,11,False
2019-05-19,11,22,11,False
2019-05-26,0,22,45,False
2019-06-02,0,22,22,False
2019-06-09,0,11,33,False
2019-06-16,0,0,0,False
2019-06-23,11,22,0,False
2019-06-30,22,22,0,False
2019-07-07,11,11,23,False
2019-07-14,0,24,12,False
2019-07-21,0,25,0,False
2019-07-28,0,0,35,False
2019-08-04,0,56,34,False
2019-08-11,0,32,32,False
2019-08-18,11,32,22,False
2019-08-25,0,43,11,False
2019-09-01,0,10,21,False
2019-09-08,0,11,32,False
2019-09-15,21,21,11,False
2019-09-22,0,32,32,False
2019-09-29,0,32,43,False
2019-10-06,11,32,11,False
2019-10-13,0,42,0,False
2019-10-20,0,21,11,False
2019-10-27,0,0,21,False
2019-11-03,0,20,20,False
2019-11-10,10,20,0,False
2019-11-17,0,10,31,False
2019-11-24,0,20,0,False
2019-12-01,0,30,10,False
2019-12-08,0,10,10,False
2019-12-15,0,42,0,False
2019-12-22,0,11,34,False
2019-12-29,0,84,0,False
2020-01-05,10,67,29,False
2020-01-12,0,37,19,False
2020-01-19,0,39,39,False
2020-01-26,0,39,20,False
2020-02-02,10,10,10,False
2020-02-09,9,28,0,False
2020-02-16,10,10,10,False
2020-02-23,10,39,0,False
2020-03-01,10,39,10,False
2020-03-08,0,18,9,False
2020-03-15,0,0,0,False
2020-03-22,0,9,18,False
2020-03-29,0,9,0,False
2020-04-05,0,20,19,False
2020-04-12,0,56,9,False
2020-04-19,0,27,9,False
2020-04-26,0,9,0,False
2020-05-03,10,41,10,True
