date,Blumenladen,isPartial
2018-01-07,20,False
2018-01-14,60,False
2018-01-21,0,False
2018-01-28,43,False
2018-02-04,55,False
2018-02-11,0,False
2018-02-18,41,False
2018-02-25,0,False
2018-03-04,20,False
2018-03-11,20,False
2018-03-18,31,False
2018-03-25,21,False
2018-04-01,33,False
2018-04-08,0,False
2018-04-15,23,False
2018-04-22,33,False
2018-04-29,62,False
2018-05-06,22,False
2018-05-13,62,False
2018-05-20,22,False
2018-05-27,21,False
2018-06-03,0,False
2018-06-10,20,False
2018-06-17,21,False
2018-06-24,0,False
2018-07-01,42,False
2018-07-08,47,False
2018-07-15,37,False
2018-07-22,25,False
2018-07-29,25,False
2018-08-05,44,False
2018-08-12,42,False
2018-08-19,21,False
2018-08-26,21,False
2018-09-02,0,False
2018-09-09,22,False
2018-09-16,0,False
2018-09-23,44,False
2018-09-30,47,False
2018-10-07,48,False
2018-10-14,22,False
2018-10-21,21,False
2018-10-28,20,False
2018-11-04,21,False
2018-11-11,41,False
2018-11-18,20,False
2018-11-25,31,False
2018-12-02,40,False
2018-12-09,20,False
2018-12-16,42,False
2018-12-23,25,False
2018-12-30,34,False
2019-01-06,19,False
2019-01-13,0,False
2019-01-20,39,False
2019-01-27,31,False
2019-02-03,21,False
2019-02-10,72,False
2019-02-17,20,False
2019-02-24,0,False
2019-03-03,20,False
2019-03-10,30,False
2019-03-17,30,False
2019-03-24,20,False
2019-03-31,0,False
2019-04-07,20,False
2019-04-14,45,False
2019-04-21,34,False
2019-04-28,59,False
2019-05-05,38,False
2019-05-12,58,False
2019-05-19,19,False
2019-05-26,59,False
2019-06-02,18,False
2019-06-09,16,False
2019-06-16,47,False
2019-06-23,35,False
2019-06-30,0,False
2019-07-07,38,False
2019-07-14,21,False
2019-07-21,91,False
2019-07-28,22,False
2019-08-04,59,False
2019-08-11,0,False
2019-08-18,69,False
2019-08-25,53,False
2019-09-01,17,False
2019-09-08,17,False
2019-09-15,26,False
2019-09-22,34,False
2019-09-29,18,False
2019-10-06,18,False
2019-10-13,33,False
2019-10-20,33,False
2019-10-27,16,False
2019-11-03,47,False
2019-11-10,33,False
2019-11-17,40,False
2019-11-24,31,False
2019-12-01,32,False
2019-12-08,32,False
2019-12-15,57,False
2019-12-22,77,False
2019-12-29,57,False
2020-01-05,23,False
2020-01-12,15,False
2020-01-19,23,False
2020-01-26,16,False
2020-02-02,32,False
2020-02-09,61,False
2020-02-16,46,False
2020-02-23,15,False
2020-03-01,30,False
2020-03-08,28,False
2020-03-15,20,False
2020-03-22,32,False
2020-03-29,52,False
2020-04-05,86,False
2020-04-12,28,False
2020-04-19,34,False
2020-04-26,51,False
2020-05-03,100,False
2020-05-10,67,False
2020-05-17,37,False
2020-05-24,29,False
2020-05-31,28,False
2020-06-07,14,False
2020-06-14,14,False
2020-06-21,31,False
2020-06-28,30,False
2020-07-05,25,False
