date,bouquet mariage,isPartial
2018-01-07,29,False
2018-01-14,28,False
2018-01-21,28,False
2018-01-28,89,False
2018-02-04,29,False
2018-02-11,42,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,29,False
2018-03-11,0,False
2018-03-18,57,False
2018-03-25,30,False
2018-04-01,0,False
2018-04-08,27,False
2018-04-15,0,False
2018-04-22,30,False
2018-04-29,29,False
2018-05-06,29,False
2018-05-13,85,False
2018-05-20,74,False
2018-05-27,29,False
2018-06-03,57,False
2018-06-10,28,False
2018-06-17,0,False
2018-06-24,58,False
2018-07-01,28,False
2018-07-08,0,False
2018-07-15,29,False
2018-07-22,100,False
2018-07-29,0,False
2018-08-05,41,False
2018-08-12,71,False
2018-08-19,29,False
2018-08-26,29,False
2018-09-02,59,False
2018-09-09,29,False
2018-09-16,30,False
2018-09-23,89,False
2018-09-30,30,False
2018-10-07,0,False
2018-10-14,31,False
2018-10-21,32,False
2018-10-28,0,False
2018-11-04,28,False
2018-11-11,0,False
2018-11-18,29,False
2018-11-25,0,False
2018-12-02,30,False
2018-12-09,31,False
2018-12-16,0,False
2018-12-23,35,False
2018-12-30,33,False
2019-01-06,0,False
2019-01-13,30,False
2019-01-20,29,False
2019-01-27,29,False
2019-02-03,30,False
2019-02-10,0,False
2019-02-17,31,False
2019-02-24,44,False
2019-03-03,0,False
2019-03-10,30,False
2019-03-17,30,False
2019-03-24,30,False
2019-03-31,0,False
2019-04-07,30,False
2019-04-14,75,False
2019-04-21,0,False
2019-04-28,29,False
2019-05-05,0,False
2019-05-12,85,False
2019-05-19,56,False
2019-05-26,28,False
2019-06-02,40,False
2019-06-09,80,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,54,False
2019-07-07,27,False
2019-07-14,27,False
2019-07-21,28,False
2019-07-28,28,False
2019-08-04,28,False
2019-08-11,51,False
2019-08-18,23,False
2019-08-25,25,False
2019-09-01,52,False
2019-09-08,27,False
2019-09-15,26,False
2019-09-22,0,False
2019-09-29,27,False
2019-10-06,27,False
2019-10-13,80,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,53,False
2019-11-10,0,False
2019-11-17,51,False
2019-11-24,26,False
2019-12-01,26,False
2019-12-08,26,False
2019-12-15,25,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,24,False
2020-01-19,0,False
2020-01-26,75,False
2020-02-02,25,False
2020-02-09,25,False
2020-02-16,25,False
2020-02-23,24,False
2020-03-01,23,False
2020-03-08,47,False
2020-03-15,21,False
2020-03-22,20,False
2020-03-29,0,False
2020-04-05,21,False
2020-04-12,0,True
