date,barista,isPartial
2018-01-07,20,False
2018-01-14,30,False
2018-01-21,0,False
2018-01-28,58,False
2018-02-04,0,False
2018-02-11,50,False
2018-02-18,19,False
2018-02-25,18,False
2018-03-04,19,False
2018-03-11,39,False
2018-03-18,19,False
2018-03-25,42,False
2018-04-01,32,False
2018-04-08,19,False
2018-04-15,62,False
2018-04-22,21,False
2018-04-29,0,False
2018-05-06,40,False
2018-05-13,20,False
2018-05-20,100,False
2018-05-27,41,False
2018-06-03,20,False
2018-06-10,58,False
2018-06-17,20,False
2018-06-24,20,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,40,False
2018-07-22,19,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,19,False
2018-08-19,49,False
2018-08-26,18,False
2018-09-02,38,False
2018-09-09,20,False
2018-09-16,20,False
2018-09-23,60,False
2018-09-30,20,False
2018-10-07,31,False
2018-10-14,21,False
2018-10-21,0,False
2018-10-28,20,False
2018-11-04,30,False
2018-11-11,20,False
2018-11-18,29,False
2018-11-25,20,False
2018-12-02,41,False
2018-12-09,19,False
2018-12-16,39,False
2018-12-23,68,False
2018-12-30,21,False
2019-01-06,47,False
2019-01-13,27,False
2019-01-20,27,False
2019-01-27,17,False
2019-02-03,63,False
2019-02-10,36,False
2019-02-17,18,False
2019-02-24,18,False
2019-03-03,37,False
2019-03-10,18,False
2019-03-17,18,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,27,False
2019-04-14,19,False
2019-04-21,57,False
2019-04-28,0,False
2019-05-05,17,False
2019-05-12,52,False
2019-05-19,26,False
2019-05-26,16,False
2019-06-02,18,False
2019-06-09,19,False
2019-06-16,18,False
2019-06-23,54,False
2019-06-30,28,False
2019-07-07,17,False
2019-07-14,18,False
2019-07-21,18,False
2019-07-28,18,False
2019-08-04,18,False
2019-08-11,19,False
2019-08-18,17,False
2019-08-25,16,False
2019-09-01,16,False
2019-09-08,53,False
2019-09-15,17,False
2019-09-22,51,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,18,False
2019-10-20,25,False
2019-10-27,17,False
2019-11-03,33,False
2019-11-10,34,False
2019-11-17,17,False
2019-11-24,0,False
2019-12-01,25,False
2019-12-08,52,False
2019-12-15,26,False
2019-12-22,19,False
2019-12-29,19,False
2020-01-05,17,False
2020-01-12,31,False
2020-01-19,64,False
2020-01-26,32,False
2020-02-02,39,False
2020-02-09,16,False
2020-02-16,0,False
2020-02-23,22,False
2020-03-01,22,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,13,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,14,False
2020-04-19,13,False
2020-04-26,23,True
