date,barista,isPartial
2018-01-07,31,False
2018-01-14,0,False
2018-01-21,31,False
2018-01-28,31,False
2018-02-04,31,False
2018-02-11,45,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,59,False
2018-03-11,0,False
2018-03-18,63,False
2018-03-25,31,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,33,False
2018-05-13,33,False
2018-05-20,66,False
2018-05-27,32,False
2018-06-03,34,False
2018-06-10,64,False
2018-06-17,34,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,89,False
2018-07-15,0,False
2018-07-22,29,False
2018-07-29,28,False
2018-08-05,0,False
2018-08-12,26,False
2018-08-19,39,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,32,False
2018-09-23,32,False
2018-09-30,0,False
2018-10-07,34,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,32,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,69,False
2018-11-25,0,False
2018-12-02,51,False
2018-12-09,49,False
2018-12-16,33,False
2018-12-23,64,False
2018-12-30,26,False
2019-01-06,28,False
2019-01-13,30,False
2019-01-20,29,False
2019-01-27,56,False
2019-02-03,0,False
2019-02-10,29,False
2019-02-17,0,False
2019-02-24,89,False
2019-03-03,30,False
2019-03-10,0,False
2019-03-17,32,False
2019-03-24,33,False
2019-03-31,32,False
2019-04-07,33,False
2019-04-14,64,False
2019-04-21,34,False
2019-04-28,32,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,31,False
2019-05-26,44,False
2019-06-02,63,False
2019-06-09,46,False
2019-06-16,29,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,55,False
2019-07-21,26,False
2019-07-28,0,False
2019-08-04,23,False
2019-08-11,44,False
2019-08-18,0,False
2019-08-25,46,False
2019-09-01,0,False
2019-09-08,56,False
2019-09-15,28,False
2019-09-22,28,False
2019-09-29,28,False
2019-10-06,28,False
2019-10-13,29,False
2019-10-20,45,False
2019-10-27,29,False
2019-11-03,29,False
2019-11-10,44,False
2019-11-17,0,False
2019-11-24,59,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,23,False
2020-01-05,24,False
2020-01-12,0,False
2020-01-19,39,False
2020-01-26,25,False
2020-02-02,49,False
2020-02-09,100,False
2020-02-16,38,False
2020-02-23,0,False
2020-03-01,24,False
2020-03-08,24,False
2020-03-15,50,False
2020-03-22,0,False
2020-03-29,48,False
2020-04-05,52,False
2020-04-12,0,False
2020-04-19,25,False
2020-04-26,0,True
