date,torta al latte,isPartial
2018-01-07,19,False
2018-01-14,19,False
2018-01-21,0,False
2018-01-28,72,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,18,False
2018-02-25,17,False
2018-03-04,18,False
2018-03-11,35,False
2018-03-18,45,False
2018-03-25,19,False
2018-04-01,19,False
2018-04-08,27,False
2018-04-15,19,False
2018-04-22,19,False
2018-04-29,27,False
2018-05-06,26,False
2018-05-13,37,False
2018-05-20,37,False
2018-05-27,18,False
2018-06-03,36,False
2018-06-10,0,False
2018-06-17,18,False
2018-06-24,18,False
2018-07-01,26,False
2018-07-08,17,False
2018-07-15,0,False
2018-07-22,17,False
2018-07-29,0,False
2018-08-05,19,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,18,False
2018-09-02,18,False
2018-09-09,0,False
2018-09-16,17,False
2018-09-23,0,False
2018-09-30,27,False
2018-10-07,0,False
2018-10-14,28,False
2018-10-21,46,False
2018-10-28,35,False
2018-11-04,54,False
2018-11-11,0,False
2018-11-18,18,False
2018-11-25,55,False
2018-12-02,19,False
2018-12-09,0,False
2018-12-16,20,False
2018-12-23,0,False
2018-12-30,42,False
2019-01-06,19,False
2019-01-13,18,False
2019-01-20,26,False
2019-01-27,17,False
2019-02-03,36,False
2019-02-10,18,False
2019-02-17,19,False
2019-02-24,28,False
2019-03-03,19,False
2019-03-10,18,False
2019-03-17,18,False
2019-03-24,28,False
2019-03-31,18,False
2019-04-07,72,False
2019-04-14,0,False
2019-04-21,18,False
2019-04-28,35,False
2019-05-05,35,False
2019-05-12,51,False
2019-05-19,34,False
2019-05-26,16,False
2019-06-02,0,False
2019-06-09,27,False
2019-06-16,19,False
2019-06-23,38,False
2019-06-30,18,False
2019-07-07,17,False
2019-07-14,18,False
2019-07-21,37,False
2019-07-28,18,False
2019-08-04,19,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,17,False
2019-09-01,0,False
2019-09-08,25,False
2019-09-15,17,False
2019-09-22,24,False
2019-09-29,17,False
2019-10-06,26,False
2019-10-13,42,False
2019-10-20,57,False
2019-10-27,40,False
2019-11-03,16,False
2019-11-10,16,False
2019-11-17,24,False
2019-11-24,24,False
2019-12-01,34,False
2019-12-08,17,False
2019-12-15,17,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,17,False
2020-01-12,16,False
2020-01-19,25,False
2020-01-26,31,False
2020-02-02,16,False
2020-02-09,32,False
2020-02-16,65,False
2020-02-23,44,False
2020-03-01,30,False
2020-03-08,63,False
2020-03-15,100,False
2020-03-22,73,False
2020-03-29,89,False
2020-04-05,77,False
2020-04-12,99,False
2020-04-19,67,False
2020-04-26,47,True
