date,torta al latte,isPartial
2018-01-07,13,False
2018-01-14,18,False
2018-01-21,21,False
2018-01-28,20,False
2018-02-04,14,False
2018-02-11,21,False
2018-02-18,24,False
2018-02-25,27,False
2018-03-04,26,False
2018-03-11,33,False
2018-03-18,29,False
2018-03-25,21,False
2018-04-01,30,False
2018-04-08,28,False
2018-04-15,24,False
2018-04-22,16,False
2018-04-29,22,False
2018-05-06,20,False
2018-05-13,20,False
2018-05-20,14,False
2018-05-27,14,False
2018-06-03,10,False
2018-06-10,12,False
2018-06-17,14,False
2018-06-24,10,False
2018-07-01,9,False
2018-07-08,15,False
2018-07-15,9,False
2018-07-22,9,False
2018-07-29,12,False
2018-08-05,9,False
2018-08-12,10,False
2018-08-19,11,False
2018-08-26,14,False
2018-09-02,15,False
2018-09-09,19,False
2018-09-16,14,False
2018-09-23,15,False
2018-09-30,19,False
2018-10-07,21,False
2018-10-14,14,False
2018-10-21,19,False
2018-10-28,29,False
2018-11-04,25,False
2018-11-11,24,False
2018-11-18,15,False
2018-11-25,21,False
2018-12-02,14,False
2018-12-09,15,False
2018-12-16,9,False
2018-12-23,13,False
2018-12-30,11,False
2019-01-06,13,False
2019-01-13,23,False
2019-01-20,21,False
2019-01-27,24,False
2019-02-03,22,False
2019-02-10,12,False
2019-02-17,25,False
2019-02-24,14,False
2019-03-03,13,False
2019-03-10,18,False
2019-03-17,18,False
2019-03-24,21,False
2019-03-31,14,False
2019-04-07,10,False
2019-04-14,13,False
2019-04-21,42,False
2019-04-28,38,False
2019-05-05,25,False
2019-05-12,26,False
2019-05-19,20,False
2019-05-26,14,False
2019-06-02,12,False
2019-06-09,14,False
2019-06-16,15,False
2019-06-23,11,False
2019-06-30,10,False
2019-07-07,11,False
2019-07-14,7,False
2019-07-21,13,False
2019-07-28,12,False
2019-08-04,16,False
2019-08-11,14,False
2019-08-18,9,False
2019-08-25,12,False
2019-09-01,19,False
2019-09-08,18,False
2019-09-15,20,False
2019-09-22,27,False
2019-09-29,22,False
2019-10-06,14,False
2019-10-13,24,False
2019-10-20,22,False
2019-10-27,24,False
2019-11-03,21,False
2019-11-10,29,False
2019-11-17,21,False
2019-11-24,16,False
2019-12-01,15,False
2019-12-08,12,False
2019-12-15,12,False
2019-12-22,12,False
2019-12-29,16,False
2020-01-05,13,False
2020-01-12,16,False
2020-01-19,17,False
2020-01-26,25,False
2020-02-02,15,False
2020-02-09,22,False
2020-02-16,16,False
2020-02-23,19,False
2020-03-01,27,False
2020-03-08,51,False
2020-03-15,79,False
2020-03-22,86,False
2020-03-29,100,False
2020-04-05,69,False
2020-04-12,82,False
2020-04-19,79,False
2020-04-26,67,True
