date,torta al latte,isPartial
2018-01-07,26,False
2018-01-14,51,False
2018-01-21,51,False
2018-01-28,38,False
2018-02-04,38,False
2018-02-11,0,False
2018-02-18,24,False
2018-02-25,60,False
2018-03-04,12,False
2018-03-11,37,False
2018-03-18,26,False
2018-03-25,13,False
2018-04-01,56,False
2018-04-08,26,False
2018-04-15,53,False
2018-04-22,27,False
2018-04-29,0,False
2018-05-06,12,False
2018-05-13,13,False
2018-05-20,26,False
2018-05-27,39,False
2018-06-03,0,False
2018-06-10,25,False
2018-06-17,0,False
2018-06-24,39,False
2018-07-01,25,False
2018-07-08,25,False
2018-07-15,26,False
2018-07-22,13,False
2018-07-29,14,False
2018-08-05,0,False
2018-08-12,15,False
2018-08-19,0,False
2018-08-26,13,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,38,False
2018-09-23,0,False
2018-09-30,26,False
2018-10-07,39,False
2018-10-14,13,False
2018-10-21,0,False
2018-10-28,13,False
2018-11-04,0,False
2018-11-11,38,False
2018-11-18,12,False
2018-11-25,25,False
2018-12-02,0,False
2018-12-09,13,False
2018-12-16,14,False
2018-12-23,16,False
2018-12-30,15,False
2019-01-06,13,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,50,False
2019-02-03,0,False
2019-02-10,38,False
2019-02-17,38,False
2019-02-24,13,False
2019-03-03,13,False
2019-03-10,13,False
2019-03-17,25,False
2019-03-24,0,False
2019-03-31,13,False
2019-04-07,38,False
2019-04-14,13,False
2019-04-21,15,False
2019-04-28,80,False
2019-05-05,51,False
2019-05-12,24,False
2019-05-19,48,False
2019-05-26,24,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,26,False
2019-07-07,12,False
2019-07-14,25,False
2019-07-21,13,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,23,False
2019-09-29,35,False
2019-10-06,0,False
2019-10-13,24,False
2019-10-20,0,False
2019-10-27,35,False
2019-11-03,11,False
2019-11-10,11,False
2019-11-17,56,False
2019-11-24,45,False
2019-12-01,24,False
2019-12-08,0,False
2019-12-15,48,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,12,False
2020-01-12,21,False
2020-01-19,32,False
2020-01-26,43,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,11,False
2020-02-23,10,False
2020-03-01,30,False
2020-03-08,49,False
2020-03-15,40,False
2020-03-22,27,False
2020-03-29,75,False
2020-04-05,100,False
2020-04-12,59,False
2020-04-19,75,False
2020-04-26,81,True
