date,Carport,isPartial
2018-01-07,0,False
2018-01-14,10,False
2018-01-21,52,False
2018-01-28,21,False
2018-02-04,11,False
2018-02-11,32,False
2018-02-18,53,False
2018-02-25,42,False
2018-03-04,32,False
2018-03-11,63,False
2018-03-18,42,False
2018-03-25,23,False
2018-04-01,59,False
2018-04-08,21,False
2018-04-15,31,False
2018-04-22,62,False
2018-04-29,100,False
2018-05-06,45,False
2018-05-13,43,False
2018-05-20,22,False
2018-05-27,22,False
2018-06-03,21,False
2018-06-10,11,False
2018-06-17,10,False
2018-06-24,10,False
2018-07-01,34,False
2018-07-08,58,False
2018-07-15,47,False
2018-07-22,48,False
2018-07-29,37,False
2018-08-05,37,False
2018-08-12,51,False
2018-08-19,24,False
2018-08-26,23,False
2018-09-02,45,False
2018-09-09,33,False
2018-09-16,44,False
2018-09-23,33,False
2018-09-30,42,False
2018-10-07,30,False
2018-10-14,30,False
2018-10-21,31,False
2018-10-28,43,False
2018-11-04,10,False
2018-11-11,49,False
2018-11-18,9,False
2018-11-25,10,False
2018-12-02,0,False
2018-12-09,19,False
2018-12-16,10,False
2018-12-23,25,False
2018-12-30,36,False
2019-01-06,11,False
2019-01-13,21,False
2019-01-20,10,False
2019-01-27,32,False
2019-02-03,22,False
2019-02-10,63,False
2019-02-17,52,False
2019-02-24,31,False
2019-03-03,21,False
2019-03-10,20,False
2019-03-17,63,False
2019-03-24,21,False
2019-03-31,42,False
2019-04-07,21,False
2019-04-14,58,False
2019-04-21,23,False
2019-04-28,53,False
2019-05-05,31,False
2019-05-12,40,False
2019-05-19,20,False
2019-05-26,21,False
2019-06-02,11,False
2019-06-09,0,False
2019-06-16,11,False
2019-06-23,11,False
2019-06-30,22,False
2019-07-07,11,False
2019-07-14,24,False
2019-07-21,74,False
2019-07-28,61,False
2019-08-04,13,False
2019-08-11,51,False
2019-08-18,23,False
2019-08-25,11,False
2019-09-01,11,False
2019-09-08,22,False
2019-09-15,31,False
2019-09-22,30,False
2019-09-29,29,False
2019-10-06,19,False
2019-10-13,29,False
2019-10-20,29,False
2019-10-27,30,False
2019-11-03,0,False
2019-11-10,37,False
2019-11-17,9,False
2019-11-24,55,False
2019-12-01,47,False
2019-12-08,56,False
2019-12-15,20,False
2019-12-22,0,False
2019-12-29,12,False
2020-01-05,11,False
2020-01-12,46,False
2020-01-19,27,False
2020-01-26,18,False
2020-02-02,29,False
2020-02-09,19,False
2020-02-16,46,False
2020-02-23,61,False
2020-03-01,35,False
2020-03-08,17,False
2020-03-15,9,False
2020-03-22,0,False
2020-03-29,19,False
2020-04-05,42,False
2020-04-12,40,False
2020-04-19,59,False
2020-04-26,49,False
2020-05-03,19,False
2020-05-10,56,False
2020-05-17,40,False
2020-05-24,9,False
2020-05-31,38,False
2020-06-07,38,False
2020-06-14,9,False
2020-06-21,55,False
2020-06-28,75,False
2020-07-05,10,False
