date,Haus streichen,isPartial
2018-01-07,44,False
2018-01-14,29,False
2018-01-21,86,False
2018-01-28,57,False
2018-02-04,30,False
2018-02-11,30,False
2018-02-18,45,False
2018-02-25,30,False
2018-03-04,30,False
2018-03-11,30,False
2018-03-18,46,False
2018-03-25,32,False
2018-04-01,99,False
2018-04-08,78,False
2018-04-15,94,False
2018-04-22,60,False
2018-04-29,0,False
2018-05-06,47,False
2018-05-13,30,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,60,False
2018-06-10,0,False
2018-06-17,29,False
2018-06-24,0,False
2018-07-01,29,False
2018-07-08,42,False
2018-07-15,29,False
2018-07-22,29,False
2018-07-29,30,False
2018-08-05,46,False
2018-08-12,32,False
2018-08-19,32,False
2018-08-26,48,False
2018-09-02,31,False
2018-09-09,30,False
2018-09-16,61,False
2018-09-23,30,False
2018-09-30,30,False
2018-10-07,30,False
2018-10-14,30,False
2018-10-21,44,False
2018-10-28,45,False
2018-11-04,0,False
2018-11-11,29,False
2018-11-18,0,False
2018-11-25,29,False
2018-12-02,28,False
2018-12-09,0,False
2018-12-16,30,False
2018-12-23,35,False
2018-12-30,41,False
2019-01-06,27,False
2019-01-13,81,False
2019-01-20,0,False
2019-01-27,27,False
2019-02-03,27,False
2019-02-10,28,False
2019-02-17,28,False
2019-02-24,28,False
2019-03-03,29,False
2019-03-10,28,False
2019-03-17,58,False
2019-03-24,49,False
2019-03-31,44,False
2019-04-07,71,False
2019-04-14,62,False
2019-04-21,41,False
2019-04-28,28,False
2019-05-05,27,False
2019-05-12,42,False
2019-05-19,55,False
2019-05-26,48,False
2019-06-02,29,False
2019-06-09,0,False
2019-06-16,30,False
2019-06-23,29,False
2019-06-30,28,False
2019-07-07,82,False
2019-07-14,100,False
2019-07-21,29,False
2019-07-28,29,False
2019-08-04,50,False
2019-08-11,41,False
2019-08-18,31,False
2019-08-25,30,False
2019-09-01,48,False
2019-09-08,42,False
2019-09-15,29,False
2019-09-22,27,False
2019-09-29,55,False
2019-10-06,27,False
2019-10-13,80,False
2019-10-20,27,False
2019-10-27,40,False
2019-11-03,52,False
2019-11-10,40,False
2019-11-17,53,False
2019-11-24,26,False
2019-12-01,0,False
2019-12-08,54,False
2019-12-15,28,False
2019-12-22,32,False
2019-12-29,29,False
2020-01-05,26,False
2020-01-12,49,False
2020-01-19,25,False
2020-01-26,38,False
2020-02-02,25,False
2020-02-09,24,False
2020-02-16,26,False
2020-02-23,25,False
2020-03-01,37,False
2020-03-08,47,False
2020-03-15,45,False
2020-03-22,53,False
2020-03-29,30,False
2020-04-05,34,False
2020-04-12,48,False
2020-04-19,23,False
2020-04-26,38,False
2020-05-03,39,False
2020-05-10,46,False
2020-05-17,95,True
