date,piscine creusée,isPartial
2018-01-07,8,False
2018-01-14,4,False
2018-01-21,15,False
2018-01-28,6,False
2018-02-04,4,False
2018-02-11,8,False
2018-02-18,8,False
2018-02-25,9,False
2018-03-04,13,False
2018-03-11,15,False
2018-03-18,10,False
2018-03-25,14,False
2018-04-01,12,False
2018-04-08,13,False
2018-04-15,23,False
2018-04-22,33,False
2018-04-29,22,False
2018-05-06,34,False
2018-05-13,9,False
2018-05-20,30,False
2018-05-27,18,False
2018-06-03,23,False
2018-06-10,15,False
2018-06-17,32,False
2018-06-24,50,False
2018-07-01,45,False
2018-07-08,39,False
2018-07-15,53,False
2018-07-22,71,False
2018-07-29,76,False
2018-08-05,59,False
2018-08-12,35,False
2018-08-19,42,False
2018-08-26,25,False
2018-09-02,17,False
2018-09-09,8,False
2018-09-16,16,False
2018-09-23,16,False
2018-09-30,13,False
2018-10-07,12,False
2018-10-14,8,False
2018-10-21,8,False
2018-10-28,8,False
2018-11-04,6,False
2018-11-11,9,False
2018-11-18,6,False
2018-11-25,6,False
2018-12-02,4,False
2018-12-09,4,False
2018-12-16,6,False
2018-12-23,6,False
2018-12-30,11,False
2019-01-06,6,False
2019-01-13,6,False
2019-01-20,11,False
2019-01-27,11,False
2019-02-03,7,False
2019-02-10,17,False
2019-02-17,13,False
2019-02-24,18,False
2019-03-03,15,False
2019-03-10,17,False
2019-03-17,21,False
2019-03-24,17,False
2019-03-31,18,False
2019-04-07,14,False
2019-04-14,16,False
2019-04-21,23,False
2019-04-28,22,False
2019-05-05,21,False
2019-05-12,19,False
2019-05-19,21,False
2019-05-26,34,False
2019-06-02,53,False
2019-06-09,20,False
2019-06-16,43,False
2019-06-23,100,False
2019-06-30,93,False
2019-07-07,49,False
2019-07-14,47,False
2019-07-21,73,False
2019-07-28,38,False
2019-08-04,22,False
2019-08-11,30,False
2019-08-18,35,False
2019-08-25,33,False
2019-09-01,16,False
2019-09-08,15,False
2019-09-15,15,False
2019-09-22,15,False
2019-09-29,12,False
2019-10-06,5,False
2019-10-13,17,False
2019-10-20,17,False
2019-10-27,4,False
2019-11-03,5,False
2019-11-10,6,False
2019-11-17,8,False
2019-11-24,3,False
2019-12-01,9,False
2019-12-08,8,False
2019-12-15,8,False
2019-12-22,5,False
2019-12-29,9,False
2020-01-05,10,False
2020-01-12,8,False
2020-01-19,9,False
2020-01-26,5,False
2020-02-02,8,False
2020-02-09,11,False
2020-02-16,15,False
2020-02-23,13,False
2020-03-01,17,False
2020-03-08,16,False
2020-03-15,10,False
2020-03-22,20,False
2020-03-29,24,False
2020-04-05,60,False
2020-04-12,72,False
2020-04-19,49,False
2020-04-26,47,False
2020-05-03,59,False
2020-05-10,36,False
2020-05-17,93,True
