date,climatisation gainable,isPartial
2018-01-07,24,False
2018-01-14,17,False
2018-01-21,17,False
2018-01-28,26,False
2018-02-04,18,False
2018-02-11,14,False
2018-02-18,17,False
2018-02-25,36,False
2018-03-04,17,False
2018-03-11,12,False
2018-03-18,24,False
2018-03-25,17,False
2018-04-01,18,False
2018-04-08,15,False
2018-04-15,8,False
2018-04-22,23,False
2018-04-29,10,False
2018-05-06,15,False
2018-05-13,22,False
2018-05-20,19,False
2018-05-27,12,False
2018-06-03,22,False
2018-06-10,14,False
2018-06-17,11,False
2018-06-24,27,False
2018-07-01,26,False
2018-07-08,33,False
2018-07-15,24,False
2018-07-22,34,False
2018-07-29,96,False
2018-08-05,72,False
2018-08-12,19,False
2018-08-19,19,False
2018-08-26,25,False
2018-09-02,20,False
2018-09-09,22,False
2018-09-16,30,False
2018-09-23,22,False
2018-09-30,12,False
2018-10-07,15,False
2018-10-14,20,False
2018-10-21,30,False
2018-10-28,32,False
2018-11-04,29,False
2018-11-11,24,False
2018-11-18,21,False
2018-11-25,17,False
2018-12-02,19,False
2018-12-09,37,False
2018-12-16,11,False
2018-12-23,20,False
2018-12-30,18,False
2019-01-06,17,False
2019-01-13,27,False
2019-01-20,26,False
2019-01-27,16,False
2019-02-03,30,False
2019-02-10,12,False
2019-02-17,28,False
2019-02-24,25,False
2019-03-03,19,False
2019-03-10,19,False
2019-03-17,12,False
2019-03-24,7,False
2019-03-31,14,False
2019-04-07,17,False
2019-04-14,19,False
2019-04-21,20,False
2019-04-28,18,False
2019-05-05,14,False
2019-05-12,29,False
2019-05-19,12,False
2019-05-26,14,False
2019-06-02,13,False
2019-06-09,30,False
2019-06-16,36,False
2019-06-23,100,False
2019-06-30,78,False
2019-07-07,60,False
2019-07-14,32,False
2019-07-21,88,False
2019-07-28,34,False
2019-08-04,28,False
2019-08-11,26,False
2019-08-18,13,False
2019-08-25,26,False
2019-09-01,21,False
2019-09-08,32,False
2019-09-15,37,False
2019-09-22,33,False
2019-09-29,15,False
2019-10-06,27,False
2019-10-13,25,False
2019-10-20,27,False
2019-10-27,20,False
2019-11-03,26,False
2019-11-10,29,False
2019-11-17,28,False
2019-11-24,25,False
2019-12-01,22,False
2019-12-08,13,False
2019-12-15,15,False
2019-12-22,18,False
2019-12-29,18,False
2020-01-05,23,False
2020-01-12,23,False
2020-01-19,26,False
2020-01-26,27,False
2020-02-02,34,False
2020-02-09,25,False
2020-02-16,32,False
2020-02-23,27,False
2020-03-01,26,False
2020-03-08,16,False
2020-03-15,9,False
2020-03-22,8,False
2020-03-29,9,False
2020-04-05,13,False
2020-04-12,23,False
2020-04-19,19,False
2020-04-26,27,False
2020-05-03,30,False
2020-05-10,32,False
2020-05-17,42,True
