date,climatisation gainable,isPartial
2018-01-07,28,False
2018-01-14,28,False
2018-01-21,27,False
2018-01-28,57,False
2018-02-04,27,False
2018-02-11,28,False
2018-02-18,43,False
2018-02-25,40,False
2018-03-04,27,False
2018-03-11,0,False
2018-03-18,28,False
2018-03-25,28,False
2018-04-01,56,False
2018-04-08,26,False
2018-04-15,30,False
2018-04-22,29,False
2018-04-29,0,False
2018-05-06,27,False
2018-05-13,0,False
2018-05-20,57,False
2018-05-27,27,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,28,False
2018-06-24,28,False
2018-07-01,54,False
2018-07-08,26,False
2018-07-15,0,False
2018-07-22,39,False
2018-07-29,35,False
2018-08-05,56,False
2018-08-12,38,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,28,False
2018-09-09,28,False
2018-09-16,85,False
2018-09-23,29,False
2018-09-30,28,False
2018-10-07,28,False
2018-10-14,0,False
2018-10-21,30,False
2018-10-28,28,False
2018-11-04,55,False
2018-11-11,28,False
2018-11-18,83,False
2018-11-25,42,False
2018-12-02,0,False
2018-12-09,29,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,31,False
2019-01-06,29,False
2019-01-13,29,False
2019-01-20,28,False
2019-01-27,0,False
2019-02-03,28,False
2019-02-10,29,False
2019-02-17,38,False
2019-02-24,30,False
2019-03-03,30,False
2019-03-10,29,False
2019-03-17,30,False
2019-03-24,29,False
2019-03-31,28,False
2019-04-07,0,False
2019-04-14,27,False
2019-04-21,27,False
2019-04-28,0,False
2019-05-05,27,False
2019-05-12,0,False
2019-05-19,55,False
2019-05-26,27,False
2019-06-02,27,False
2019-06-09,0,False
2019-06-16,27,False
2019-06-23,73,False
2019-06-30,27,False
2019-07-07,38,False
2019-07-14,25,False
2019-07-21,41,False
2019-07-28,24,False
2019-08-04,23,False
2019-08-11,0,False
2019-08-18,44,False
2019-08-25,21,False
2019-09-01,25,False
2019-09-08,25,False
2019-09-15,25,False
2019-09-22,26,False
2019-09-29,51,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,38,False
2019-11-03,99,False
2019-11-10,38,False
2019-11-17,33,False
2019-11-24,25,False
2019-12-01,25,False
2019-12-08,25,False
2019-12-15,51,False
2019-12-22,0,False
2019-12-29,54,False
2020-01-05,33,False
2020-01-12,24,False
2020-01-19,47,False
2020-01-26,33,False
2020-02-02,25,False
2020-02-09,25,False
2020-02-16,37,False
2020-02-23,0,False
2020-03-01,45,False
2020-03-08,23,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,40,False
2020-04-05,21,False
2020-04-12,0,False
2020-04-19,19,False
2020-04-26,19,False
2020-05-03,19,False
2020-05-10,20,False
2020-05-17,100,True
