date,chauffage cheminee,isPartial
2018-01-07,17,False
2018-01-14,43,False
2018-01-21,43,False
2018-01-28,0,False
2018-02-04,52,False
2018-02-11,26,False
2018-02-18,89,False
2018-02-25,87,False
2018-03-04,52,False
2018-03-11,35,False
2018-03-18,35,False
2018-03-25,18,False
2018-04-01,18,False
2018-04-08,0,False
2018-04-15,19,False
2018-04-22,0,False
2018-04-29,18,False
2018-05-06,19,False
2018-05-13,26,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,18,False
2018-06-10,0,False
2018-06-17,18,False
2018-06-24,18,False
2018-07-01,17,False
2018-07-08,27,False
2018-07-15,67,False
2018-07-22,19,False
2018-07-29,19,False
2018-08-05,19,False
2018-08-12,0,False
2018-08-19,38,False
2018-08-26,18,False
2018-09-02,36,False
2018-09-09,18,False
2018-09-16,54,False
2018-09-23,36,False
2018-09-30,90,False
2018-10-07,72,False
2018-10-14,63,False
2018-10-21,100,False
2018-10-28,100,False
2018-11-04,96,False
2018-11-11,52,False
2018-11-18,69,False
2018-11-25,53,False
2018-12-02,44,False
2018-12-09,89,False
2018-12-16,55,False
2018-12-23,20,False
2018-12-30,57,False
2019-01-06,35,False
2019-01-13,26,False
2019-01-20,34,False
2019-01-27,51,False
2019-02-03,35,False
2019-02-10,27,False
2019-02-17,18,False
2019-02-24,0,False
2019-03-03,17,False
2019-03-10,17,False
2019-03-17,36,False
2019-03-24,36,False
2019-03-31,0,False
2019-04-07,36,False
2019-04-14,0,False
2019-04-21,27,False
2019-04-28,27,False
2019-05-05,26,False
2019-05-12,35,False
2019-05-19,17,False
2019-05-26,18,False
2019-06-02,16,False
2019-06-09,17,False
2019-06-16,0,False
2019-06-23,35,False
2019-06-30,17,False
2019-07-07,17,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,19,False
2019-08-04,19,False
2019-08-11,28,False
2019-08-18,18,False
2019-08-25,35,False
2019-09-01,50,False
2019-09-08,59,False
2019-09-15,33,False
2019-09-22,16,False
2019-09-29,24,False
2019-10-06,41,False
2019-10-13,49,False
2019-10-20,25,False
2019-10-27,40,False
2019-11-03,87,False
2019-11-10,64,False
2019-11-17,72,False
2019-11-24,46,False
2019-12-01,39,False
2019-12-08,16,False
2019-12-15,16,False
2019-12-22,44,False
2019-12-29,59,False
2020-01-05,46,False
2020-01-12,60,False
2020-01-19,39,False
2020-01-26,30,False
2020-02-02,38,False
2020-02-09,23,False
2020-02-16,31,False
2020-02-23,15,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,20,False
2020-03-29,14,False
2020-04-05,27,False
2020-04-12,0,False
2020-04-19,14,False
2020-04-26,26,False
2020-05-03,0,False
2020-05-10,27,False
2020-05-17,34,True
