date,clases particulares primaria,isPartial
2018-01-07,58,False
2018-01-14,58,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,29,False
2018-02-18,29,False
2018-02-25,28,False
2018-03-04,42,False
2018-03-11,42,False
2018-03-18,29,False
2018-03-25,32,False
2018-04-01,49,False
2018-04-08,0,False
2018-04-15,57,False
2018-04-22,0,False
2018-04-29,29,False
2018-05-06,28,False
2018-05-13,29,False
2018-05-20,43,False
2018-05-27,28,False
2018-06-03,55,False
2018-06-10,27,False
2018-06-17,30,False
2018-06-24,44,False
2018-07-01,0,False
2018-07-08,29,False
2018-07-15,45,False
2018-07-22,46,False
2018-07-29,30,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,47,False
2018-08-26,0,False
2018-09-02,28,False
2018-09-09,28,False
2018-09-16,56,False
2018-09-23,69,False
2018-09-30,37,False
2018-10-07,29,False
2018-10-14,0,False
2018-10-21,56,False
2018-10-28,29,False
2018-11-04,54,False
2018-11-11,28,False
2018-11-18,27,False
2018-11-25,42,False
2018-12-02,29,False
2018-12-09,86,False
2018-12-16,29,False
2018-12-23,0,False
2018-12-30,32,False
2019-01-06,29,False
2019-01-13,55,False
2019-01-20,26,False
2019-01-27,52,False
2019-02-03,28,False
2019-02-10,28,False
2019-02-17,74,False
2019-02-24,27,False
2019-03-03,37,False
2019-03-10,57,False
2019-03-17,28,False
2019-03-24,28,False
2019-03-31,81,False
2019-04-07,54,False
2019-04-14,0,False
2019-04-21,28,False
2019-04-28,28,False
2019-05-05,27,False
2019-05-12,27,False
2019-05-19,54,False
2019-05-26,0,False
2019-06-02,39,False
2019-06-09,27,False
2019-06-16,55,False
2019-06-23,28,False
2019-06-30,28,False
2019-07-07,54,False
2019-07-14,29,False
2019-07-21,28,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,30,False
2019-08-18,29,False
2019-08-25,46,False
2019-09-01,53,False
2019-09-08,39,False
2019-09-15,68,False
2019-09-22,34,False
2019-09-29,26,False
2019-10-06,51,False
2019-10-13,42,False
2019-10-20,25,False
2019-10-27,38,False
2019-11-03,25,False
2019-11-10,25,False
2019-11-17,50,False
2019-11-24,24,False
2019-12-01,77,False
2019-12-08,52,False
2019-12-15,100,False
2019-12-22,28,False
2019-12-29,0,False
2020-01-05,38,False
2020-01-12,46,False
2020-01-19,46,False
2020-01-26,72,False
2020-02-02,60,False
2020-02-09,24,False
2020-02-16,36,False
2020-02-23,47,False
2020-03-01,23,False
2020-03-08,22,False
2020-03-15,22,False
2020-03-22,21,False
2020-03-29,21,False
2020-04-05,44,False
2020-04-12,42,False
2020-04-19,20,False
2020-04-26,0,False
2020-05-03,21,False
2020-05-10,31,False
2020-05-17,25,True
