date,Grünschnitt,isPartial
2018-01-07,24,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,26,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,24,False
2018-03-11,23,False
2018-03-18,23,False
2018-03-25,25,False
2018-04-01,38,False
2018-04-08,25,False
2018-04-15,25,False
2018-04-22,24,False
2018-04-29,50,False
2018-05-06,25,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,25,False
2018-06-03,24,False
2018-06-10,23,False
2018-06-17,24,False
2018-06-24,0,False
2018-07-01,48,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,24,False
2018-07-29,50,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,23,False
2018-09-02,23,False
2018-09-09,23,False
2018-09-16,23,False
2018-09-23,23,False
2018-09-30,23,False
2018-10-07,47,False
2018-10-14,24,False
2018-10-21,0,False
2018-10-28,24,False
2018-11-04,0,False
2018-11-11,23,False
2018-11-18,22,False
2018-11-25,0,False
2018-12-02,23,False
2018-12-09,23,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,23,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,21,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,22,False
2019-03-10,0,False
2019-03-17,44,False
2019-03-24,22,False
2019-03-31,22,False
2019-04-07,0,False
2019-04-14,24,False
2019-04-21,23,False
2019-04-28,0,False
2019-05-05,41,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,21,False
2019-06-02,22,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,22,False
2019-07-07,21,False
2019-07-14,22,False
2019-07-21,23,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,43,False
2019-08-18,41,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,21,False
2019-09-15,21,False
2019-09-22,20,False
2019-09-29,0,False
2019-10-06,20,False
2019-10-13,20,False
2019-10-20,100,False
2019-10-27,20,False
2019-11-03,19,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,19,False
2020-02-23,18,False
2020-03-01,0,False
2020-03-08,26,False
2020-03-15,24,False
2020-03-22,15,False
2020-03-29,39,False
2020-04-05,17,False
2020-04-12,49,False
2020-04-19,49,False
2020-04-26,16,False
2020-05-03,17,False
2020-05-10,16,False
2020-05-17,36,False
2020-05-24,16,False
2020-05-31,17,False
2020-06-07,0,False
2020-06-14,25,False
2020-06-21,36,False
2020-06-28,72,False
2020-07-05,39,False
