date,Heizung entlüften,isPartial
2018-01-07,39,False
2018-01-14,33,False
2018-01-21,50,False
2018-01-28,33,False
2018-02-04,62,False
2018-02-11,34,False
2018-02-18,25,False
2018-02-25,55,False
2018-03-04,22,False
2018-03-11,17,False
2018-03-18,51,False
2018-03-25,17,False
2018-04-01,17,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,18,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,16,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,19,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,16,False
2018-08-19,16,False
2018-08-26,0,False
2018-09-02,33,False
2018-09-09,25,False
2018-09-16,25,False
2018-09-23,100,False
2018-09-30,69,False
2018-10-07,35,False
2018-10-14,25,False
2018-10-21,32,False
2018-10-28,75,False
2018-11-04,64,False
2018-11-11,44,False
2018-11-18,90,False
2018-11-25,60,False
2018-12-02,59,False
2018-12-09,27,False
2018-12-16,73,False
2018-12-23,55,False
2018-12-30,23,False
2019-01-06,41,False
2019-01-13,61,False
2019-01-20,51,False
2019-01-27,41,False
2019-02-03,23,False
2019-02-10,42,False
2019-02-17,32,False
2019-02-24,49,False
2019-03-03,46,False
2019-03-10,36,False
2019-03-17,21,False
2019-03-24,0,False
2019-03-31,32,False
2019-04-07,25,False
2019-04-14,36,False
2019-04-21,16,False
2019-04-28,16,False
2019-05-05,24,False
2019-05-12,16,False
2019-05-19,0,False
2019-05-26,32,False
2019-06-02,15,False
2019-06-09,16,False
2019-06-16,0,False
2019-06-23,16,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,17,False
2019-07-28,0,False
2019-08-04,32,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,15,False
2019-09-08,20,False
2019-09-15,71,False
2019-09-22,15,False
2019-09-29,72,False
2019-10-06,66,False
2019-10-13,45,False
2019-10-20,45,False
2019-10-27,98,False
2019-11-03,57,False
2019-11-10,58,False
2019-11-17,88,False
2019-11-24,52,False
2019-12-01,72,False
2019-12-08,91,False
2019-12-15,34,False
2019-12-22,59,False
2019-12-29,40,False
2020-01-05,68,False
2020-01-12,22,False
2020-01-19,28,False
2020-01-26,41,False
2020-02-02,32,False
2020-02-09,27,False
2020-02-16,21,False
2020-02-23,37,False
2020-03-01,28,False
2020-03-08,21,False
2020-03-15,25,False
2020-03-22,19,False
2020-03-29,51,False
2020-04-05,0,False
2020-04-12,27,False
2020-04-19,13,False
2020-04-26,12,False
2020-05-03,13,False
2020-05-10,13,False
