date,Heizung entlüften,isPartial
2018-01-07,33,False
2018-01-14,34,False
2018-01-21,40,False
2018-01-28,24,False
2018-02-04,41,False
2018-02-11,21,False
2018-02-18,33,False
2018-02-25,47,False
2018-03-04,21,False
2018-03-11,13,False
2018-03-18,18,False
2018-03-25,19,False
2018-04-01,6,False
2018-04-08,8,False
2018-04-15,7,False
2018-04-22,10,False
2018-04-29,9,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,5,False
2018-06-10,0,False
2018-06-17,5,False
2018-06-24,5,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,8,False
2018-07-22,0,False
2018-07-29,6,False
2018-08-05,0,False
2018-08-12,6,False
2018-08-19,14,False
2018-08-26,5,False
2018-09-02,5,False
2018-09-09,7,False
2018-09-16,11,False
2018-09-23,75,False
2018-09-30,81,False
2018-10-07,27,False
2018-10-14,11,False
2018-10-21,77,False
2018-10-28,95,False
2018-11-04,42,False
2018-11-11,57,False
2018-11-18,72,False
2018-11-25,46,False
2018-12-02,24,False
2018-12-09,46,False
2018-12-16,37,False
2018-12-23,32,False
2018-12-30,36,False
2019-01-06,23,False
2019-01-13,35,False
2019-01-20,61,False
2019-01-27,32,False
2019-02-03,29,False
2019-02-10,12,False
2019-02-17,13,False
2019-02-24,12,False
2019-03-03,12,False
2019-03-10,16,False
2019-03-17,14,False
2019-03-24,8,False
2019-03-31,7,False
2019-04-07,20,False
2019-04-14,9,False
2019-04-21,5,False
2019-04-28,10,False
2019-05-05,10,False
2019-05-12,8,False
2019-05-19,7,False
2019-05-26,5,False
2019-06-02,15,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,5,False
2019-06-30,5,False
2019-07-07,0,False
2019-07-14,5,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,5,False
2019-08-18,5,False
2019-08-25,5,False
2019-09-01,12,False
2019-09-08,10,False
2019-09-15,32,False
2019-09-22,28,False
2019-09-29,61,False
2019-10-06,100,False
2019-10-13,34,False
2019-10-20,30,False
2019-10-27,61,False
2019-11-03,38,False
2019-11-10,50,False
2019-11-17,57,False
2019-11-24,28,False
2019-12-01,51,False
2019-12-08,37,False
2019-12-15,33,False
2019-12-22,36,False
2019-12-29,51,False
2020-01-05,28,False
2020-01-12,23,False
2020-01-19,40,False
2020-01-26,24,False
2020-02-02,20,False
2020-02-09,21,False
2020-02-16,13,False
2020-02-23,18,False
2020-03-01,20,False
2020-03-08,16,False
2020-03-15,6,False
2020-03-22,17,False
2020-03-29,30,False
2020-04-05,10,False
2020-04-12,4,False
2020-04-19,4,False
2020-04-26,4,False
2020-05-03,6,False
2020-05-10,7,False
