date,organizzatore di eventi,isPartial
2018-01-07,49,False
2018-01-14,48,False
2018-01-21,19,False
2018-01-28,28,False
2018-02-04,38,False
2018-02-11,38,False
2018-02-18,37,False
2018-02-25,18,False
2018-03-04,18,False
2018-03-11,28,False
2018-03-18,28,False
2018-03-25,40,False
2018-04-01,31,False
2018-04-08,19,False
2018-04-15,29,False
2018-04-22,20,False
2018-04-29,39,False
2018-05-06,19,False
2018-05-13,29,False
2018-05-20,38,False
2018-05-27,78,False
2018-06-03,29,False
2018-06-10,46,False
2018-06-17,38,False
2018-06-24,39,False
2018-07-01,0,False
2018-07-08,19,False
2018-07-15,97,False
2018-07-22,39,False
2018-07-29,20,False
2018-08-05,0,False
2018-08-12,22,False
2018-08-19,21,False
2018-08-26,59,False
2018-09-02,37,False
2018-09-09,28,False
2018-09-16,55,False
2018-09-23,76,False
2018-09-30,56,False
2018-10-07,58,False
2018-10-14,39,False
2018-10-21,28,False
2018-10-28,19,False
2018-11-04,18,False
2018-11-11,48,False
2018-11-18,19,False
2018-11-25,48,False
2018-12-02,29,False
2018-12-09,19,False
2018-12-16,20,False
2018-12-23,45,False
2018-12-30,31,False
2019-01-06,19,False
2019-01-13,37,False
2019-01-20,54,False
2019-01-27,35,False
2019-02-03,18,False
2019-02-10,18,False
2019-02-17,56,False
2019-02-24,55,False
2019-03-03,39,False
2019-03-10,38,False
2019-03-17,58,False
2019-03-24,38,False
2019-03-31,28,False
2019-04-07,28,False
2019-04-14,19,False
2019-04-21,30,False
2019-04-28,28,False
2019-05-05,55,False
2019-05-12,18,False
2019-05-19,27,False
2019-05-26,44,False
2019-06-02,38,False
2019-06-09,57,False
2019-06-16,29,False
2019-06-23,39,False
2019-06-30,19,False
2019-07-07,65,False
2019-07-14,48,False
2019-07-21,68,False
2019-07-28,20,False
2019-08-04,40,False
2019-08-11,43,False
2019-08-18,60,False
2019-08-25,55,False
2019-09-01,52,False
2019-09-08,54,False
2019-09-15,35,False
2019-09-22,26,False
2019-09-29,27,False
2019-10-06,54,False
2019-10-13,18,False
2019-10-20,17,False
2019-10-27,17,False
2019-11-03,34,False
2019-11-10,86,False
2019-11-17,60,False
2019-11-24,34,False
2019-12-01,44,False
2019-12-08,53,False
2019-12-15,54,False
2019-12-22,21,False
2019-12-29,49,False
2020-01-05,17,False
2020-01-12,41,False
2020-01-19,17,False
2020-01-26,25,False
2020-02-02,24,False
2020-02-09,33,False
2020-02-16,33,False
2020-02-23,0,False
2020-03-01,23,False
2020-03-08,15,False
2020-03-15,15,False
2020-03-22,42,False
2020-03-29,0,False
2020-04-05,15,False
2020-04-12,30,False
2020-04-19,14,False
2020-04-26,100,True
