date,videos de empresas,isPartial
2018-01-07,51,False
2018-01-14,52,False
2018-01-21,0,False
2018-01-28,51,False
2018-02-04,25,False
2018-02-11,26,False
2018-02-18,0,False
2018-02-25,25,False
2018-03-04,25,False
2018-03-11,37,False
2018-03-18,52,False
2018-03-25,57,False
2018-04-01,0,False
2018-04-08,24,False
2018-04-15,25,False
2018-04-22,50,False
2018-04-29,51,False
2018-05-06,49,False
2018-05-13,26,False
2018-05-20,38,False
2018-05-27,25,False
2018-06-03,24,False
2018-06-10,60,False
2018-06-17,26,False
2018-06-24,26,False
2018-07-01,26,False
2018-07-08,26,False
2018-07-15,27,False
2018-07-22,0,False
2018-07-29,27,False
2018-08-05,27,False
2018-08-12,0,False
2018-08-19,27,False
2018-08-26,0,False
2018-09-02,100,False
2018-09-09,25,False
2018-09-16,38,False
2018-09-23,73,False
2018-09-30,50,False
2018-10-07,26,False
2018-10-14,24,False
2018-10-21,0,False
2018-10-28,51,False
2018-11-04,24,False
2018-11-11,24,False
2018-11-18,36,False
2018-11-25,49,False
2018-12-02,0,False
2018-12-09,26,False
2018-12-16,26,False
2018-12-23,29,False
2018-12-30,42,False
2019-01-06,25,False
2019-01-13,36,False
2019-01-20,46,False
2019-01-27,24,False
2019-02-03,99,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,24,False
2019-03-03,25,False
2019-03-10,25,False
2019-03-17,0,False
2019-03-24,38,False
2019-03-31,48,False
2019-04-07,24,False
2019-04-14,26,False
2019-04-21,24,False
2019-04-28,0,False
2019-05-05,24,False
2019-05-12,61,False
2019-05-19,24,False
2019-05-26,47,False
2019-06-02,23,False
2019-06-09,0,False
2019-06-16,49,False
2019-06-23,50,False
2019-06-30,25,False
2019-07-07,49,False
2019-07-14,26,False
2019-07-21,38,False
2019-07-28,27,False
2019-08-04,26,False
2019-08-11,0,False
2019-08-18,26,False
2019-08-25,36,False
2019-09-01,0,False
2019-09-08,69,False
2019-09-15,0,False
2019-09-22,23,False
2019-09-29,57,False
2019-10-06,22,False
2019-10-13,66,False
2019-10-20,22,False
2019-10-27,22,False
2019-11-03,33,False
2019-11-10,44,False
2019-11-17,22,False
2019-11-24,53,False
2019-12-01,0,False
2019-12-08,23,False
2019-12-15,44,False
2019-12-22,50,False
2019-12-29,49,False
2020-01-05,44,False
2020-01-12,42,False
2020-01-19,31,False
2020-01-26,21,False
2020-02-02,21,False
2020-02-09,42,False
2020-02-16,21,False
2020-02-23,41,False
2020-03-01,0,False
2020-03-08,40,False
2020-03-15,0,False
2020-03-22,37,False
2020-03-29,73,False
2020-04-05,39,False
2020-04-12,0,True
