date,Schiebetür,isPartial
2018-01-07,25,False
2018-01-14,38,False
2018-01-21,38,False
2018-01-28,39,False
2018-02-04,27,False
2018-02-11,75,False
2018-02-18,25,False
2018-02-25,73,False
2018-03-04,75,False
2018-03-11,24,False
2018-03-18,37,False
2018-03-25,52,False
2018-04-01,66,False
2018-04-08,39,False
2018-04-15,79,False
2018-04-22,26,False
2018-04-29,53,False
2018-05-06,53,False
2018-05-13,37,False
2018-05-20,39,False
2018-05-27,26,False
2018-06-03,87,False
2018-06-10,24,False
2018-06-17,50,False
2018-06-24,24,False
2018-07-01,38,False
2018-07-08,100,False
2018-07-15,52,False
2018-07-22,38,False
2018-07-29,26,False
2018-08-05,63,False
2018-08-12,39,False
2018-08-19,50,False
2018-08-26,24,False
2018-09-02,36,False
2018-09-09,37,False
2018-09-16,37,False
2018-09-23,24,False
2018-09-30,62,False
2018-10-07,37,False
2018-10-14,50,False
2018-10-21,25,False
2018-10-28,37,False
2018-11-04,47,False
2018-11-11,36,False
2018-11-18,35,False
2018-11-25,24,False
2018-12-02,73,False
2018-12-09,35,False
2018-12-16,0,False
2018-12-23,54,False
2018-12-30,36,False
2019-01-06,21,False
2019-01-13,45,False
2019-01-20,77,False
2019-01-27,90,False
2019-02-03,60,False
2019-02-10,22,False
2019-02-17,67,False
2019-02-24,22,False
2019-03-03,57,False
2019-03-10,44,False
2019-03-17,23,False
2019-03-24,46,False
2019-03-31,81,False
2019-04-07,92,False
2019-04-14,25,False
2019-04-21,59,False
2019-04-28,67,False
2019-05-05,22,False
2019-05-12,76,False
2019-05-19,87,False
2019-05-26,43,False
2019-06-02,57,False
2019-06-09,47,False
2019-06-16,58,False
2019-06-23,23,False
2019-06-30,70,False
2019-07-07,33,False
2019-07-14,35,False
2019-07-21,24,False
2019-07-28,23,False
2019-08-04,24,False
2019-08-11,23,False
2019-08-18,65,False
2019-08-25,42,False
2019-09-01,41,False
2019-09-08,55,False
2019-09-15,33,False
2019-09-22,43,False
2019-09-29,21,False
2019-10-06,43,False
2019-10-13,64,False
2019-10-20,21,False
2019-10-27,42,False
2019-11-03,51,False
2019-11-10,61,False
2019-11-17,41,False
2019-11-24,61,False
2019-12-01,42,False
2019-12-08,21,False
2019-12-15,43,False
2019-12-22,35,False
2019-12-29,62,False
2020-01-05,28,False
2020-01-12,28,False
2020-01-19,29,False
2020-01-26,0,False
2020-02-02,41,False
2020-02-09,97,False
2020-02-16,59,False
2020-02-23,48,False
2020-03-01,29,False
2020-03-08,18,False
2020-03-15,0,False
2020-03-22,16,False
2020-03-29,33,False
2020-04-05,36,False
2020-04-12,52,False
2020-04-19,68,False
2020-04-26,43,False
2020-05-03,87,False
2020-05-10,52,False
2020-05-17,66,False
2020-05-24,69,False
2020-05-31,26,False
2020-06-07,36,False
2020-06-14,17,False
2020-06-21,75,False
2020-06-28,28,False
2020-07-05,81,False
