date,sitios bodas,isPartial
2018-01-07,29,False
2018-01-14,15,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,71,False
2018-02-11,15,False
2018-02-18,14,False
2018-02-25,28,False
2018-03-04,28,False
2018-03-11,0,False
2018-03-18,28,False
2018-03-25,16,False
2018-04-01,72,False
2018-04-08,14,False
2018-04-15,14,False
2018-04-22,14,False
2018-04-29,29,False
2018-05-06,56,False
2018-05-13,14,False
2018-05-20,0,False
2018-05-27,28,False
2018-06-03,14,False
2018-06-10,14,False
2018-06-17,30,False
2018-06-24,44,False
2018-07-01,29,False
2018-07-08,14,False
2018-07-15,0,False
2018-07-22,15,False
2018-07-29,61,False
2018-08-05,15,False
2018-08-12,62,False
2018-08-19,46,False
2018-08-26,59,False
2018-09-02,14,False
2018-09-09,28,False
2018-09-16,14,False
2018-09-23,0,False
2018-09-30,28,False
2018-10-07,58,False
2018-10-14,14,False
2018-10-21,28,False
2018-10-28,73,False
2018-11-04,14,False
2018-11-11,14,False
2018-11-18,0,False
2018-11-25,83,False
2018-12-02,29,False
2018-12-09,29,False
2018-12-16,14,False
2018-12-23,17,False
2018-12-30,63,False
2019-01-06,0,False
2019-01-13,41,False
2019-01-20,26,False
2019-01-27,53,False
2019-02-03,42,False
2019-02-10,41,False
2019-02-17,14,False
2019-02-24,54,False
2019-03-03,28,False
2019-03-10,29,False
2019-03-17,14,False
2019-03-24,0,False
2019-03-31,14,False
2019-04-07,14,False
2019-04-14,29,False
2019-04-21,28,False
2019-04-28,14,False
2019-05-05,41,False
2019-05-12,27,False
2019-05-19,67,False
2019-05-26,13,False
2019-06-02,13,False
2019-06-09,53,False
2019-06-16,14,False
2019-06-23,14,False
2019-06-30,28,False
2019-07-07,0,False
2019-07-14,100,False
2019-07-21,29,False
2019-07-28,89,False
2019-08-04,44,False
2019-08-11,15,False
2019-08-18,29,False
2019-08-25,27,False
2019-09-01,53,False
2019-09-08,38,False
2019-09-15,51,False
2019-09-22,39,False
2019-09-29,64,False
2019-10-06,38,False
2019-10-13,62,False
2019-10-20,50,False
2019-10-27,25,False
2019-11-03,24,False
2019-11-10,12,False
2019-11-17,24,False
2019-11-24,12,False
2019-12-01,25,False
2019-12-08,26,False
2019-12-15,37,False
2019-12-22,28,False
2019-12-29,14,False
2020-01-05,50,False
2020-01-12,0,False
2020-01-19,34,False
2020-01-26,36,False
2020-02-02,0,False
2020-02-09,24,False
2020-02-16,12,False
2020-02-23,12,False
2020-03-01,34,False
2020-03-08,22,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,10,False
2020-04-05,11,False
2020-04-12,0,True
