date,montare video,isPartial
2018-01-07,19,False
2018-01-14,9,False
2018-01-21,9,False
2018-01-28,13,False
2018-02-04,13,False
2018-02-11,9,False
2018-02-18,16,False
2018-02-25,36,False
2018-03-04,16,False
2018-03-11,12,False
2018-03-18,25,False
2018-03-25,18,False
2018-04-01,0,False
2018-04-08,8,False
2018-04-15,9,False
2018-04-22,9,False
2018-04-29,17,False
2018-05-06,8,False
2018-05-13,25,False
2018-05-20,8,False
2018-05-27,9,False
2018-06-03,22,False
2018-06-10,16,False
2018-06-17,24,False
2018-06-24,17,False
2018-07-01,9,False
2018-07-08,9,False
2018-07-15,18,False
2018-07-22,9,False
2018-07-29,35,False
2018-08-05,10,False
2018-08-12,11,False
2018-08-19,12,False
2018-08-26,15,False
2018-09-02,21,False
2018-09-09,41,False
2018-09-16,12,False
2018-09-23,8,False
2018-09-30,24,False
2018-10-07,17,False
2018-10-14,25,False
2018-10-21,12,False
2018-10-28,12,False
2018-11-04,12,False
2018-11-11,20,False
2018-11-18,12,False
2018-11-25,8,False
2018-12-02,15,False
2018-12-09,21,False
2018-12-16,9,False
2018-12-23,22,False
2018-12-30,19,False
2019-01-06,9,False
2019-01-13,0,False
2019-01-20,9,False
2019-01-27,8,False
2019-02-03,13,False
2019-02-10,27,False
2019-02-17,0,False
2019-02-24,20,False
2019-03-03,0,False
2019-03-10,9,False
2019-03-17,33,False
2019-03-24,9,False
2019-03-31,0,False
2019-04-07,21,False
2019-04-14,22,False
2019-04-21,21,False
2019-04-28,9,False
2019-05-05,20,False
2019-05-12,26,False
2019-05-19,26,False
2019-05-26,9,False
2019-06-02,18,False
2019-06-09,9,False
2019-06-16,0,False
2019-06-23,14,False
2019-06-30,15,False
2019-07-07,9,False
2019-07-14,10,False
2019-07-21,24,False
2019-07-28,16,False
2019-08-04,11,False
2019-08-11,12,False
2019-08-18,23,False
2019-08-25,20,False
2019-09-01,9,False
2019-09-08,13,False
2019-09-15,13,False
2019-09-22,17,False
2019-09-29,17,False
2019-10-06,0,False
2019-10-13,27,False
2019-10-20,26,False
2019-10-27,13,False
2019-11-03,21,False
2019-11-10,13,False
2019-11-17,43,False
2019-11-24,21,False
2019-12-01,9,False
2019-12-08,31,False
2019-12-15,9,False
2019-12-22,11,False
2019-12-29,10,False
2020-01-05,9,False
2020-01-12,8,False
2020-01-19,13,False
2020-01-26,16,False
2020-02-02,16,False
2020-02-09,17,False
2020-02-16,17,False
2020-02-23,8,False
2020-03-01,20,False
2020-03-08,16,False
2020-03-15,28,False
2020-03-22,44,False
2020-03-29,34,False
2020-04-05,68,False
2020-04-12,100,False
2020-04-19,52,False
2020-04-26,46,True
