date,montare video,isPartial
2018-01-07,26,False
2018-01-14,20,False
2018-01-21,18,False
2018-01-28,13,False
2018-02-04,21,False
2018-02-11,16,False
2018-02-18,18,False
2018-02-25,22,False
2018-03-04,20,False
2018-03-11,18,False
2018-03-18,18,False
2018-03-25,20,False
2018-04-01,21,False
2018-04-08,17,False
2018-04-15,17,False
2018-04-22,17,False
2018-04-29,19,False
2018-05-06,16,False
2018-05-13,17,False
2018-05-20,26,False
2018-05-27,13,False
2018-06-03,21,False
2018-06-10,21,False
2018-06-17,20,False
2018-06-24,26,False
2018-07-01,27,False
2018-07-08,33,False
2018-07-15,23,False
2018-07-22,17,False
2018-07-29,20,False
2018-08-05,23,False
2018-08-12,16,False
2018-08-19,22,False
2018-08-26,18,False
2018-09-02,33,False
2018-09-09,21,False
2018-09-16,13,False
2018-09-23,16,False
2018-09-30,21,False
2018-10-07,12,False
2018-10-14,19,False
2018-10-21,25,False
2018-10-28,18,False
2018-11-04,21,False
2018-11-11,19,False
2018-11-18,20,False
2018-11-25,12,False
2018-12-02,22,False
2018-12-09,21,False
2018-12-16,21,False
2018-12-23,30,False
2018-12-30,15,False
2019-01-06,13,False
2019-01-13,22,False
2019-01-20,20,False
2019-01-27,25,False
2019-02-03,21,False
2019-02-10,17,False
2019-02-17,20,False
2019-02-24,15,False
2019-03-03,18,False
2019-03-10,19,False
2019-03-17,29,False
2019-03-24,14,False
2019-03-31,19,False
2019-04-07,22,False
2019-04-14,15,False
2019-04-21,21,False
2019-04-28,27,False
2019-05-05,18,False
2019-05-12,21,False
2019-05-19,22,False
2019-05-26,12,False
2019-06-02,20,False
2019-06-09,24,False
2019-06-16,12,False
2019-06-23,13,False
2019-06-30,17,False
2019-07-07,21,False
2019-07-14,20,False
2019-07-21,16,False
2019-07-28,28,False
2019-08-04,20,False
2019-08-11,13,False
2019-08-18,22,False
2019-08-25,16,False
2019-09-01,14,False
2019-09-08,15,False
2019-09-15,10,False
2019-09-22,15,False
2019-09-29,22,False
2019-10-06,13,False
2019-10-13,15,False
2019-10-20,28,False
2019-10-27,14,False
2019-11-03,22,False
2019-11-10,17,False
2019-11-17,21,False
2019-11-24,11,False
2019-12-01,20,False
2019-12-08,15,False
2019-12-15,22,False
2019-12-22,22,False
2019-12-29,18,False
2020-01-05,20,False
2020-01-12,15,False
2020-01-19,27,False
2020-01-26,17,False
2020-02-02,14,False
2020-02-09,19,False
2020-02-16,11,False
2020-02-23,21,False
2020-03-01,19,False
2020-03-08,34,False
2020-03-15,46,False
2020-03-22,66,False
2020-03-29,69,False
2020-04-05,88,False
2020-04-12,100,False
2020-04-19,83,False
2020-04-26,75,True
