date,Installateur,isPartial
2018-01-07,15,False
2018-01-14,23,False
2018-01-21,15,False
2018-01-28,19,False
2018-02-04,15,False
2018-02-11,16,False
2018-02-18,19,False
2018-02-25,35,False
2018-03-04,23,False
2018-03-11,30,False
2018-03-18,24,False
2018-03-25,25,False
2018-04-01,13,False
2018-04-08,20,False
2018-04-15,30,False
2018-04-22,29,False
2018-04-29,17,False
2018-05-06,25,False
2018-05-13,24,False
2018-05-20,12,False
2018-05-27,25,False
2018-06-03,24,False
2018-06-10,12,False
2018-06-17,8,False
2018-06-24,25,False
2018-07-01,38,False
2018-07-08,21,False
2018-07-15,34,False
2018-07-22,47,False
2018-07-29,17,False
2018-08-05,32,False
2018-08-12,17,False
2018-08-19,12,False
2018-08-26,20,False
2018-09-02,35,False
2018-09-09,12,False
2018-09-16,28,False
2018-09-23,36,False
2018-09-30,51,False
2018-10-07,20,False
2018-10-14,27,False
2018-10-21,31,False
2018-10-28,19,False
2018-11-04,30,False
2018-11-11,19,False
2018-11-18,42,False
2018-11-25,29,False
2018-12-02,24,False
2018-12-09,41,False
2018-12-16,12,False
2018-12-23,29,False
2018-12-30,17,False
2019-01-06,20,False
2019-01-13,31,False
2019-01-20,26,False
2019-01-27,23,False
2019-02-03,31,False
2019-02-10,23,False
2019-02-17,19,False
2019-02-24,24,False
2019-03-03,23,False
2019-03-10,42,False
2019-03-17,20,False
2019-03-24,19,False
2019-03-31,27,False
2019-04-07,15,False
2019-04-14,50,False
2019-04-21,20,False
2019-04-28,32,False
2019-05-05,26,False
2019-05-12,19,False
2019-05-19,34,False
2019-05-26,12,False
2019-06-02,23,False
2019-06-09,12,False
2019-06-16,16,False
2019-06-23,24,False
2019-06-30,20,False
2019-07-07,28,False
2019-07-14,21,False
2019-07-21,17,False
2019-07-28,8,False
2019-08-04,16,False
2019-08-11,11,False
2019-08-18,23,False
2019-08-25,23,False
2019-09-01,23,False
2019-09-08,19,False
2019-09-15,20,False
2019-09-22,19,False
2019-09-29,28,False
2019-10-06,23,False
2019-10-13,18,False
2019-10-20,43,False
2019-10-27,25,False
2019-11-03,25,False
2019-11-10,28,False
2019-11-17,33,False
2019-11-24,43,False
2019-12-01,43,False
2019-12-08,29,False
2019-12-15,63,False
2019-12-22,30,False
2019-12-29,25,False
2020-01-05,25,False
2020-01-12,27,False
2020-01-19,46,False
2020-01-26,55,False
2020-02-02,100,False
2020-02-09,47,False
2020-02-16,52,False
2020-02-23,48,False
2020-03-01,20,False
2020-03-08,48,False
2020-03-15,57,False
2020-03-22,29,False
2020-03-29,16,False
2020-04-05,25,False
2020-04-12,30,False
2020-04-19,65,False
2020-04-26,68,False
2020-05-03,48,False
2020-05-10,61,False
