date,Installateur,isPartial
2018-01-07,24,False
2018-01-14,24,False
2018-01-21,24,False
2018-01-28,0,False
2018-02-04,37,False
2018-02-11,24,False
2018-02-18,37,False
2018-02-25,24,False
2018-03-04,36,False
2018-03-11,24,False
2018-03-18,0,False
2018-03-25,24,False
2018-04-01,0,False
2018-04-08,77,False
2018-04-15,26,False
2018-04-22,24,False
2018-04-29,25,False
2018-05-06,26,False
2018-05-13,49,False
2018-05-20,25,False
2018-05-27,24,False
2018-06-03,0,False
2018-06-10,34,False
2018-06-17,46,False
2018-06-24,36,False
2018-07-01,0,False
2018-07-08,23,False
2018-07-15,25,False
2018-07-22,32,False
2018-07-29,24,False
2018-08-05,23,False
2018-08-12,23,False
2018-08-19,23,False
2018-08-26,23,False
2018-09-02,24,False
2018-09-09,69,False
2018-09-16,24,False
2018-09-23,48,False
2018-09-30,24,False
2018-10-07,51,False
2018-10-14,0,False
2018-10-21,23,False
2018-10-28,23,False
2018-11-04,23,False
2018-11-11,0,False
2018-11-18,23,False
2018-11-25,35,False
2018-12-02,71,False
2018-12-09,24,False
2018-12-16,24,False
2018-12-23,26,False
2018-12-30,24,False
2019-01-06,0,False
2019-01-13,22,False
2019-01-20,22,False
2019-01-27,0,False
2019-02-03,22,False
2019-02-10,0,False
2019-02-17,46,False
2019-02-24,47,False
2019-03-03,22,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,23,False
2019-03-31,0,False
2019-04-07,36,False
2019-04-14,0,False
2019-04-21,23,False
2019-04-28,22,False
2019-05-05,22,False
2019-05-12,0,False
2019-05-19,22,False
2019-05-26,33,False
2019-06-02,22,False
2019-06-09,22,False
2019-06-16,22,False
2019-06-23,0,False
2019-06-30,43,False
2019-07-07,33,False
2019-07-14,44,False
2019-07-21,23,False
2019-07-28,43,False
2019-08-04,21,False
2019-08-11,0,False
2019-08-18,21,False
2019-08-25,42,False
2019-09-01,62,False
2019-09-08,43,False
2019-09-15,64,False
2019-09-22,21,False
2019-09-29,28,False
2019-10-06,32,False
2019-10-13,21,False
2019-10-20,20,False
2019-10-27,41,False
2019-11-03,27,False
2019-11-10,34,False
2019-11-17,20,False
2019-11-24,47,False
2019-12-01,31,False
2019-12-08,31,False
2019-12-15,98,False
2019-12-22,22,False
2019-12-29,34,False
2020-01-05,29,False
2020-01-12,29,False
2020-01-19,100,False
2020-01-26,20,False
2020-02-02,98,False
2020-02-09,29,False
2020-02-16,33,False
2020-02-23,51,False
2020-03-01,52,False
2020-03-08,42,False
2020-03-15,51,False
2020-03-22,46,False
2020-03-29,51,False
2020-04-05,75,False
2020-04-12,36,False
2020-04-19,64,False
2020-04-26,33,False
2020-05-03,46,False
2020-05-10,74,False
