date,brico jardin,isPartial
2018-01-07,11,False
2018-01-14,11,False
2018-01-21,14,False
2018-01-28,18,False
2018-02-04,14,False
2018-02-11,14,False
2018-02-18,30,False
2018-02-25,25,False
2018-03-04,37,False
2018-03-11,38,False
2018-03-18,31,False
2018-03-25,35,False
2018-04-01,54,False
2018-04-08,63,False
2018-04-15,80,False
2018-04-22,68,False
2018-04-29,49,False
2018-05-06,60,False
2018-05-13,40,False
2018-05-20,41,False
2018-05-27,36,False
2018-06-03,30,False
2018-06-10,27,False
2018-06-17,26,False
2018-06-24,32,False
2018-07-01,34,False
2018-07-08,31,False
2018-07-15,23,False
2018-07-22,29,False
2018-07-29,28,False
2018-08-05,26,False
2018-08-12,25,False
2018-08-19,20,False
2018-08-26,19,False
2018-09-02,20,False
2018-09-09,16,False
2018-09-16,18,False
2018-09-23,15,False
2018-09-30,18,False
2018-10-07,12,False
2018-10-14,14,False
2018-10-21,14,False
2018-10-28,10,False
2018-11-04,10,False
2018-11-11,9,False
2018-11-18,9,False
2018-11-25,8,False
2018-12-02,7,False
2018-12-09,8,False
2018-12-16,4,False
2018-12-23,7,False
2018-12-30,11,False
2019-01-06,13,False
2019-01-13,10,False
2019-01-20,7,False
2019-01-27,12,False
2019-02-03,16,False
2019-02-10,16,False
2019-02-17,30,False
2019-02-24,40,False
2019-03-03,36,False
2019-03-10,32,False
2019-03-17,38,False
2019-03-24,48,False
2019-03-31,43,False
2019-04-07,42,False
2019-04-14,44,False
2019-04-21,46,False
2019-04-28,39,False
2019-05-05,38,False
2019-05-12,38,False
2019-05-19,34,False
2019-05-26,43,False
2019-06-02,31,False
2019-06-09,29,False
2019-06-16,28,False
2019-06-23,32,False
2019-06-30,31,False
2019-07-07,28,False
2019-07-14,21,False
2019-07-21,20,False
2019-07-28,24,False
2019-08-04,25,False
2019-08-11,20,False
2019-08-18,22,False
2019-08-25,18,False
2019-09-01,19,False
2019-09-08,15,False
2019-09-15,16,False
2019-09-22,15,False
2019-09-29,16,False
2019-10-06,13,False
2019-10-13,11,False
2019-10-20,14,False
2019-10-27,9,False
2019-11-03,11,False
2019-11-10,12,False
2019-11-17,9,False
2019-11-24,9,False
2019-12-01,8,False
2019-12-08,7,False
2019-12-15,7,False
2019-12-22,10,False
2019-12-29,9,False
2020-01-05,14,False
2020-01-12,14,False
2020-01-19,14,False
2020-01-26,12,False
2020-02-02,16,False
2020-02-09,18,False
2020-02-16,24,False
2020-02-23,26,False
2020-03-01,25,False
2020-03-08,29,False
2020-03-15,21,False
2020-03-22,24,False
2020-03-29,35,False
2020-04-05,61,False
2020-04-12,64,False
2020-04-19,75,False
2020-04-26,59,False
2020-05-03,67,False
2020-05-10,62,False
2020-05-17,100,True
