date,brico jardin,isPartial
2018-01-07,10,False
2018-01-14,10,False
2018-01-21,15,False
2018-01-28,20,False
2018-02-04,10,False
2018-02-11,16,False
2018-02-18,30,False
2018-02-25,36,False
2018-03-04,24,False
2018-03-11,34,False
2018-03-18,27,False
2018-03-25,37,False
2018-04-01,24,False
2018-04-08,44,False
2018-04-15,52,False
2018-04-22,50,False
2018-04-29,39,False
2018-05-06,48,False
2018-05-13,45,False
2018-05-20,26,False
2018-05-27,26,False
2018-06-03,16,False
2018-06-10,33,False
2018-06-17,41,False
2018-06-24,27,False
2018-07-01,33,False
2018-07-08,31,False
2018-07-15,18,False
2018-07-22,29,False
2018-07-29,22,False
2018-08-05,15,False
2018-08-12,26,False
2018-08-19,14,False
2018-08-26,10,False
2018-09-02,25,False
2018-09-09,16,False
2018-09-16,10,False
2018-09-23,21,False
2018-09-30,21,False
2018-10-07,17,False
2018-10-14,14,False
2018-10-21,27,False
2018-10-28,21,False
2018-11-04,20,False
2018-11-11,10,False
2018-11-18,14,False
2018-11-25,19,False
2018-12-02,19,False
2018-12-09,19,False
2018-12-16,20,False
2018-12-23,16,False
2018-12-30,21,False
2019-01-06,19,False
2019-01-13,14,False
2019-01-20,9,False
2019-01-27,9,False
2019-02-03,34,False
2019-02-10,26,False
2019-02-17,31,False
2019-02-24,36,False
2019-03-03,28,False
2019-03-10,35,False
2019-03-17,33,False
2019-03-24,30,False
2019-03-31,34,False
2019-04-07,28,False
2019-04-14,39,False
2019-04-21,50,False
2019-04-28,39,False
2019-05-05,39,False
2019-05-12,20,False
2019-05-19,30,False
2019-05-26,24,False
2019-06-02,25,False
2019-06-09,23,False
2019-06-16,30,False
2019-06-23,29,False
2019-06-30,43,False
2019-07-07,33,False
2019-07-14,30,False
2019-07-21,36,False
2019-07-28,14,False
2019-08-04,41,False
2019-08-11,15,False
2019-08-18,37,False
2019-08-25,16,False
2019-09-01,38,False
2019-09-08,13,False
2019-09-15,10,False
2019-09-22,15,False
2019-09-29,15,False
2019-10-06,23,False
2019-10-13,24,False
2019-10-20,18,False
2019-10-27,15,False
2019-11-03,9,False
2019-11-10,12,False
2019-11-17,9,False
2019-11-24,17,False
2019-12-01,9,False
2019-12-08,9,False
2019-12-15,9,False
2019-12-22,13,False
2019-12-29,10,False
2020-01-05,17,False
2020-01-12,8,False
2020-01-19,23,False
2020-01-26,17,False
2020-02-02,20,False
2020-02-09,8,False
2020-02-16,23,False
2020-02-23,42,False
2020-03-01,24,False
2020-03-08,27,False
2020-03-15,11,False
2020-03-22,21,False
2020-03-29,35,False
2020-04-05,63,False
2020-04-12,100,False
2020-04-19,77,False
2020-04-26,28,False
2020-05-03,51,False
2020-05-10,54,False
2020-05-17,74,True
