date,brico jardin,isPartial
2018-01-07,0,False
2018-01-14,16,False
2018-01-21,17,False
2018-01-28,0,False
2018-02-04,16,False
2018-02-11,17,False
2018-02-18,25,False
2018-02-25,17,False
2018-03-04,34,False
2018-03-11,50,False
2018-03-18,17,False
2018-03-25,34,False
2018-04-01,17,False
2018-04-08,64,False
2018-04-15,64,False
2018-04-22,61,False
2018-04-29,37,False
2018-05-06,42,False
2018-05-13,41,False
2018-05-20,18,False
2018-05-27,17,False
2018-06-03,35,False
2018-06-10,50,False
2018-06-17,29,False
2018-06-24,17,False
2018-07-01,26,False
2018-07-08,18,False
2018-07-15,0,False
2018-07-22,19,False
2018-07-29,19,False
2018-08-05,20,False
2018-08-12,34,False
2018-08-19,19,False
2018-08-26,18,False
2018-09-02,27,False
2018-09-09,18,False
2018-09-16,18,False
2018-09-23,36,False
2018-09-30,36,False
2018-10-07,0,False
2018-10-14,36,False
2018-10-21,27,False
2018-10-28,17,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,17,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,17,False
2018-12-16,17,False
2018-12-23,0,False
2018-12-30,18,False
2019-01-06,0,False
2019-01-13,17,False
2019-01-20,17,False
2019-01-27,16,False
2019-02-03,0,False
2019-02-10,18,False
2019-02-17,18,False
2019-02-24,43,False
2019-03-03,16,False
2019-03-10,51,False
2019-03-17,24,False
2019-03-24,41,False
2019-03-31,64,False
2019-04-07,18,False
2019-04-14,54,False
2019-04-21,28,False
2019-04-28,28,False
2019-05-05,33,False
2019-05-12,17,False
2019-05-19,25,False
2019-05-26,51,False
2019-06-02,24,False
2019-06-09,33,False
2019-06-16,35,False
2019-06-23,26,False
2019-06-30,34,False
2019-07-07,23,False
2019-07-14,18,False
2019-07-21,27,False
2019-07-28,44,False
2019-08-04,39,False
2019-08-11,45,False
2019-08-18,19,False
2019-08-25,17,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,16,False
2019-09-22,21,False
2019-09-29,21,False
2019-10-06,0,False
2019-10-13,16,False
2019-10-20,16,False
2019-10-27,15,False
2019-11-03,15,False
2019-11-10,15,False
2019-11-17,15,False
2019-11-24,0,False
2019-12-01,15,False
2019-12-08,30,False
2019-12-15,15,False
2019-12-22,16,False
2019-12-29,21,False
2020-01-05,22,False
2020-01-12,14,False
2020-01-19,15,False
2020-01-26,0,False
2020-02-02,14,False
2020-02-09,14,False
2020-02-16,30,False
2020-02-23,14,False
2020-03-01,19,False
2020-03-08,28,False
2020-03-15,29,False
2020-03-22,18,False
2020-03-29,28,False
2020-04-05,41,False
2020-04-12,51,False
2020-04-19,55,False
2020-04-26,23,False
2020-05-03,35,False
2020-05-10,63,False
2020-05-17,100,True
