date,foto bimbi,isPartial
2018-01-07,43,False
2018-01-14,57,False
2018-01-21,43,False
2018-01-28,43,False
2018-02-04,28,False
2018-02-11,76,False
2018-02-18,72,False
2018-02-25,27,False
2018-03-04,29,False
2018-03-11,44,False
2018-03-18,58,False
2018-03-25,46,False
2018-04-01,0,False
2018-04-08,30,False
2018-04-15,61,False
2018-04-22,93,False
2018-04-29,92,False
2018-05-06,57,False
2018-05-13,0,False
2018-05-20,30,False
2018-05-27,62,False
2018-06-03,31,False
2018-06-10,56,False
2018-06-17,44,False
2018-06-24,30,False
2018-07-01,29,False
2018-07-08,45,False
2018-07-15,31,False
2018-07-22,0,False
2018-07-29,31,False
2018-08-05,66,False
2018-08-12,35,False
2018-08-19,35,False
2018-08-26,48,False
2018-09-02,0,False
2018-09-09,44,False
2018-09-16,43,False
2018-09-23,29,False
2018-09-30,29,False
2018-10-07,30,False
2018-10-14,61,False
2018-10-21,30,False
2018-10-28,0,False
2018-11-04,29,False
2018-11-11,48,False
2018-11-18,30,False
2018-11-25,31,False
2018-12-02,63,False
2018-12-09,95,False
2018-12-16,64,False
2018-12-23,100,False
2018-12-30,31,False
2019-01-06,45,False
2019-01-13,29,False
2019-01-20,0,False
2019-01-27,28,False
2019-02-03,56,False
2019-02-10,29,False
2019-02-17,28,False
2019-02-24,29,False
2019-03-03,60,False
2019-03-10,0,False
2019-03-17,59,False
2019-03-24,30,False
2019-03-31,44,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,93,False
2019-04-28,0,False
2019-05-05,57,False
2019-05-12,57,False
2019-05-19,28,False
2019-05-26,27,False
2019-06-02,45,False
2019-06-09,31,False
2019-06-16,45,False
2019-06-23,31,False
2019-06-30,32,False
2019-07-07,46,False
2019-07-14,78,False
2019-07-21,0,False
2019-07-28,32,False
2019-08-04,33,False
2019-08-11,0,False
2019-08-18,34,False
2019-08-25,44,False
2019-09-01,0,False
2019-09-08,42,False
2019-09-15,28,False
2019-09-22,53,False
2019-09-29,54,False
2019-10-06,28,False
2019-10-13,28,False
2019-10-20,28,False
2019-10-27,53,False
2019-11-03,77,False
2019-11-10,82,False
2019-11-17,81,False
2019-11-24,0,False
2019-12-01,28,False
2019-12-08,28,False
2019-12-15,84,False
2019-12-22,31,False
2019-12-29,29,False
2020-01-05,55,False
2020-01-12,26,False
2020-01-19,27,False
2020-01-26,26,False
2020-02-02,76,False
2020-02-09,54,False
2020-02-16,27,False
2020-02-23,50,False
2020-03-01,24,False
2020-03-08,24,False
2020-03-15,23,False
2020-03-22,32,False
2020-03-29,22,False
2020-04-05,46,False
2020-04-12,46,False
2020-04-19,53,False
2020-04-26,76,True
