date,foto bimbi,isPartial
2018-01-07,25,False
2018-01-14,37,False
2018-01-21,50,False
2018-01-28,49,False
2018-02-04,49,False
2018-02-11,61,False
2018-02-18,84,False
2018-02-25,23,False
2018-03-04,23,False
2018-03-11,47,False
2018-03-18,24,False
2018-03-25,25,False
2018-04-01,51,False
2018-04-08,47,False
2018-04-15,49,False
2018-04-22,38,False
2018-04-29,74,False
2018-05-06,60,False
2018-05-13,24,False
2018-05-20,35,False
2018-05-27,83,False
2018-06-03,36,False
2018-06-10,36,False
2018-06-17,24,False
2018-06-24,62,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,50,False
2018-07-22,25,False
2018-07-29,53,False
2018-08-05,87,False
2018-08-12,33,False
2018-08-19,48,False
2018-08-26,78,False
2018-09-02,47,False
2018-09-09,58,False
2018-09-16,68,False
2018-09-23,35,False
2018-09-30,23,False
2018-10-07,47,False
2018-10-14,23,False
2018-10-21,23,False
2018-10-28,47,False
2018-11-04,66,False
2018-11-11,23,False
2018-11-18,45,False
2018-11-25,46,False
2018-12-02,46,False
2018-12-09,57,False
2018-12-16,0,False
2018-12-23,28,False
2018-12-30,54,False
2019-01-06,23,False
2019-01-13,56,False
2019-01-20,22,False
2019-01-27,55,False
2019-02-03,34,False
2019-02-10,23,False
2019-02-17,23,False
2019-02-24,58,False
2019-03-03,82,False
2019-03-10,69,False
2019-03-17,47,False
2019-03-24,24,False
2019-03-31,47,False
2019-04-07,23,False
2019-04-14,24,False
2019-04-21,53,False
2019-04-28,0,False
2019-05-05,46,False
2019-05-12,45,False
2019-05-19,45,False
2019-05-26,67,False
2019-06-02,47,False
2019-06-09,47,False
2019-06-16,24,False
2019-06-23,24,False
2019-06-30,24,False
2019-07-07,0,False
2019-07-14,37,False
2019-07-21,63,False
2019-07-28,26,False
2019-08-04,28,False
2019-08-11,32,False
2019-08-18,0,False
2019-08-25,52,False
2019-09-01,22,False
2019-09-08,57,False
2019-09-15,33,False
2019-09-22,32,False
2019-09-29,33,False
2019-10-06,100,False
2019-10-13,33,False
2019-10-20,53,False
2019-10-27,43,False
2019-11-03,41,False
2019-11-10,21,False
2019-11-17,21,False
2019-11-24,31,False
2019-12-01,65,False
2019-12-08,55,False
2019-12-15,77,False
2019-12-22,0,False
2019-12-29,51,False
2020-01-05,32,False
2020-01-12,79,False
2020-01-19,72,False
2020-01-26,20,False
2020-02-02,20,False
2020-02-09,51,False
2020-02-16,20,False
2020-02-23,38,False
2020-03-01,19,False
2020-03-08,19,False
2020-03-15,58,False
2020-03-22,0,False
2020-03-29,56,False
2020-04-05,49,False
2020-04-12,20,False
2020-04-19,56,False
2020-04-26,32,True
