date,foto bimbi,isPartial
2018-01-07,34,False
2018-01-14,65,False
2018-01-21,0,False
2018-01-28,32,False
2018-02-04,32,False
2018-02-11,33,False
2018-02-18,47,False
2018-02-25,31,False
2018-03-04,0,False
2018-03-11,64,False
2018-03-18,100,False
2018-03-25,34,False
2018-04-01,36,False
2018-04-08,0,False
2018-04-15,34,False
2018-04-22,0,False
2018-04-29,33,False
2018-05-06,0,False
2018-05-13,33,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,33,False
2018-06-10,33,False
2018-06-17,33,False
2018-06-24,34,False
2018-07-01,33,False
2018-07-08,0,False
2018-07-15,66,False
2018-07-22,0,False
2018-07-29,70,False
2018-08-05,37,False
2018-08-12,60,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,32,False
2018-09-16,33,False
2018-09-23,33,False
2018-09-30,34,False
2018-10-07,67,False
2018-10-14,33,False
2018-10-21,0,False
2018-10-28,49,False
2018-11-04,32,False
2018-11-11,33,False
2018-11-18,32,False
2018-11-25,33,False
2018-12-02,0,False
2018-12-09,33,False
2018-12-16,35,False
2018-12-23,42,False
2018-12-30,79,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,65,False
2019-02-03,32,False
2019-02-10,32,False
2019-02-17,0,False
2019-02-24,33,False
2019-03-03,0,False
2019-03-10,33,False
2019-03-17,0,False
2019-03-24,33,False
2019-03-31,66,False
2019-04-07,33,False
2019-04-14,34,False
2019-04-21,38,False
2019-04-28,34,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,64,False
2019-05-26,30,False
2019-06-02,66,False
2019-06-09,33,False
2019-06-16,67,False
2019-06-23,0,False
2019-06-30,34,False
2019-07-07,0,False
2019-07-14,32,False
2019-07-21,33,False
2019-07-28,0,False
2019-08-04,35,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,31,False
2019-09-01,29,False
2019-09-08,45,False
2019-09-15,30,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,31,False
2019-10-20,0,False
2019-10-27,45,False
2019-11-03,30,False
2019-11-10,58,False
2019-11-17,0,False
2019-11-24,72,False
2019-12-01,0,False
2019-12-08,76,False
2019-12-15,61,False
2019-12-22,37,False
2019-12-29,35,False
2020-01-05,30,False
2020-01-12,27,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,28,False
2020-02-09,28,False
2020-02-16,28,False
2020-02-23,39,False
2020-03-01,26,False
2020-03-08,25,False
2020-03-15,53,False
2020-03-22,35,False
2020-03-29,0,False
2020-04-05,26,False
2020-04-12,25,False
2020-04-19,24,False
2020-04-26,0,True
