date,Zimmermann,isPartial
2018-01-07,41,False
2018-01-14,16,False
2018-01-21,50,False
2018-01-28,37,False
2018-02-04,62,False
2018-02-11,54,False
2018-02-18,39,False
2018-02-25,43,False
2018-03-04,48,False
2018-03-11,48,False
2018-03-18,45,False
2018-03-25,37,False
2018-04-01,37,False
2018-04-08,45,False
2018-04-15,28,False
2018-04-22,36,False
2018-04-29,42,False
2018-05-06,35,False
2018-05-13,42,False
2018-05-20,36,False
2018-05-27,45,False
2018-06-03,51,False
2018-06-10,42,False
2018-06-17,47,False
2018-06-24,38,False
2018-07-01,45,False
2018-07-08,25,False
2018-07-15,20,False
2018-07-22,29,False
2018-07-29,50,False
2018-08-05,33,False
2018-08-12,22,False
2018-08-19,41,False
2018-08-26,36,False
2018-09-02,36,False
2018-09-09,19,False
2018-09-16,40,False
2018-09-23,43,False
2018-09-30,34,False
2018-10-07,49,False
2018-10-14,37,False
2018-10-21,87,False
2018-10-28,50,False
2018-11-04,51,False
2018-11-11,22,False
2018-11-18,36,False
2018-11-25,45,False
2018-12-02,30,False
2018-12-09,29,False
2018-12-16,56,False
2018-12-23,30,False
2018-12-30,38,False
2019-01-06,30,False
2019-01-13,43,False
2019-01-20,30,False
2019-01-27,40,False
2019-02-03,28,False
2019-02-10,48,False
2019-02-17,33,False
2019-02-24,52,False
2019-03-03,44,False
2019-03-10,33,False
2019-03-17,39,False
2019-03-24,33,False
2019-03-31,41,False
2019-04-07,49,False
2019-04-14,50,False
2019-04-21,45,False
2019-04-28,41,False
2019-05-05,44,False
2019-05-12,42,False
2019-05-19,33,False
2019-05-26,53,False
2019-06-02,36,False
2019-06-09,47,False
2019-06-16,38,False
2019-06-23,34,False
2019-06-30,38,False
2019-07-07,32,False
2019-07-14,28,False
2019-07-21,40,False
2019-07-28,36,False
2019-08-04,40,False
2019-08-11,39,False
2019-08-18,40,False
2019-08-25,39,False
2019-09-01,29,False
2019-09-08,41,False
2019-09-15,41,False
2019-09-22,32,False
2019-09-29,36,False
2019-10-06,39,False
2019-10-13,43,False
2019-10-20,50,False
2019-10-27,33,False
2019-11-03,35,False
2019-11-10,24,False
2019-11-17,43,False
2019-11-24,43,False
2019-12-01,35,False
2019-12-08,38,False
2019-12-15,43,False
2019-12-22,25,False
2019-12-29,34,False
2020-01-05,35,False
2020-01-12,36,False
2020-01-19,28,False
2020-01-26,41,False
2020-02-02,36,False
2020-02-09,33,False
2020-02-16,31,False
2020-02-23,36,False
2020-03-01,35,False
2020-03-08,34,False
2020-03-15,43,False
2020-03-22,42,False
2020-03-29,36,False
2020-04-05,34,False
2020-04-12,41,False
2020-04-19,43,False
2020-04-26,31,False
2020-05-03,100,False
2020-05-10,34,False
