date,desatrancos,isPartial
2018-01-07,20,False
2018-01-14,20,False
2018-01-21,20,False
2018-01-28,20,False
2018-02-04,60,False
2018-02-11,51,False
2018-02-18,20,False
2018-02-25,20,False
2018-03-04,20,False
2018-03-11,39,False
2018-03-18,21,False
2018-03-25,53,False
2018-04-01,30,False
2018-04-08,19,False
2018-04-15,0,False
2018-04-22,20,False
2018-04-29,0,False
2018-05-06,30,False
2018-05-13,21,False
2018-05-20,0,False
2018-05-27,39,False
2018-06-03,0,False
2018-06-10,20,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,22,False
2018-07-08,0,False
2018-07-15,48,False
2018-07-22,100,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,30,False
2018-08-19,0,False
2018-08-26,24,False
2018-09-02,63,False
2018-09-09,21,False
2018-09-16,49,False
2018-09-23,19,False
2018-09-30,58,False
2018-10-07,21,False
2018-10-14,20,False
2018-10-21,0,False
2018-10-28,41,False
2018-11-04,18,False
2018-11-11,27,False
2018-11-18,36,False
2018-11-25,44,False
2018-12-02,19,False
2018-12-09,39,False
2018-12-16,20,False
2018-12-23,24,False
2018-12-30,63,False
2019-01-06,20,False
2019-01-13,19,False
2019-01-20,44,False
2019-01-27,25,False
2019-02-03,19,False
2019-02-10,19,False
2019-02-17,39,False
2019-02-24,59,False
2019-03-03,0,False
2019-03-10,30,False
2019-03-17,40,False
2019-03-24,20,False
2019-03-31,19,False
2019-04-07,34,False
2019-04-14,24,False
2019-04-21,19,False
2019-04-28,20,False
2019-05-05,17,False
2019-05-12,0,False
2019-05-19,19,False
2019-05-26,18,False
2019-06-02,36,False
2019-06-09,27,False
2019-06-16,20,False
2019-06-23,40,False
2019-06-30,0,False
2019-07-07,20,False
2019-07-14,22,False
2019-07-21,21,False
2019-07-28,25,False
2019-08-04,40,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,37,False
2019-09-08,18,False
2019-09-15,17,False
2019-09-22,18,False
2019-09-29,18,False
2019-10-06,53,False
2019-10-13,0,False
2019-10-20,26,False
2019-10-27,18,False
2019-11-03,52,False
2019-11-10,17,False
2019-11-17,17,False
2019-11-24,16,False
2019-12-01,36,False
2019-12-08,18,False
2019-12-15,17,False
2019-12-22,21,False
2019-12-29,41,False
2020-01-05,35,False
2020-01-12,33,False
2020-01-19,16,False
2020-01-26,50,False
2020-02-02,33,False
2020-02-09,17,False
2020-02-16,0,False
2020-02-23,16,False
2020-03-01,16,False
2020-03-08,16,False
2020-03-15,25,False
2020-03-22,24,False
2020-03-29,40,False
2020-04-05,0,False
2020-04-12,32,False
2020-04-19,0,False
2020-04-26,16,False
2020-05-03,15,False
2020-05-10,15,False
2020-05-17,18,True
